0: [[22, 6, 2, 1, 11, 9], [3, 4, 17, 74, 5], [41, 75, 20, 14, 15], [13, 28, 25, 7, 55], [21, 29, 19, 54, 16, 69], [26, 24, 23, 27, 50], [31, 30, 36, 52, 37, 38], [44, 33, 39, 10, 34], [46, 35, 60, 32, 53, 45], [40, 42, 64, 43, 47, 49], [63, 57, 61, 48, 18], [51, 59, 56, 58, 65], [66, 71, 67, 68, 77], [78, 70, 62, 73, 12, 72], [76, 8, 79, 81, 80, 83], [86, 87, 84, 85, 82, 88]]
1: [[22, 6, 2, 1, 11, 9], [3, 4, 17, 74, 5], [41, 75, 20, 14, 15], [13, 28, 25, 7, 55], [21, 29, 19, 54, 16, 69], [26, 24, 23, 27, 50], [31, 30, 36, 52, 37, 38], [44, 33, 39, 10, 34], [46, 35, 60, 32, 53, 45], [40, 42, 64, 43, 47, 49], [63, 57, 61, 48, 18], [51, 59, 56, 58, 65], [66, 71, 67, 68, 77], [78, 70, 62, 73, 12, 72], [76, 8, 79, 81, 80, 83], [86, 87, 84, 85, 82, 88]]
2: [[22, 6, 2, 1, 13, 7, 3, 4, 5, 66, 10, 43, 24, 28, 9, 8, 15, 11, 12, 14, 23, 16], [17, 19, 50, 18, 20, 21, 27, 25, 30, 59, 26, 31, 29, 39, 32, 33, 34, 47, 44, 53, 37, 40], [38, 35, 36, 41, 42, 61, 62, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 67], [69, 65, 73, 70, 68, 71, 72, 75, 78, 74, 77, 76, 79, 83, 84, 82, 81, 80, 85, 87, 86, 88]]
3: [[22, 6, 2, 1, 13, 7, 3, 4, 5, 66, 10, 43, 24, 28, 9, 8, 15, 11, 12, 14, 23, 16], [17, 19, 50, 18, 20, 21, 27, 25, 30, 59, 26, 31, 29, 39, 32, 33, 34, 47, 44, 53, 37, 40], [38, 35, 36, 41, 42, 61, 62, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 67], [69, 65, 73, 70, 68, 71, 72, 75, 78, 74, 77, 76, 79, 83, 84, 82, 81, 80, 85, 87, 86, 88]]
4: [[22, 6, 2, 1, 13, 7, 3, 4, 5, 66, 10, 43, 24, 28, 9, 8, 15, 11, 12, 14, 23, 16], [17, 19, 50, 18, 20, 21, 27, 25, 30, 59, 26, 31, 29, 39, 32, 33, 34, 47, 44, 53, 37, 40], [38, 35, 36, 41, 42, 61, 62, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 67], [69, 65, 73, 70, 68, 71, 72, 75, 78, 74, 77, 76, 79, 83, 84, 82, 81, 80, 85, 87, 86, 88]]
5: [[22, 6, 2, 1, 13, 7, 3, 4, 5, 66, 10, 43, 24, 28, 9, 8, 15, 11, 12, 14, 23, 16], [17, 19, 50, 18, 20, 21, 27, 25, 30, 59, 26, 31, 29, 39, 32, 33, 34, 47, 44, 53, 37, 40], [38, 35, 36, 41, 42, 61, 62, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 67], [69, 65, 73, 70, 68, 71, 72, 75, 78, 74, 77, 76, 79, 83, 84, 82, 81, 80, 85, 87, 86, 88]]
6: [[22, 6, 2, 1, 13, 7, 3, 4, 5, 66, 10, 43, 24, 28, 9, 8, 15, 11, 12, 14, 23, 16], [17, 19, 50, 18, 20, 21, 27, 25, 30, 59, 26, 31, 29, 39, 32, 33, 34, 47, 44, 53, 37, 40], [38, 35, 36, 41, 42, 61, 62, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 67], [69, 65, 73, 70, 68, 71, 72, 75, 78, 74, 77, 76, 79, 83, 84, 82, 81, 80, 85, 87, 86, 88]]
7: [[22, 6, 2, 1, 13, 7, 3, 4, 5, 66, 10, 43, 24, 28, 9, 8, 15, 11, 12, 14, 23, 16], [17, 19, 50, 18, 20, 21, 27, 25, 30, 59, 26, 31, 29, 39, 32, 33, 34, 47, 44, 53, 37, 40], [38, 35, 36, 41, 42, 61, 62, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 67], [69, 65, 73, 70, 68, 71, 72, 75, 78, 74, 77, 76, 79, 83, 84, 82, 81, 80, 85, 87, 86, 88]]
8: [[22, 6, 2, 1, 13, 7, 3, 4, 5, 66, 10, 43, 24, 28, 9, 8, 15, 11, 12, 14, 23, 16], [17, 19, 50, 18, 20, 21, 27, 25, 30, 59, 26, 31, 29, 39, 32, 33, 34, 47, 44, 53, 37, 40], [38, 35, 36, 41, 42, 61, 62, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 67], [69, 65, 73, 70, 68, 71, 72, 75, 78, 74, 77, 76, 79, 83, 84, 82, 81, 80, 85, 87, 86, 88]]
9: [[22, 6, 2, 1, 13, 7, 3, 4, 5, 66, 10, 43, 24, 28, 9, 8, 15, 11, 12, 14, 23, 16], [17, 19, 50, 18, 20, 21, 27, 25, 30, 59, 26, 31, 29, 39, 32, 33, 34, 47, 44, 53, 37, 40], [38, 35, 36, 41, 42, 61, 62, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 67], [69, 65, 73, 70, 68, 71, 72, 75, 78, 74, 77, 76, 79, 83, 84, 82, 81, 80, 85, 87, 86, 88]]
10: [[22, 6, 2, 1, 13, 7, 3, 4, 5, 66, 10, 43, 24, 28, 9, 8, 15, 11, 12, 14, 23, 16], [17, 19, 50, 18, 20, 21, 27, 25, 30, 59, 26, 31, 29, 39, 32, 33, 34, 47, 44, 53, 37, 40], [38, 35, 36, 41, 42, 61, 62, 45, 46, 48, 49, 51, 52, 54, 55, 56, 57, 58, 60, 63, 64, 67], [69, 65, 73, 70, 68, 71, 72, 75, 78, 74, 77, 76, 79, 83, 84, 82, 81, 80, 85, 87, 86, 88]]
