It No., Best MQ, No clusters, max clus, min clus
1,1.34896331738437,3,13,12
2,1.249509748067478,3,13,12
3,1.2747892336528026,3,13,12
4,1.3633329346916145,3,13,12
5,1.3980873495436603,3,13,12
6,1.4451229273870783,3,13,12
7,2.011497082901771,12,4,3
8,1.457426027594432,3,13,12
9,1.257155412893118,3,13,12
10,1.4121725731895225,3,13,12
11,1.352732013748963,3,13,12
12,1.458411642351244,5,8,7
13,1.3754718650838802,4,10,9
14,1.3914513998604598,3,13,12
15,1.542322084030371,5,8,7
16,1.3969881469091305,3,13,12
17,1.5790724866214618,8,5,4
18,1.3465353874112997,3,13,12
19,1.5981700353386354,6,7,6
20,1.3980707556088285,3,13,12
21,1.2584606791458401,3,13,12
22,1.378917808864169,3,13,12
23,1.3864642631246047,3,13,12
24,1.271658048526757,3,13,12
25,1.438740264710534,3,13,12
26,1.720307215298564,7,6,5
27,1.5692125570844104,6,7,6
28,1.3877300401273003,4,10,9
29,1.3914513998604598,3,13,12
30,1.42002881157377,4,10,9
31,1.427382256297919,3,13,12
