0: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [9, 13, 17], [15, 16, 10, 14], [23, 22], [28, 18, 24, 29], [20, 25], [21, 26, 27]]
1: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [9, 13, 17], [15, 16, 10, 14], [23, 22], [28, 18, 24, 29], [20, 25], [21, 26, 27]]
2: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12], [9, 13, 17], [15, 14, 10, 16], [23, 22], [28, 18, 24, 29], [20, 25], [21, 26, 27]]
3: [[6, 5], [2, 19, 1], [7, 11, 3], [4, 8, 12], [9, 13, 17], [15, 14, 10, 16], [23, 22], [28, 18, 24, 29], [20, 25], [21, 26, 27]]
4: [[6, 5], [2, 19, 1, 7], [11, 3, 4, 8, 12, 9, 13, 17, 15, 18, 10], [14, 23, 22, 28], [16, 24], [29, 20, 25], [21, 26, 27]]
5: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [9, 13, 17], [15, 16, 10], [14, 22, 18], [28, 23, 24, 29], [20, 25, 21, 27, 26]]
6: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [9, 13, 22], [15, 18, 10, 14], [20, 16], [28, 17, 24, 23], [21, 27], [26, 25, 29]]
7: [[6, 5, 2, 19], [1, 7, 11, 3, 4, 8, 12], [9, 13, 17, 15, 16, 10], [14, 22, 18, 28, 20, 24, 25, 21, 23, 29], [26, 27]]
8: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [9, 13, 17], [15, 10, 22, 14], [23, 16, 28], [18, 24, 29, 21, 20, 25, 26, 27]]
9: [[6, 5], [2, 19], [1, 7, 11, 3, 22], [4, 8], [9, 13, 17, 15, 16, 10, 12], [21, 20, 24, 18, 25, 23, 29, 14], [27, 26, 28]]
10: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12, 9], [13, 17], [15, 26, 10, 14], [16, 22], [20, 18, 25], [29, 21, 23, 24, 27, 28]]
11: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12], [9, 13, 17], [15, 26, 10, 14], [18, 22, 20, 23, 25, 29, 16, 21, 24, 27, 28]]
12: [[6, 5], [2, 19, 1, 7], [11, 3, 4, 8, 12, 9, 13], [17, 15, 16, 10, 14, 21, 22, 28, 23, 24], [25, 26, 18, 20, 27, 29]]
13: [[6, 5], [2, 19, 1, 7], [11, 3, 4, 8, 12, 9], [13, 16, 15, 26, 10, 14, 17, 22, 28, 18, 24, 29, 20, 21, 25, 23, 27]]
14: [[6, 5], [2, 19, 1, 7], [11, 3, 4, 8], [12, 9, 13], [14, 15], [10, 22, 16, 17], [18, 28, 20], [24, 29], [25, 21, 23], [26, 27]]
15: [[6, 5, 2], [19, 1, 7], [11, 3], [4, 8], [12, 9], [13, 17, 15], [14, 10, 21, 22], [18, 16, 24], [25, 20], [23, 27, 26, 29, 28]]
16: [[6, 5, 2], [19, 1, 7], [11, 3, 4, 8, 12], [9, 13, 16, 15, 10, 14, 17, 23, 24, 28, 18], [20, 21, 22, 26, 25, 27, 29]]
17: [[6, 5], [2, 19, 1, 7], [11, 3, 4, 8, 12, 9, 13], [23, 15, 16, 10, 14, 22], [18, 28, 20, 24, 29, 17, 27, 21, 26, 25]]
18: [[6, 5], [2, 19, 1], [7, 11], [3, 4, 8, 12], [9, 13, 16, 15], [10, 14, 17, 23, 18, 20, 21, 24, 29, 22, 27, 25, 26, 28]]
19: [[6, 5], [2, 19, 1, 7], [11, 3, 4], [8, 12, 9, 13, 17, 15, 18, 10, 14, 23, 22, 24, 16, 25, 29, 21, 27, 20, 26, 28]]
20: [[6, 5, 2, 19, 1, 7, 11, 3, 4, 8, 12, 9, 13, 16, 14, 15, 10, 17, 20], [22, 25, 18, 29, 21, 28, 23, 24], [26, 27]]
21: [[6, 5, 2], [19, 1, 7], [11, 3], [4, 8, 12], [9, 13, 17], [14, 15, 10, 16, 23, 20, 18, 22, 28, 27, 21, 25, 24, 26, 29]]
22: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8], [12, 9, 13, 23], [15, 10], [14, 16, 18, 17], [22, 20], [28, 21, 26], [25, 24, 27, 29]]
23: [[6, 5], [2, 19, 1, 7], [11, 3], [4, 8, 12, 9], [10, 13], [15, 14, 18], [16, 17, 22, 20, 23, 24, 21, 25, 29, 28, 26, 27]]
