0: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
1: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
2: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
3: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
4: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
5: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
6: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
7: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
8: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
9: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
10: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
11: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
12: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13], [12, 17, 18, 15]]
13: [[19, 20], [8], [11, 1, 3], [14, 4, 6], [16, 7, 5, 2, 10], [9, 13, 12, 17, 18, 15]]
14: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9], [13, 12, 17, 18, 15]]
15: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9], [13, 12, 17, 18, 15]]
16: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16, 7], [5, 9, 13], [12, 17, 18, 15]]
17: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16, 7], [5, 9, 13], [12, 17, 18, 15]]
18: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6], [16, 7, 5, 9, 13], [12, 17, 18, 15]]
19: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6], [16, 7, 5, 9, 13], [12, 17, 18, 15]]
20: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13, 12], [17, 18, 15]]
21: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13, 12], [17, 18, 15]]
22: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13, 12], [17, 18, 15]]
23: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13, 12], [17, 18, 15]]
24: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13, 12], [17, 18, 15]]
25: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16], [7, 5, 9, 13, 12], [17, 18, 15]]
26: [[19, 20], [8], [11, 1, 2, 3], [14, 4, 6, 16], [7, 5, 9, 13, 10], [12, 17, 18, 15]]
27: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16, 7], [5, 9, 13, 12], [17, 18, 15]]
28: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16, 7], [5, 9, 13, 12], [17, 18, 15]]
29: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16, 7], [5, 9, 13, 12], [17, 18, 15]]
30: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4], [6, 16, 7, 5, 9, 13], [12, 17, 18, 15]]
31: [[19, 20], [8, 2], [11, 3], [1, 10, 14, 16, 4, 6], [7, 5, 9, 13], [12, 17, 18, 15]]
32: [[19, 20], [8, 2], [11, 3], [1, 10, 14, 16, 4, 6], [7, 5, 9, 13], [12, 17, 18, 15]]
33: [[19, 20], [8, 2], [11, 3], [1, 10, 14, 16, 4, 6], [7, 5, 9, 13], [12, 17, 18, 15]]
34: [[19, 20], [8, 2], [11, 3, 1], [10, 14, 4, 6, 16, 7], [5, 9, 13, 12, 17], [18, 15]]
35: [[19, 20], [8], [11, 3], [1, 14, 4, 6], [16, 7, 5, 2, 10], [9, 13, 12, 17, 18, 15]]
36: [[19, 20], [8, 2], [11, 3], [1, 10, 14, 16, 4, 6], [7, 5, 9], [13, 12, 17, 18, 15]]
37: [[19, 20], [8], [11, 1, 2, 3], [14, 4, 6], [16, 7, 5, 9, 13, 10], [12, 17, 18, 15]]
38: [[19, 20], [8, 3], [11, 1, 10, 2], [14, 4], [6, 16, 7, 5, 9], [13, 12, 17, 18, 15]]
39: [[19, 20], [8, 2], [11, 3], [1, 10, 14, 4, 6], [16, 7, 5, 9, 13], [12, 17, 18, 15]]
40: [[19, 20], [8, 2], [11, 3], [1, 10, 14, 4, 6], [16, 7, 5, 9], [13, 12, 17, 18, 15]]
41: [[19, 20], [8], [11, 1, 14, 2, 3], [4, 6, 16], [7, 5, 9, 13, 10], [12, 17, 18, 15]]
