0: [[5, 7, 2], [1, 3], [8, 10], [14, 6, 4], [13, 11, 12, 9], [16, 15], [19, 17, 18, 20]]
1: [[5, 7, 2], [1, 3], [8, 10], [14, 6, 4], [13, 11, 12, 9], [16, 15], [19, 17, 18, 20]]
2: [[5, 7, 2], [1, 3], [8, 10], [14, 6, 4], [13, 11, 12, 9], [16, 15], [19, 17, 18, 20]]
3: [[5, 7, 2], [1, 3], [8, 10], [14, 6, 4], [12, 11], [13, 17, 15, 9], [18, 16, 19, 20]]
4: [[5, 7, 2], [1, 3], [8, 10], [14, 6, 4], [12, 11], [13, 17, 15, 9], [18, 16, 19, 20]]
5: [[5, 7, 2], [1, 3, 8], [10, 14, 13, 6, 4], [11, 12, 9, 15], [17, 19, 16, 18, 20]]
6: [[5, 7, 2], [1, 3], [8, 10], [14, 13, 11, 12, 16, 17, 6, 4, 9], [19, 15, 18, 20]]
7: [[5, 7, 2], [1], [3, 8], [10, 14, 13, 6, 4], [11, 12, 9], [19, 18, 17], [16, 20, 15]]
8: [[5, 7, 2], [1, 3, 8], [10, 14, 13, 6, 4], [11, 12, 16, 9], [17, 19, 18, 15], [20]]
9: [[5, 7, 2], [1, 3], [8, 10, 14], [11, 6, 4], [12, 13, 9], [16, 19, 15], [17, 18, 20]]
10: [[5, 7], [2, 1], [3, 8], [10, 14, 6], [4, 13], [12, 15, 9, 16, 17], [11, 20, 19, 18]]
11: [[5, 7, 2], [1, 3, 8], [10, 14, 6], [4, 13, 11], [12, 9, 16, 19, 15, 20, 18, 17]]
12: [[5, 7, 2], [1, 3], [8, 10], [14, 15, 6], [11, 13, 16, 12, 19, 17, 18, 20, 4, 9]]
13: [[5, 7, 2], [1, 3, 8, 10], [14, 6], [4, 13, 11, 12], [9, 16, 15, 19, 17, 18, 20]]
14: [[5, 7, 2], [1, 3], [8, 10, 14, 4], [13, 11, 6, 9], [12, 16, 15, 19, 17, 18, 20]]
15: [[5, 7, 2], [1, 3, 8], [10, 14, 6], [4, 9, 15, 11, 13, 12, 19, 18, 17, 16, 20]]
16: [[5, 7, 2], [1, 3, 8], [10, 14, 6], [4, 11], [12, 9, 13], [15, 17, 18], [16, 19, 20]]
17: [[5, 7, 2], [1, 3], [8, 10], [14, 13, 6, 4], [11], [12], [16, 19, 15], [17, 18, 20, 9]]
18: [[5, 7, 2], [1, 3, 8], [10, 14, 4], [6, 9, 11, 12], [16], [13, 17, 15, 19, 18, 20]]
19: [[5, 7, 2], [1, 3], [8, 10], [14, 6, 13], [11, 4], [12, 9], [16, 19, 15], [18, 20, 17]]
20: [[5, 7, 2], [1, 3], [8, 10], [14, 4, 6], [12, 9], [11, 17, 13, 15], [19, 20, 18, 16]]
21: [[5, 7, 2], [1, 3, 8, 10], [14], [13], [11, 12, 9], [19, 18, 17, 16, 15], [20, 6, 4]]
22: [[5, 7], [2, 1], [3, 8], [10, 14, 6, 4], [12], [11, 9], [16, 17, 13, 15], [18, 19, 20]]
23: [[5, 7, 2], [1, 3], [8, 10], [14, 12, 15], [13, 11, 4], [19, 16, 6, 9], [17, 18, 20]]
24: [[5, 7, 2], [1, 3, 8], [10, 14], [6, 12, 11], [4, 13, 9], [16, 19, 15, 17, 18, 20]]
25: [[5, 7, 2], [1, 3], [8, 10], [14, 6], [4, 11], [12, 9], [13, 16, 17], [15, 19, 18, 20]]
26: [[5, 7], [2, 1], [3, 8, 10], [14, 4, 6, 12], [11, 13, 16, 9], [18, 17, 19, 15], [20]]
27: [[5, 7, 2], [1, 3], [8, 10], [14, 15, 4, 12], [18, 13, 6, 16], [9, 17, 11, 19, 20]]
28: [[5, 7], [2, 1], [3, 8, 10, 14], [13, 11, 6, 4], [18, 12, 17, 9], [16, 19, 20, 15]]
29: [[5, 7], [2, 1, 3], [8, 10], [14, 6, 12], [11, 4, 13], [15, 16, 17, 9, 20, 19, 18]]
30: [[5, 7, 2], [1, 3], [8, 10, 14, 15], [4, 6, 12, 9], [16, 11, 13], [17, 18, 19, 20]]
31: [[5, 7], [2, 1], [3, 8, 10], [14, 6], [13, 4], [11, 19, 9], [18, 17, 16], [12, 20, 15]]
32: [[5, 7, 2], [1, 3], [8, 10, 14], [11, 12, 17, 6, 4], [13, 19, 16, 15, 9], [18, 20]]
33: [[5, 7, 2, 1], [3, 8, 10, 14], [6, 4, 12, 11, 9, 19, 15, 13, 17, 16, 18, 20]]
34: [[5, 7], [3, 1], [2, 8], [10, 14], [6, 4, 13, 11], [12, 9, 16], [19, 17, 15], [18, 20]]
35: [[5, 7, 2], [1], [3, 8], [10, 14, 13, 6], [19, 16, 11, 4, 15], [17, 18, 20, 12, 9]]
36: [[5, 7, 2, 1, 3, 8], [10, 14, 15, 6, 12, 11, 9, 19, 17], [13, 18, 16, 4, 20]]
37: [[5, 7], [2, 1, 3], [8, 10], [14, 15], [6, 4, 9], [13, 11, 18], [12, 17, 16], [19, 20]]
38: [[5, 7], [2, 1, 3], [8, 10, 14, 4, 6, 9, 11, 13, 15, 17], [19, 16, 18, 20, 12]]
39: [[5, 7, 2], [1, 3], [8, 10, 14], [6, 4], [15, 11], [9, 12, 16], [19, 17, 18], [20, 13]]
40: [[5, 7, 2], [1, 3, 8, 10], [14, 12], [6, 9], [13, 4, 15], [19, 17, 16], [11, 18, 20]]
41: [[5, 7, 3], [1, 2, 8, 10], [14], [13, 4, 11], [12, 15, 9], [16, 19], [17, 18, 6, 20]]
