0: [[12], [10, 1, 2, 4], [3, 5], [6, 8, 11, 9], [7, 13]]
1: [[12], [10, 1, 2, 4], [3, 5], [6, 8, 11, 9], [7, 13]]
2: [[12], [10, 1, 2, 4], [3, 5], [6, 8, 11, 9], [7, 13]]
3: [[12, 10, 1, 2], [4], [3, 5], [6, 8, 11, 9], [7, 13]]
4: [[12, 10, 1, 2], [4], [3, 5], [6, 8, 11, 9], [7, 13]]
5: [[12, 10, 1, 2], [4], [3, 5], [6, 8, 11, 9], [7, 13]]
6: [[12, 10, 1, 2], [4], [3, 5], [6, 8, 11, 9], [7, 13]]
7: [[12, 10, 1, 2], [4], [3, 5], [6, 8, 11, 9], [7, 13]]
8: [[12, 10, 1, 2], [4], [3, 5], [6, 8, 11, 9], [7, 13]]
9: [[12], [10, 1, 4, 2, 3], [5], [6, 8, 11, 9], [13, 7]]
10: [[12, 10, 1, 2], [4, 3], [5], [6, 8, 11, 9], [7, 13]]
11: [[12, 10, 1, 2], [4, 3], [5], [6, 8, 11, 9], [7, 13]]
12: [[12, 10, 1, 2], [4, 3], [5], [6, 8, 11, 9], [7, 13]]
13: [[12, 10], [1, 4, 2, 3], [5], [6, 8, 11, 9], [13, 7]]
14: [[12, 10, 1, 2], [3, 5, 6, 8, 4], [11, 9, 7], [13]]
15: [[12, 10], [1, 4, 2, 3], [5], [6, 8, 11, 9], [13, 7]]
16: [[12, 10], [1, 4, 2, 3], [5], [6, 8, 11, 9], [13, 7]]
17: [[12, 10, 1, 2], [4, 3, 5, 6], [8], [11, 9], [7, 13]]
18: [[12, 10], [1], [3, 5, 2, 4], [6, 8, 11, 9], [13, 7]]
19: [[12], [10, 1], [4, 5, 2, 3], [6, 8, 11, 9], [13, 7]]
20: [[12], [10, 1], [4, 5, 2, 3], [6, 8, 11, 9], [13, 7]]
21: [[12, 10], [1], [3, 5, 2, 4], [6, 8, 11, 9], [13, 7]]
22: [[12, 10], [1], [3, 5, 2, 4], [6, 8, 11, 9], [13, 7]]
23: [[12, 10], [1], [3, 5, 2, 4], [6, 8, 11, 9], [13, 7]]
24: [[12, 10, 1, 2], [4, 3], [5, 6, 8, 11], [9], [7, 13]]
25: [[12, 10, 1, 2, 4], [3], [5, 6, 8, 11], [9], [13, 7]]
26: [[12], [10, 1, 6, 2, 3], [5], [4, 8, 11, 9], [7, 13]]
27: [[12, 10], [1], [2, 6, 3, 5], [4, 8, 11, 9], [13, 7]]
