It No., Best MQ, No clusters, max clus, min clus
1,1.7548282470883088,3,7,6
2,1.728382066276803,4,5,5
3,2.10698785443031,5,4,4
4,2.035634540897699,6,4,3
5,1.729499712478436,3,7,6
6,2.100345560871877,5,4,4
7,1.6654789431788029,3,7,6
8,1.8616161616161615,6,4,3
9,1.7736975668010149,5,4,4
10,2.18261810653115,5,4,4
11,1.7895622895622894,4,5,5
12,2.1256487600881195,5,4,4
13,1.7477467534856346,3,7,6
14,2.11231884057971,5,4,4
15,1.9168350168350168,4,5,5
16,2.11231884057971,5,4,4
17,1.7895622895622894,4,5,5
18,1.7119662094086647,4,5,5
19,2.092996324804105,6,4,3
20,1.9310789049919483,5,4,4
21,1.708668242710796,3,7,6
22,1.998755672668716,5,4,4
23,1.7878787878787878,4,5,5
24,1.795935960591133,4,5,5
25,1.7548282470883088,3,7,6
26,1.723232323232323,5,4,4
27,1.8095785440613026,3,7,6
28,1.8416450216450215,5,4,4
29,1.7200746965452849,3,7,6
30,1.7849002849002849,4,5,5
31,1.8498007368975111,4,5,5
