0: [[4, 22, 15], [3, 6], [11, 7], [8, 5, 13], [14, 10, 2], [12, 20, 17, 1, 9, 19], [16, 18], [23, 21, 24]]
1: [[4, 22, 15, 2], [3, 6], [11, 7], [5, 8, 9], [14, 10], [12, 13, 20, 17, 19, 1], [16, 18], [23, 21, 24]]
2: [[4, 22], [15, 2, 3, 6], [11, 7], [5, 8, 9], [14, 10], [12, 13, 20, 17, 19, 1], [16, 18], [23, 21, 24]]
3: [[4, 22], [15, 2, 3, 6], [11, 7], [5, 8, 9], [14, 10], [12, 13, 20, 17, 19, 1], [16, 18], [23, 21, 24]]
4: [[4, 22], [15, 2, 3, 6, 1], [11, 7], [5, 8, 9], [14, 10], [12, 13, 19], [20, 17, 16, 18], [23, 21, 24]]
5: [[9, 19, 1], [4, 22, 15, 2], [3, 6], [11, 7], [5, 8], [14, 10], [12, 13], [20, 17, 16, 18], [23, 21, 24]]
6: [[9, 19, 1], [4, 22, 15, 2], [3, 6], [11, 7], [5, 8], [14, 10], [12, 13], [20, 17, 16, 18], [23, 21, 24]]
7: [[4, 22], [15, 2], [3, 6, 9], [11, 7, 5, 8], [14, 10], [12, 13, 20, 17, 19, 1], [16, 18], [23, 21, 24]]
8: [[4, 22, 15], [2, 3], [6, 11, 7], [5, 8, 9], [14, 10], [12, 13, 20, 17, 19, 1], [16, 18], [23, 21, 24]]
9: [[4, 22, 15], [2, 3], [6, 11, 7], [5, 8, 9], [14, 10], [12, 13, 20, 17, 19, 1], [16, 18], [23, 21, 24]]
10: [[4, 22], [15, 2], [3, 6, 11, 7], [5, 8, 9], [14, 10], [12, 13, 20, 17, 19, 1], [16, 18], [23, 21, 24]]
11: [[4, 22], [15, 2], [3, 6, 11, 7], [5, 8, 9], [14, 10], [12, 13, 19, 1], [20, 17, 16, 18], [23, 21, 24]]
12: [[4], [22, 15, 2, 3, 6], [11, 7], [5, 8, 9], [14, 10], [12, 13, 20, 17, 19, 1], [16, 18], [23, 21, 24]]
13: [[4, 19], [22, 15], [2, 3, 6, 1], [11, 7], [5, 8, 9], [14, 10, 12, 13, 20, 17], [16, 18], [23, 21, 24]]
14: [[9, 19, 1, 4], [22, 15], [2, 3, 6], [11, 7], [5, 8], [14, 10], [12, 13, 20, 17], [16, 18], [23, 21, 24]]
15: [[9, 19, 1, 4], [22, 15], [2, 3, 6], [11, 7], [5, 8], [14, 10], [12, 13, 20, 17], [16, 18], [23, 21, 24]]
16: [[9, 19, 1, 4], [22, 15], [2, 3, 6], [11, 7], [5, 8], [14, 10], [12, 13, 20, 17], [16, 18], [23, 21, 24]]
17: [[9, 19, 1, 4], [22, 15], [2, 3, 6], [11, 7], [5, 8], [14, 10], [12, 13, 20, 17], [16, 18], [23, 21, 24]]
18: [[9, 19, 1, 4], [22, 15], [2, 3, 6], [11, 7], [5, 8], [14, 10], [12, 13, 20, 17], [16, 18], [23, 21, 24]]
19: [[9, 19, 1, 4], [22, 15], [2, 3, 6], [11, 7], [5, 8], [14, 10], [12, 13, 20, 17], [16, 18], [23, 21, 24]]
20: [[4, 22, 15, 2], [3, 6, 9, 1], [11, 7], [5, 8, 14], [10, 12, 19], [13, 20], [17, 16, 18], [23, 21, 24]]
21: [[4, 19], [22, 15], [2, 3, 6, 9, 1], [11, 7], [5, 8, 14], [10, 12, 13, 20, 17], [16, 18], [23, 21, 24]]
22: [[4], [22, 15], [2, 3, 6, 1], [11, 7], [5, 8, 9], [14, 10, 12, 13, 20, 19], [17, 16, 18], [23, 21, 24]]
23: [[4], [22, 15, 2], [3, 6], [11, 7], [5, 8, 9], [14, 10, 12, 19], [13, 20, 17, 16, 18, 1], [23, 21, 24]]
24: [[4], [22, 15], [2, 3, 6, 11, 7], [5, 8, 9], [14, 10, 19], [12, 13, 20, 1], [17, 16, 18], [23, 21, 24]]
25: [[4], [22, 15], [2, 3, 6], [11, 7, 5, 8], [14, 10, 12, 13, 19], [20, 17, 9, 1], [16, 18], [23, 21, 24]]
26: [[4, 22, 15], [2, 3, 1], [6, 11, 9], [7, 5], [8, 14], [10, 12, 13, 20, 17, 19], [16, 18], [23, 21, 24]]
27: [[4, 22, 15], [2, 3, 1], [6, 11, 9], [7, 5], [8, 14], [10, 12, 13, 20, 17, 19], [16, 18], [23, 21, 24]]
28: [[4, 22], [15, 2], [3, 6, 11, 7, 5], [8, 14, 9], [10, 12, 19, 1], [13, 20], [17, 16, 18], [23, 21, 24]]
29: [[4], [22, 15], [2, 3, 6, 11, 1], [7, 5, 8, 9], [14, 10], [12, 13, 20, 17, 19], [16, 18], [23, 21, 24]]
30: [[4, 22], [15, 2, 3, 6, 11], [7, 5], [8, 14], [10, 12, 19], [13, 20, 17, 9, 1], [16, 18], [23, 21, 24]]
31: [[4], [22, 15], [2, 3, 6, 11, 1], [7, 5, 8, 9], [14, 10], [12, 13, 20, 17, 19], [16, 18], [23, 21, 24]]
32: [[4], [22, 15], [2, 3], [6, 11, 7, 5], [8, 14, 10, 19], [12, 13], [20, 17, 16, 18, 9, 1], [23, 21, 24]]
33: [[4], [22, 15, 2, 3, 1], [6, 11, 9], [7, 5, 8], [14, 10], [12, 13, 20, 17, 19], [16, 18], [23, 21, 24]]
34: [[19], [22, 15, 4], [2, 3], [6, 11, 9], [7, 5], [8, 14, 10, 12], [13, 20, 17, 1], [16, 18], [23, 21, 24]]
35: [[4, 19], [22, 15], [2, 3, 6, 11, 1], [7, 5], [8, 14, 9], [10, 12, 13, 20, 17], [16, 18], [23, 21, 24]]
36: [[4, 19], [22, 15], [2, 3, 6, 11, 1], [7, 5], [8, 14, 9], [10, 12, 13, 20, 17], [16, 18], [23, 21, 24]]
37: [[4, 19], [22, 15], [2, 3], [6, 11, 9, 1], [7, 5], [8, 14, 10], [12, 13, 20, 17, 16, 18], [23, 21, 24]]
38: [[4], [22, 15], [2, 3], [6, 11], [7, 5, 8, 14], [10, 12, 13, 19], [20, 17, 9, 1], [16, 18], [23, 21, 24]]
39: [[4, 22, 15, 2], [3, 6], [11, 7], [5, 8, 9], [14, 10], [12, 13, 20, 17, 16, 19, 1], [18, 23], [21, 24]]
