0: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
1: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
2: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
3: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
4: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
5: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
6: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
7: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
8: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
9: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
10: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
11: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
12: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
13: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
14: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
15: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
16: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
17: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
18: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
19: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
20: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
21: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
22: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
23: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
24: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
25: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
26: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
27: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
28: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
29: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
30: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
31: [[8, 3, 4, 1, 13, 20, 12], [25, 5], [23, 7, 9, 19, 24, 22, 14], [2, 6, 28, 10], [15, 16, 17, 11, 18], [21, 29, 26, 27]]
