0: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9, 14, 11, 12], [15, 17, 18, 19, 20]]
1: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9, 14, 11, 12], [15, 17, 18, 19, 20]]
2: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9, 14, 11, 12], [15, 17, 18, 19, 20]]
3: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9, 14], [11, 12], [15, 17, 18, 19, 20]]
4: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9], [14, 11, 12, 15], [17, 18, 19, 20]]
5: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9], [14, 11, 12, 15], [17, 18, 19, 20]]
6: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9, 14], [11, 12], [15, 17, 18, 19, 20]]
7: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9], [14, 11, 12, 15], [17, 18, 19, 20]]
8: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9], [14, 11, 12, 15], [17, 18, 19, 20]]
9: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4, 13, 9], [14, 11, 12], [15, 17, 18, 19, 20]]
10: [[6, 10, 16, 7], [1, 3, 8, 2], [5, 4, 13, 9], [14, 11, 12, 15], [17, 18, 19, 20]]
11: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9, 14], [11, 12, 15], [17, 18, 19, 20]]
12: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4], [13, 9, 14, 11], [12, 15, 17, 18, 19, 20]]
13: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4, 13, 9], [14, 11, 12, 15, 17], [18, 19, 20]]
14: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4, 13, 9], [14, 11, 12, 15, 17, 18, 19, 20]]
15: [[6, 10, 16, 7], [1, 3, 8, 2], [5, 4, 13, 9, 14], [11, 12, 15, 17, 18, 19, 20]]
16: [[6, 10, 16, 7], [1, 3, 8], [2, 5, 4, 13], [9, 14, 11, 12], [15, 17, 18], [19, 20]]
17: [[6, 10, 16, 7], [1, 3, 8, 2], [5, 4], [13, 9, 14, 11], [12, 15, 17, 18], [19, 20]]
18: [[6, 10, 16, 7], [1, 3, 8, 2], [5, 4, 13, 9], [14, 11, 12, 15, 17, 18, 19, 20]]
19: [[6, 10, 16, 7], [1, 3, 8, 2], [5, 4, 13, 9], [14, 11, 12, 15, 17, 18, 19, 20]]
20: [[6, 10, 16], [7, 1, 3, 8], [2, 5, 4, 13], [9, 14, 11, 12], [15, 17, 18, 19, 20]]
21: [[6, 10, 16, 7, 1], [3, 8, 2], [5, 4, 13], [9, 14, 11, 12], [15, 17, 18, 19, 20]]
22: [[6, 10, 16, 7], [1, 3, 8, 2], [5, 4, 13, 9], [14, 11, 12], [15, 17, 18, 19], [20]]
23: [[6, 10, 16, 7], [1, 3, 8, 2], [5, 4, 13], [9, 14], [11, 12, 15, 17, 18], [19, 20]]
24: [[6, 10, 16], [7, 1, 3], [8, 2, 5], [4, 13, 9], [14, 11, 12, 15], [17, 18, 19, 20]]
25: [[6, 10, 16, 7, 1], [3, 8, 2, 5], [4, 13, 9, 14, 11, 12, 15], [17, 18, 19, 20]]
26: [[6, 10, 16], [7, 1, 3], [8, 2, 5], [4, 13, 9], [14, 11, 12, 15], [17, 18, 19, 20]]
27: [[6, 10, 16], [7, 1, 3], [8, 2, 5], [4, 13, 9, 14], [11, 12, 15], [17, 18, 19, 20]]
28: [[6, 10, 16], [7, 1, 3, 8, 2, 5], [4, 13, 9, 14], [11, 12, 15, 17, 18, 19, 20]]
29: [[6, 10, 16], [7, 1, 3], [8, 2, 5], [4, 13, 9, 14], [11, 12, 15], [17, 18, 19, 20]]
30: [[6, 10, 16], [7, 1, 3], [8, 2, 5], [4, 13, 9, 14], [11, 12, 15], [17, 18, 19, 20]]
31: [[6, 10, 16, 7], [1, 3, 8, 2, 5], [4, 13, 9], [14, 11, 12], [15, 17, 18], [19, 20]]
32: [[6, 10, 16, 7], [1, 3, 8, 2, 5], [4, 13, 9], [14, 11, 12], [15, 17, 18], [19, 20]]
33: [[6, 10, 16], [7, 1, 3], [8, 2], [5, 4, 13], [9, 14, 11], [12, 15], [17, 18, 19, 20]]
34: [[6, 10, 16, 7], [1, 3, 8, 2, 5, 4, 13, 9], [14, 11, 12, 15, 17, 18, 19, 20]]
35: [[6, 10, 16], [7, 1, 3], [8, 2, 5], [4, 13], [9, 14, 11, 12], [15, 17, 18], [19, 20]]
36: [[6, 10, 16, 7], [1, 3, 8, 2], [5, 4, 13, 9, 14, 11, 12, 15, 17, 18, 19, 20]]
37: [[6, 10, 16], [7, 1, 3], [8, 2, 5], [4, 13], [9, 14, 11, 12], [15, 17, 18, 19], [20]]
38: [[6, 10, 16, 7, 1], [3, 8, 2, 5, 4, 13, 9, 14], [11, 12, 15, 17, 18, 19, 20]]
39: [[6, 10], [16, 7, 1], [3, 8, 2], [5, 4, 13, 9], [14, 11, 12, 15], [17, 18, 19, 20]]
