0: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
1: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
2: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
3: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
4: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
5: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
6: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
7: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
8: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
9: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
10: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
11: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
12: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
13: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
14: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
15: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
16: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
17: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
18: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
19: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
20: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
21: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
22: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
23: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
24: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
25: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
26: [[4, 17], [10, 5], [2, 1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
27: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15, 19, 20, 18]]
28: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15, 19, 20, 18]]
29: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15, 19, 20, 18]]
30: [[4, 17, 10], [5, 2, 1], [8, 3], [7, 6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
31: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13, 16, 14, 15], [19, 20, 18]]
32: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11], [13, 16, 14], [15, 19, 20, 18]]
33: [[4, 17], [10, 5], [2, 1, 8], [3, 7], [6, 9], [12, 11, 13], [16, 14, 15], [19, 20, 18]]
34: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9], [12, 11, 13, 16, 14, 15, 19, 20, 18]]
35: [[4, 17], [10, 5, 2], [1, 8, 3], [7, 6, 9, 12, 11, 13, 16, 14, 15, 19, 20, 18]]
36: [[4, 17, 10], [5, 2, 1], [8, 3, 7], [6, 9, 12], [11, 13, 16], [14, 15], [19, 20, 18]]
37: [[4, 17, 10], [5, 2, 1], [8, 3, 7], [6, 9, 12], [11, 13, 16, 14, 15, 19, 20, 18]]
38: [[4, 17], [10, 5, 2], [1, 8, 3, 7, 6, 9, 12, 11, 13, 16, 14, 15, 19, 20, 18]]
39: [[4, 17, 10], [5, 2, 1], [8, 3, 7], [6, 9, 12], [11, 13, 16], [14, 15, 19], [20, 18]]
