0: [[4, 6, 5, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20, 1], [23, 21, 24]]
1: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
2: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
3: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
4: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
5: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
6: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
7: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
8: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
9: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
10: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
11: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
12: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
13: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
14: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
15: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
16: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
17: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
18: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
19: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
20: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
21: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
22: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
23: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
24: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
25: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
26: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
27: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
28: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
29: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18], [17, 22, 19, 20], [23, 21, 24]]
30: [[3, 5, 16, 6, 1], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13, 18, 17], [22, 19, 20, 4], [23, 21, 24]]
31: [[5, 1, 4, 6, 3, 16], [10, 7, 14, 2, 11], [9, 8, 12, 15, 13], [18, 17, 22, 19, 20], [23, 21, 24]]
