0: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
1: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
2: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
3: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
4: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
5: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9], [13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
6: [[11, 10, 14, 7, 17, 12, 1], [4, 3, 16], [6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
7: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
8: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
9: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6, 9], [13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
10: [[11, 10, 14, 7, 17, 12, 1], [4, 3, 16], [6, 9, 13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
11: [[11, 10, 14, 7], [17, 12, 1], [4, 3, 16, 6], [9, 13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
12: [[11, 10, 14, 7, 17, 12], [1, 4, 3, 16, 6], [9, 13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
13: [[11, 10, 14], [7, 17, 12], [1, 4, 3, 16], [6, 9, 13], [22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
14: [[11, 10, 14, 7, 17, 12], [1, 4], [3, 16, 6, 9], [13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
15: [[11, 10, 14], [7, 17, 12, 1, 4], [3, 16, 6], [9, 13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
16: [[11, 10, 14], [7, 17, 12, 1, 4], [3, 16, 6], [9, 13, 22, 2], [23, 21, 24], [15, 8, 20, 5, 18, 19]]
17: [[11, 10, 14, 7, 17, 12], [1, 4, 3], [16, 6, 9, 13, 22], [2, 23, 21, 24], [15, 8, 20, 5, 18, 19]]
18: [[11, 10, 14], [7, 17, 12, 1], [4, 3, 16, 6], [9, 13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
19: [[11, 10, 14], [7, 17, 12, 1, 4], [3, 16, 6, 9], [13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
20: [[11, 10, 14], [7, 17, 12, 1, 4], [3, 16, 6, 9], [13, 22, 2], [23, 21, 24], [15, 8, 20], [5, 18, 19]]
