0: [[53], [28, 39], [3, 30, 31, 51], [8, 5, 18], [4, 7], [52], [9], [20, 15, 19, 47, 6, 10], [57], [1, 37, 16, 54, 29], [58], [14, 41, 26], [27, 11], [56, 25], [13, 22, 21], [23], [32, 17], [33, 34], [36, 40, 24, 45, 50, 12], [38, 44], [42, 43], [48, 49], [35, 46, 2], [55, 59], [60]]
1: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 10, 9, 22, 8, 12, 30, 29, 23, 16, 18, 21, 24, 11, 15, 26], [20, 19, 17, 25, 31, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
2: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 11, 9, 6, 8, 12, 10, 24, 15, 16, 23, 26, 29, 21, 17, 22, 18], [20, 31, 25, 19, 30, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
3: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 8, 9, 10, 11, 12, 15, 18, 17, 22, 23, 29, 31, 21, 25, 16], [30, 19, 20, 24, 26, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
4: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 9, 10, 11, 6, 8, 15, 30, 12, 29, 18, 23, 21, 17, 16, 22, 26], [20, 19, 24, 25, 31, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
5: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 9, 8, 10, 11, 12, 15, 18, 16, 19, 23, 21, 30, 17, 22, 24], [20, 26, 29, 25, 31, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
6: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 8, 10, 9, 11, 12, 19, 18, 17, 15, 23, 21, 16, 30, 22, 24], [20, 25, 26, 29, 31, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
7: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 11, 9, 8, 10, 12, 15, 18, 16, 23, 22, 21, 31, 17, 24, 19], [29, 26, 20, 25, 30, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
8: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 11, 12, 8, 9, 10, 15, 18, 19, 16, 17, 21, 22, 24, 31, 23], [20, 30, 25, 26, 29, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
9: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 8, 9, 10, 12, 15, 24, 11, 17, 16, 31, 21, 22, 19, 23, 18], [20, 26, 25, 29, 30, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
10: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 8, 10, 11, 15, 12, 17, 18, 19, 9, 22, 21, 16, 31, 23, 24], [20, 25, 26, 29, 30, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
11: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 10, 8, 9, 11, 12, 15, 18, 16, 23, 19, 21, 22, 17, 24, 31], [20, 26, 25, 30, 29, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
12: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 11, 9, 8, 10, 12, 15, 18, 16, 19, 30, 21, 23, 25, 24, 17], [20, 22, 26, 29, 31, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
13: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 8, 10, 11, 9, 12, 15, 18, 21, 17, 22, 23, 19, 24, 16, 25], [20, 31, 26, 29, 30, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
14: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 9, 8, 10, 12, 11, 15, 22, 16, 17, 19, 21, 23, 18, 25, 24], [20, 31, 26, 29, 30, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
15: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 11, 8, 9, 15, 12, 19, 22, 17, 18, 23, 24, 25, 16, 10, 21, 6], [20, 30, 26, 31, 29, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
16: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 9, 10, 8, 11, 12, 15, 16, 21, 19, 18, 17, 22, 23, 25, 24], [20, 26, 29, 31, 30, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
17: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 9, 8, 11, 10, 12, 15, 23, 16, 22, 18, 17, 19, 21, 24, 25], [20, 29, 26, 30, 31, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
18: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 9, 8, 11, 12, 10, 15, 18, 21, 17, 16, 19, 23, 22, 25, 24], [20, 26, 31, 29, 30, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
19: [[35, 1, 7, 2, 27, 3], [4, 13, 5, 28, 14, 6, 11, 8, 9, 10, 12, 15, 18, 17, 16, 19, 23, 22, 21, 25, 24], [20, 29, 26, 31, 30, 32, 33, 37, 42, 39, 36, 34, 45, 38, 41, 43, 40, 44], [47, 46, 54, 50, 53, 51, 48, 56, 49, 52, 55, 57, 58, 59, 60]]
