0: [[17, 24, 13, 21], [8, 59, 5, 18, 38, 54], [22, 28], [47, 29, 16, 37], [10, 15, 33, 14, 6, 11], [4, 7, 44, 42], [3, 46, 1, 53, 30], [35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45], [26, 34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
1: [[17, 24, 13, 21], [8, 59, 5, 38, 18], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 6, 11], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45], [26, 34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
2: [[17, 24, 13, 21], [8, 59, 5, 18, 38], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 11, 6], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45, 26], [34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
3: [[17, 24, 13, 21], [8, 59, 5, 18, 38], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 6, 11], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45, 26], [34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
4: [[17, 24, 13, 21], [8, 59, 5, 18, 38], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 6, 11], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45, 26], [34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
5: [[17, 24, 13, 21], [8, 59, 5, 18, 38], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 6, 11], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45, 26], [34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
6: [[17, 24, 13, 21], [8, 59, 5, 38, 18], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 6, 11], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45, 26], [34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
7: [[17, 24, 13, 21], [8, 59, 5, 18, 38], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 11, 6], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45, 26], [34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
8: [[17, 24, 13, 21], [8, 59, 5, 18, 38], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 6, 11], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45, 26], [34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
9: [[17, 24, 13, 21], [8, 59, 5, 18, 38], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 11, 6], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45, 26], [34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
10: [[17, 24, 13, 21], [8, 59, 5, 18, 38], [54, 22, 28, 47], [29, 16, 37, 10], [15, 33, 14, 6, 11], [4, 7, 44, 42], [3, 46, 1, 53], [30, 35, 25, 2], [12, 40, 9, 23], [19, 31, 32, 20], [50, 48, 36, 45, 26], [34, 55, 58, 39], [49, 60, 57, 41], [52, 43, 27, 51, 56]]
