0: [[2, 20, 8, 13, 3, 6, 5, 1], [11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
1: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
2: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
3: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
4: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
5: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
6: [[2, 20, 8, 13, 1], [3, 6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
7: [[2, 20, 8, 13, 1], [3, 6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
8: [[2, 20, 8, 13, 1], [3, 6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
9: [[2, 20, 8, 13, 1], [3, 6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
10: [[2, 20, 8, 13, 1], [3, 6, 5, 11, 7, 10, 14, 4, 9], [15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
11: [[2, 20, 8, 13, 1], [3, 6, 5, 11, 7, 10, 14, 4, 9], [15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
12: [[2, 20, 8, 13, 1, 3], [6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
13: [[2, 20, 8, 13, 1, 3], [6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
14: [[2, 20, 8, 13, 1, 3], [6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
15: [[2, 20, 8, 13, 1, 3], [6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
16: [[2, 20, 8, 13, 1, 3], [6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
17: [[2, 20, 8, 13, 1, 3], [6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
18: [[2, 20, 8, 13, 1, 3, 6], [5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
19: [[2, 20, 8, 13, 1, 3, 6], [5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
20: [[2, 20, 8, 13, 1, 3, 6], [5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
21: [[2, 20, 8, 13, 1, 3, 6], [5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
22: [[2, 20, 8, 13, 1, 3, 6], [5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
23: [[2, 20, 8, 13, 1, 3, 6], [5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
24: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10], [14, 4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
25: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10, 14, 4], [9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
26: [[2, 20, 8, 13, 1, 3], [6, 5, 11, 7, 10, 14, 4], [9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
27: [[2, 20, 8, 13, 1, 3, 6, 5, 11, 7], [10, 14, 4], [9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
28: [[2, 20, 8, 13, 1, 3, 6, 5, 11], [7, 10, 14, 4], [9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
29: [[2, 20, 8, 13, 1, 3, 6, 5, 11], [7, 10, 14, 4], [9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
30: [[2, 20, 8, 13, 1, 3, 6, 5, 11, 7], [10, 14, 4], [9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
31: [[2, 20, 8, 13, 1, 3, 6], [5, 11, 7, 10, 14, 4, 9, 12], [15, 18, 19, 16, 22, 17], [23, 21, 24]]
32: [[2, 20, 8, 13, 1, 3, 6], [5, 11, 7, 10, 14, 4, 9, 12], [15, 18, 19, 16, 22, 17], [23, 21, 24]]
33: [[2, 20, 8, 13], [1, 3, 6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
34: [[2, 20, 8, 13], [1, 3, 6, 5, 11, 7, 10, 14], [4, 9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
35: [[2, 20, 8, 13, 1, 3, 6, 5, 11], [7, 10, 14, 4, 9], [15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
36: [[2, 20, 8, 13, 1, 3, 6, 5, 11], [7, 10, 14, 4, 9], [15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
37: [[2, 20, 8, 13, 1], [3, 6, 5, 11, 7, 10], [14, 9, 15, 18, 19, 17, 16, 4, 12], [22, 23, 21, 24]]
38: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10], [14, 9, 15, 18, 19, 17, 16, 4, 12], [22, 23, 21, 24]]
39: [[2, 20, 8, 13, 1, 3, 6, 5, 11], [7, 10, 14, 4, 9, 12], [15, 18, 19, 16, 22, 17], [23, 21, 24]]
40: [[2, 20, 8, 13, 1, 3, 6, 5, 11], [7, 10, 14, 4, 9, 12], [15, 18, 19, 16, 22, 17], [23, 21, 24]]
41: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10, 14, 9, 4], [15, 18, 19, 17, 16, 12], [22, 23, 21, 24]]
42: [[2, 20, 8], [13, 1, 3, 6, 5, 11, 7, 10, 14, 4], [9, 15, 18, 19, 16, 22, 12, 17], [23, 21, 24]]
43: [[2, 20, 8, 13, 1, 3, 6, 5, 11], [7, 10, 14, 4, 9, 15, 12], [18, 19, 16, 22, 17], [23, 21, 24]]
44: [[2, 20, 8, 13, 1, 3, 6, 5, 11, 7], [10, 14, 4, 9, 15, 12], [18, 19, 16, 22, 17], [23, 21, 24]]
45: [[2, 20, 8, 13, 1, 3, 6, 5, 11], [7, 10], [14, 9, 15, 18, 19, 17, 16, 4, 12], [22, 23, 21, 24]]
46: [[2, 20, 8, 13, 1], [3, 6, 5, 11, 7, 10, 14, 4], [9, 15, 18, 19, 16, 22, 23, 12, 17], [21, 24]]
47: [[2, 20, 8, 13, 1, 3, 6, 5], [11, 7, 10, 14, 4], [9, 15, 18, 19, 16, 22, 23, 12, 17], [21, 24]]
