It No., Best MQ, No clusters, max clus, min clus
1,1.6649885179296944,3,11,2
2,1.52807440925088,7,5,2
3,2.0029733424470266,4,6,4
4,1.7743859649122806,5,6,2
5,1.7160782479931416,3,8,5
6,1.4998632010943913,3,8,5
7,1.789473684210526,3,8,6
8,2.080472263868066,4,6,4
9,1.745879120879121,3,8,4
10,1.8682058682058682,5,5,3
11,1.6726920877864273,3,9,4
12,1.7302350427350426,8,4,2
13,1.7014639729036012,7,6,2
14,1.6226053639846743,3,9,4
15,1.561725884571302,3,8,5
16,1.6330612244897957,3,8,4
17,1.8079334458644805,5,6,2
18,1.8545652532585382,4,6,4
19,1.8853560232870579,4,6,4
20,1.5676767676767676,8,3,2
21,1.821535723366387,4,7,2
22,1.635871025526198,5,5,3
23,2.088075804484473,6,5,2
24,1.9220048309178743,4,9,2
25,1.8787162728339197,6,6,2
26,1.7907070707070707,5,5,2
27,1.7395332875772134,3,8,5
28,1.6414820743507463,4,6,3
29,1.6812865497076024,7,4,2
30,1.6592452830188678,3,10,4
31,1.5978267288726156,3,9,4
