0: [[24, 19, 18], [5, 12, 13, 11], [9, 3, 1, 4], [22, 35, 7, 2], [10, 14], [8, 6, 15, 29], [21, 27], [16, 23, 20], [17, 25, 28, 26], [31, 30, 32, 33, 34], [36, 37]]
1: [[24, 19, 18], [5, 12, 13, 11], [9, 3, 1, 4], [22, 35, 7, 2], [10, 14], [8, 6, 15, 29], [21, 27], [16, 23, 20], [17, 25, 28, 26], [31, 30, 32, 33, 34], [36, 37]]
2: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32], [33, 34], [36, 37]]
3: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32], [33, 34], [36, 37]]
4: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15], [29, 21, 27], [16, 23, 20, 17], [25, 28, 26], [31, 30, 32, 33, 34, 36, 37]]
5: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32], [33, 34], [36, 37]]
6: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32], [33, 34, 36], [37]]
7: [[24, 19, 18], [5, 12, 13, 11], [9, 3, 1, 4], [22, 35, 7, 2], [10, 14], [8, 6, 15, 29], [21, 27, 16], [23, 20, 17, 25], [28, 26, 31], [30, 32, 33], [34, 36, 37]]
8: [[24, 19, 18], [5, 12, 13], [11, 9], [3, 1, 4], [22, 35, 7], [2, 10, 14], [8, 6, 15, 29], [21, 27, 16, 23, 20, 17], [25, 28, 26], [31, 30, 32, 33, 34, 36, 37]]
9: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32, 33, 34, 36, 37]]
10: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7], [2, 10, 14], [8, 6, 15], [29, 21, 27], [16, 23, 20], [17, 25, 28, 26, 31], [30, 32, 33, 34], [36, 37]]
11: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26, 31], [30, 32, 33], [34, 36, 37]]
12: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26, 31], [30, 32, 33], [34, 36, 37]]
13: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27], [16, 23, 20], [17, 25, 28], [26, 31], [30, 32, 33], [34, 36, 37]]
14: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27], [16, 23, 20], [17, 25, 28], [26, 31], [30, 32, 33], [34, 36, 37]]
15: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27], [16, 23, 20], [17, 25, 28], [26, 31], [30, 32, 33], [34, 36, 37]]
16: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27], [16, 23, 20], [17, 25, 28], [26, 31], [30, 32, 33], [34, 36, 37]]
17: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30], [32, 33], [34, 36, 37]]
18: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30], [32, 33], [34, 36, 37]]
19: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28], [26, 31, 30, 32], [33, 34], [36, 37]]
20: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35, 7], [2, 10, 14], [8, 6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28], [26, 31, 30], [32, 33], [34, 36, 37]]
21: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7], [2, 10, 14], [8, 6], [15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32], [33, 34, 36, 37]]
22: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28], [26, 31, 30], [32, 33, 34], [36, 37]]
23: [[24, 19, 18], [5, 12, 13, 11], [9, 3, 1, 4], [22, 35, 7, 2], [10, 14], [8, 6, 15, 29], [21, 27], [16, 23], [20, 17, 25], [28, 26, 31, 30, 32, 33, 34, 36, 37]]
24: [[24, 19], [18, 5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32], [33, 34, 36], [37]]
25: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35], [7, 2, 10], [14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32, 33, 34, 36, 37]]
26: [[24, 19, 18], [5, 12, 13, 11], [9, 3, 1, 4], [22, 35, 7, 2], [10, 14], [8, 6, 15, 29], [21, 27], [16, 23], [20, 17, 25], [28, 26, 31, 30, 32, 33, 34, 36, 37]]
27: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35, 7], [2, 10, 14], [8, 6, 15], [29, 21, 27], [16, 23, 20], [17, 25, 28], [26, 31, 30], [32, 33], [34, 36, 37]]
28: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7], [2, 10], [14, 8, 6, 15], [29, 21], [27, 16, 23], [20, 17], [25, 28, 26], [31, 30, 32, 33, 34, 36, 37]]
29: [[24, 19, 18], [5, 12], [13, 11, 9, 3], [1, 4, 22, 35], [7, 2], [10, 14, 8, 6], [15, 29], [21, 27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32, 33], [34, 36, 37]]
30: [[24, 19, 18], [5, 12, 13], [11, 9], [3, 1, 4], [22, 35, 7], [2, 10, 14], [8, 6], [15, 29, 21], [27, 16], [23, 20, 17], [25, 28, 26], [31, 30, 32], [33, 34, 36, 37]]
31: [[24, 19, 18], [5, 12, 13], [11, 9, 3, 1], [4, 22, 35, 7], [2, 10, 14, 8], [6, 15], [29, 21, 27, 16], [23, 20], [17, 25, 28], [26, 31, 30, 32], [33, 34], [36, 37]]
32: [[24, 19, 18], [5, 12], [13, 11, 9], [3, 1, 4], [22, 35, 7], [2, 10, 14], [8, 6, 15], [29, 21, 27], [16, 23, 20], [17, 25, 28], [26, 31, 30], [32, 33], [34, 36, 37]]
33: [[24, 19, 18], [5, 12, 13, 11], [9, 3, 1], [4, 22, 35, 7, 2], [10, 14], [8], [6, 15, 29, 21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
34: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27], [16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
35: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35], [7, 2, 10, 14], [8, 6, 15], [29, 21, 27], [16, 23, 20], [17, 25, 28], [26, 31, 30], [32, 33, 34], [36, 37]]
36: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35, 7, 2], [10, 14, 8], [6, 15, 29, 21], [27, 16, 23], [20, 17, 25, 28], [26, 31, 30], [32, 33, 34], [36, 37]]
37: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25], [28, 26, 31], [30, 32, 33], [34, 36, 37]]
38: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14], [8, 6, 15], [29, 21], [27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
39: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16, 23], [20, 17, 25, 28, 26], [31, 30], [32, 33, 34, 36, 37]]
40: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15], [29, 21, 27], [16, 23, 20], [17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
41: [[24, 19, 18], [5, 12, 13], [11, 9, 3, 1, 4], [22, 35, 7], [2, 10, 14, 8, 6, 15, 29, 21, 27, 16, 23, 20, 17], [25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
42: [[24, 19], [18, 5, 12, 13], [11, 9], [3, 1, 4], [22, 35, 7, 2], [10, 14, 8], [6, 15, 29, 21], [27, 16, 23, 20], [17, 25, 28], [26, 31, 30], [32, 33, 34, 36, 37]]
43: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20, 17, 25], [28, 26, 31, 30, 32], [33, 34], [36, 37]]
44: [[24, 19, 18], [5, 12, 13], [11, 9], [3, 1, 4, 22, 35, 7], [2, 10, 14], [8, 6, 15, 29], [21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
45: [[24, 19, 18], [5, 12, 13, 11], [9, 3, 1], [4, 22, 35], [7, 2, 10, 14], [8, 6, 15, 29, 21, 27], [16, 23, 20, 17, 25, 28], [26, 31, 30, 32, 33, 34, 36, 37]]
46: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7], [2, 10, 14], [8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25], [28, 26, 31], [30, 32, 33], [34, 36, 37]]
47: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8], [6, 15, 29], [21, 27, 16], [23, 20], [17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
48: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14], [8, 6, 15], [29, 21, 27, 16], [23, 20, 17, 25, 28], [26, 31], [30, 32, 33, 34, 36, 37]]
49: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35, 7], [2, 10, 14, 8, 6, 15, 29, 21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
50: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25, 28, 26, 31], [30, 32, 33, 34, 36, 37]]
51: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35, 7], [2, 10, 14, 8, 6, 15, 29, 21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
52: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7], [2, 10, 14], [8, 6, 15], [29, 21, 27], [16, 23], [20, 17, 25, 28, 26, 31], [30, 32, 33, 34, 36, 37]]
53: [[24, 19, 18], [5, 12, 13, 11], [9, 3, 1, 4], [22, 35, 7], [2, 10], [14, 8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25], [28, 26, 31], [30, 32, 33, 34, 36, 37]]
54: [[24, 19, 18], [5, 12], [13, 11, 9], [3, 1], [4, 22, 35], [7, 2, 10], [14, 8, 6], [15, 29], [21, 27, 16, 23], [20, 17], [25, 28, 26], [31, 30, 32, 33, 34, 36, 37]]
55: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7], [2, 10], [14, 8, 6, 15, 29, 21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
56: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35], [7, 2, 10, 14, 8, 6, 15, 29, 21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
57: [[24, 19, 18], [5, 12], [13, 11, 9], [3, 1, 4], [22, 35, 7], [2, 10, 14], [8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25], [28, 26], [31, 30, 32], [33, 34], [36, 37]]
58: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35], [7, 2], [10, 14, 8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25], [28, 26, 31], [30, 32, 33], [34, 36, 37]]
59: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7, 2], [10, 14, 8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
60: [[24, 19], [18, 5, 12], [13, 11, 9], [3, 1, 4], [22, 35, 7], [2, 10, 14], [8, 6, 15], [29, 21, 27], [16, 23, 20], [17, 25, 28], [26, 31, 30], [32, 33, 34], [36, 37]]
61: [[24, 19, 18], [5, 12, 13], [11, 9], [3, 1, 4, 22], [35, 7, 2, 10], [14, 8, 6, 15, 29, 21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
62: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22], [35, 7], [2, 10], [14, 8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25], [28, 26], [31, 30], [32, 33, 34, 36, 37]]
63: [[24, 19, 18], [5, 12, 13], [11, 9, 3, 1], [4, 22, 35], [7, 2, 10], [14, 8, 6, 15, 29, 21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
64: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4], [22, 35], [7, 2, 10], [14, 8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25], [28, 26, 31], [30, 32, 33, 34], [36, 37]]
65: [[24, 19, 18], [5, 12, 13], [11, 9], [3, 1, 4], [22, 35, 7], [2, 10, 14], [8, 6, 15], [29, 21, 27], [16, 23], [20, 17], [25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
66: [[24, 19, 18], [5, 12, 13], [11, 9, 3], [1, 4, 22, 35], [7, 2, 10], [14, 8, 6], [15, 29, 21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
67: [[24, 19], [18, 5, 12], [13, 11, 9], [3, 1, 4], [22, 35, 7], [2, 10, 14], [8, 6, 15], [29, 21, 27], [16, 23, 20], [17, 25], [28, 26, 31], [30, 32, 33], [34, 36, 37]]
68: [[24, 19, 18], [5, 12, 13, 11, 9], [3, 1, 4], [22, 35, 7, 2, 10, 14, 8, 6, 15, 29, 21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
69: [[24, 19, 18], [5, 12, 13], [11, 9, 3, 1], [4, 22, 35], [7, 2, 10], [14, 8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
70: [[24, 19], [18, 5, 12], [13, 11, 9], [3, 1, 4], [22, 35, 7], [2, 10, 14], [8, 6, 15], [29], [21, 27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
71: [[24, 19, 18], [5, 12, 13], [11, 9, 3, 1], [4, 22, 35], [7, 2, 10], [14, 8, 6], [15, 29, 21], [27, 16, 23], [20, 17, 25], [28, 26, 31, 30, 32, 33, 34, 36, 37]]
72: [[24, 19], [18, 5, 12], [13, 11, 9], [3, 1, 4], [22, 35, 7], [2, 10, 14], [8, 6, 15], [29, 21, 27], [16, 23], [20, 17, 25], [28, 26, 31, 30], [32, 33, 34], [36, 37]]
73: [[24, 19], [18, 5, 12], [13, 11, 9], [3, 1, 4], [22, 35, 7], [2, 10], [14, 8, 6], [15, 29, 21], [27, 16, 23, 20, 17, 25, 28, 26, 31, 30, 32, 33, 34, 36, 37]]
