0: [[9, 8, 5, 18], [23, 36, 24, 12], [13, 55, 53, 37, 21], [49, 27, 1, 43, 11], [57, 56], [7, 3, 30], [14, 40], [4, 46, 50], [32, 17], [33, 34, 35, 41, 25, 2, 6], [39, 59, 38, 44], [29, 22, 45, 54], [42], [28, 48, 52], [47, 20, 19, 26, 31, 51], [60, 15, 16, 58, 10]]
1: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 6, 12, 10, 15, 16, 18, 22, 17, 23, 21, 24, 30, 31], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
2: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 6, 15, 18, 10, 22, 12, 16, 17, 23, 30, 24, 31, 21], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
3: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 6, 10, 17, 12, 22, 18, 15, 21, 24, 16, 30, 23, 31], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
4: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 10, 6, 12, 15, 18, 16, 24, 17, 23, 21, 22, 30, 31], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
5: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 10, 6, 12, 31, 17, 15, 22, 21, 23, 30, 16, 18, 24], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
6: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 6, 12, 10, 15, 16, 17, 21, 31, 18, 22, 23, 24, 30], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
7: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 10, 12, 6, 15, 18, 23, 22, 17, 16, 21, 31, 30, 24], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
8: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 6, 15, 18, 23, 22, 16, 10, 24, 12, 17, 21, 30, 31], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
9: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 6, 15, 10, 12, 18, 17, 21, 16, 22, 23, 30, 24, 31], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
10: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 12, 15, 18, 16, 17, 22, 23, 30, 24, 31, 10, 21, 6], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
11: [[7, 35, 3, 2, 19, 27, 4, 43, 14, 20], [13, 5, 1, 9, 28, 8, 11, 10, 12, 6, 15, 23, 21, 24, 17, 16, 22, 18, 30, 31], [25, 26, 29, 37, 42, 36, 33, 32, 38, 39, 46, 44, 45, 40, 47], [34, 57, 53, 51, 48, 41, 49, 54, 50, 52, 55, 58, 59, 60, 56]]
