0: [[3, 1], [7, 6, 2, 4, 5, 8, 10, 12], [13, 9, 15, 18, 11], [19, 16], [25, 20], [28, 23, 24, 17, 29, 22, 14], [27, 21, 26]]
1: [[3, 1], [7, 5, 2, 4, 6, 10], [8, 13, 15, 19, 12, 14], [11, 9], [16, 24], [18, 28, 20, 17, 23, 25, 29, 22], [27, 21, 26]]
2: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [21, 28, 20, 24, 27, 23, 25, 26, 29]]
3: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
4: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
5: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
6: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
7: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
8: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
9: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
10: [[3, 1, 7, 22, 10, 12, 6, 4, 5, 8], [2, 9, 15, 18, 11, 13, 14, 17, 16, 19], [23, 28, 20, 24, 27, 21, 25, 26, 29]]
