0: [[35, 7, 2], [27, 1, 11, 33, 14], [4, 19], [24, 12], [3], [8], [13, 9, 6, 21], [5, 15, 31, 29, 16, 10, 18], [25, 17, 20], [22, 23, 26, 30], [28, 32], [59, 39, 42], [41, 36, 34, 37, 44], [38, 43], [40, 45, 46, 48], [55, 47, 54, 50, 51], [57, 49], [52, 53, 60, 58], [56]]
1: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 16, 13, 15, 18, 23, 28, 26, 17, 10, 21, 6], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
2: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 16, 13, 17, 18, 15, 28, 23, 21, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
3: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 6, 15, 21, 17, 16, 23, 26, 18, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
4: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 26, 18, 23, 10, 13, 15, 16, 21, 17, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
5: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 26, 15, 10, 16, 18, 6, 17, 21, 23, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
6: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 16, 13, 17, 18, 15, 28, 23, 21, 26], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
7: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 10, 15, 17, 16, 23, 21, 18, 26, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
8: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 13, 15, 10, 26, 17, 21, 16, 28, 18, 23], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
9: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 13, 10, 23, 15, 16, 18, 21, 28, 17, 26, 6], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
10: [[35, 7, 27, 20, 1, 2, 11, 33, 14, 4, 19, 3, 24, 8, 12], [5, 31, 9, 30, 6, 10, 17, 13, 23, 15, 16, 18, 26, 21, 28], [25, 22, 29, 38, 37, 32, 42, 34, 36, 44, 39, 43, 40, 45, 46], [41, 47, 48, 55, 49, 53, 50, 51, 56, 54, 52, 59, 57, 58, 60]]
