It No., Best MQ, No clusters, max clus, min clus
1,2.1184046345811054,7,4,2
2,2.140178674618034,6,4,2
3,2.1570572485018484,6,4,3
4,2.1481525720656154,7,4,2
5,2.143342567255611,7,4,2
6,2.075479797979798,6,5,2
7,2.2622236861367293,6,5,2
8,1.994766675858688,5,6,3
9,2.135792709705753,5,5,3
10,2.02959197235513,7,4,2
11,2.2622236861367293,6,5,2
12,2.037914862914863,7,4,2
13,2.0727382520860784,8,4,2
14,2.1947595713041936,6,5,2
15,2.084782608695652,7,4,1
16,2.056305530218574,8,4,2
17,2.0450723189853623,6,4,3
18,1.8062222973480582,5,6,2
19,2.2251866490996925,7,4,2
20,1.9947255359020064,9,4,2
21,2.101449275362319,7,4,2
22,2.062121212121212,5,8,2
23,2.071841432225064,5,6,2
24,2.139258281545033,7,4,2
25,2.0533910533910533,6,5,2
26,2.043958818958819,6,5,2
27,1.9987821902267904,6,5,2
28,2.1429355668486103,7,4,2
29,2.132296650717703,6,6,2
30,2.0936147186147185,8,4,2
31,2.1091915331045765,7,4,2
