0: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35], [32, 40, 36], [37, 50], [42, 38, 49], [60, 41, 54], [48, 46, 61], [34, 53, 51], [45, 56, 52, 55, 63, 57], [58, 64], [65, 68, 70], [77, 73, 66], [71, 75, 69, 72, 76], [74, 79, 86, 78, 80, 82], [87, 85, 81], [83, 84, 88]]
1: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5], [11, 15, 14], [18, 21, 17], [20, 19, 24, 23, 16, 27], [29, 25, 28, 62, 26, 43], [33, 44, 47], [30, 31], [35, 32, 40], [36, 37, 50], [42, 38, 49], [60, 41, 34], [46, 54, 45, 52, 51, 55, 48, 56, 53, 57], [61, 63, 58, 64, 65, 68, 70, 77, 73], [66, 71, 75], [69, 72, 76, 74], [79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
2: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35, 32], [40, 36, 37, 50], [42, 38], [49, 60, 41, 34, 46, 45, 53, 48, 51, 54], [52, 56, 55, 58, 61, 57, 63, 64, 65, 68, 70], [77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
3: [[39, 59, 10], [9, 67], [3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14, 18], [21, 17, 20], [19, 24, 23, 16, 27, 29], [25, 28], [62, 26, 43], [33, 44, 47], [30, 31, 35], [32, 40, 36, 37], [50, 42, 38, 49], [60, 41, 34, 45], [46, 61, 52, 48], [51, 53, 56, 54, 57], [55, 63, 58], [64, 65, 68, 70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84], [88]]
4: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43, 33], [44, 47], [30, 31, 35], [32, 40, 36], [37, 50, 42, 38, 49], [60, 41, 45, 46, 34, 48, 52, 51, 55, 58, 57, 53, 54, 61, 56, 63, 64], [65, 68, 70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78], [80, 82, 87, 85, 81, 83, 84, 88]]
5: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47], [30, 31, 35, 32], [40, 36, 37, 50], [42, 38, 49, 60], [41, 34], [54, 55, 58, 52], [53, 45, 46], [56, 48, 51, 61], [57, 63, 64, 65], [68, 70], [77, 73, 66, 71, 75, 69, 72, 76, 74], [79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
6: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2], [4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19, 24], [23, 16, 27], [29, 25, 28], [62, 26, 43, 33, 44, 47], [30, 31], [35, 32, 40], [36, 37, 50], [42, 38, 49, 60, 41], [54, 48, 46, 61, 34, 57], [53, 45, 56], [55, 51, 63], [52, 58, 64, 65, 68, 70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
7: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35, 32, 40], [36, 37, 50, 42], [38, 49, 60, 41], [34, 61, 46, 45], [51, 55], [54, 48, 52], [53, 57, 63], [58, 56, 64], [65, 68], [70, 77, 73, 66], [71, 75, 69], [72, 76, 74], [79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
8: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35, 32], [40, 36, 37, 50], [42, 38], [49, 60, 41, 34, 45, 46, 51, 53, 48, 54], [58, 57, 52, 55, 61], [56, 63, 64, 65], [68, 70, 77], [73, 66, 71, 75, 69], [72, 76, 74], [79, 86, 78], [80, 82], [87, 85, 81, 83, 84, 88]]
9: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35, 32], [40, 36, 37, 50], [42, 38], [49, 60, 41, 34, 45, 46, 51, 53, 48, 54], [58, 57, 52, 55, 61], [56, 63, 64, 65], [68, 70, 77], [73, 66, 71, 75, 69], [72, 76, 74], [79, 86, 78], [80, 82], [87, 85, 81, 83, 84, 88]]
10: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19, 24, 23], [16, 27, 29], [25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35, 32, 40], [36, 37, 50, 42], [38, 49, 60], [41, 34, 45, 46], [61, 48], [51, 52, 56, 55], [54, 57, 63, 53, 58, 64, 65, 68], [70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
11: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19, 24], [23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30, 31], [35, 32, 40, 36], [37, 50, 42], [38, 49], [60, 41, 34, 46, 45, 61], [55, 52, 48, 58, 53, 51, 54, 56, 57, 63, 64, 65, 68, 70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
12: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14, 18], [21, 17, 20], [19, 24, 23, 16, 27, 29], [25, 28, 62, 26, 43, 33], [44, 47, 30], [31, 35, 32, 40], [36, 37, 50], [42, 38, 49], [60, 41, 54, 45, 46, 52, 48, 51, 53, 34, 57, 55, 56, 63, 58, 61, 64], [65, 68, 70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
13: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19, 24], [23, 16, 27], [29, 25, 28], [62], [26, 43, 33], [44, 47], [30, 31, 35, 32], [40, 36, 37, 50], [42, 38], [49, 60, 41], [34, 45], [46, 53, 52], [48, 55, 51, 54, 58, 57, 63, 61, 56, 64], [65, 68, 70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
14: [[39, 59, 10, 9], [67, 3, 8], [6, 22, 1], [12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17, 20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30, 31, 35, 32, 40, 36], [37, 50, 42, 38], [49, 60, 41, 34, 45], [46, 61, 55, 51, 48, 52], [56, 54, 53], [63, 57, 58], [64, 65, 68, 70, 77, 73, 66, 71, 75], [69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
15: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35, 32, 40], [36, 37, 50, 42], [38, 49, 60, 41], [34, 46, 45], [61, 51], [52, 48, 54], [57, 53, 58], [63, 55, 56, 64], [65, 68, 70], [77, 73, 66, 71], [75, 69, 72, 76], [74, 79, 86], [78, 80], [82, 87, 85, 81, 83, 84, 88]]
16: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35, 32, 40], [36, 37, 50, 42], [38, 49, 60, 41], [34, 61, 46, 45], [55, 51], [48, 53, 57], [52, 56, 54], [58, 63, 64], [65, 68], [70, 77, 73, 66], [71, 75, 69], [72, 76, 74], [79, 86], [78, 80, 82, 87, 85, 81, 83, 84, 88]]
17: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35, 32, 40], [36, 37, 50, 42], [38, 49, 60, 41, 34, 46, 45, 55, 52, 51, 53, 61, 56, 48, 54, 58, 57, 63, 64, 65, 68, 70, 77, 73, 66, 71, 75], [69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
18: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19], [24, 23, 16, 27], [29, 25], [28, 62, 26], [43, 33], [44, 47, 30], [31, 35, 32], [40, 36, 37, 50], [42, 38, 49], [60, 41], [34, 61, 45], [46, 48, 55, 51], [53, 57, 54, 52], [58, 56, 63], [64, 65, 68, 70], [77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
19: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5, 11], [15, 14], [18, 21, 17], [20, 19, 24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30], [31, 35, 32, 40, 36], [37, 50, 42], [38, 49, 60, 41, 34, 46, 45, 51, 52, 53, 54, 48, 55], [58, 56, 57, 61, 63, 64, 65, 68, 70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
20: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5], [11, 15, 14], [18, 21, 17, 20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30, 31, 35, 32, 40, 36], [37, 50, 42, 38], [49, 60, 41, 34, 61], [46, 45, 48, 57, 51, 52], [56, 53, 54], [63, 55, 58], [64, 65, 68, 70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
21: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13, 7], [5, 11], [15, 14, 18], [21, 17, 20], [19, 24, 23, 16, 27, 29], [25, 28, 62, 26, 43, 33], [44, 47, 30], [31, 35, 32, 40], [36, 37, 50], [42, 38, 49], [60, 41, 34], [45, 46, 53, 51], [48, 54, 52], [56, 55, 57], [61, 58, 63], [64, 65, 68, 70], [77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78], [80, 82], [87, 85, 81, 83, 84, 88]]
22: [[39, 59, 10, 9, 67, 3, 8, 6], [22, 1, 12, 2, 4, 13], [7, 5], [11, 15, 14], [18, 21, 17, 20, 19], [24, 23, 16, 27], [29, 25, 28], [62, 26, 43], [33, 44, 47, 30, 31, 35, 32, 40, 36], [37, 50, 42, 38], [49, 60, 41, 34, 61], [46, 45, 48, 57, 51, 52], [56, 53, 54], [63, 55, 58], [64, 65, 68, 70, 77, 73, 66, 71, 75, 69, 72, 76, 74, 79, 86, 78, 80, 82, 87, 85, 81, 83, 84, 88]]
