0: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59], [29, 26, 25, 28], [30, 33], [36, 32], [39, 34], [43, 45], [35, 37], [42, 38], [41, 40, 46, 60, 44], [55, 47, 52, 51], [48, 61], [49, 53, 54, 56, 57], [62, 58], [63, 68, 67, 65, 76, 66], [64, 70], [71, 75], [74, 73, 72, 78, 77], [79, 80, 85, 81, 82], [83, 86], [84, 87, 88]]
1: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59], [29, 26, 25, 28], [30, 33], [36, 32], [39, 34], [43, 45], [35, 37], [42, 38], [41, 40, 46, 60, 44], [55, 47, 52, 51], [48, 61, 49, 53, 54, 56], [57, 62], [58, 63, 68, 67], [65, 76], [66, 64, 70, 71], [75, 74], [73, 72, 78, 77], [79, 80, 85, 81, 82, 83, 86, 84, 87], [88]]
2: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59], [29, 26], [25, 28], [30, 33], [36, 32], [39, 34, 43, 45, 35], [37, 42, 38, 41], [40, 46, 60, 44, 55], [47, 52], [51, 48, 61], [49, 53, 54], [56, 57], [62, 58], [63, 68], [67, 65], [76, 66, 64, 70], [71, 75], [74, 73, 72], [78, 77], [79, 80, 85], [81, 82], [83, 86, 84, 87, 88]]
3: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24, 27, 59, 29, 26], [25, 28], [30, 33], [36, 32, 39, 34, 43], [45, 35, 37, 42, 38], [41, 40, 46, 60, 44, 55, 47, 52], [51, 48, 61, 49, 53, 54, 56, 57], [62, 58, 63, 68, 67, 65, 76, 66, 64, 70], [71, 75, 74, 73, 72, 78, 77, 79, 80, 85, 81, 82, 83, 86, 84, 87, 88]]
4: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59], [29, 26], [25, 28], [30, 33], [36, 32, 39, 34], [43, 45], [35, 37], [42, 38], [41, 40, 46], [60, 44], [55, 47, 52, 51, 48, 61, 49, 53, 54, 56], [57, 62, 58, 63, 68, 67, 65, 76, 66, 64, 70, 71, 75], [74, 73, 72, 78, 77, 79, 80, 85, 81, 82, 83, 86, 84, 87, 88]]
5: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59], [29, 26], [25, 28], [30, 33], [36, 32], [39, 34], [43, 45], [35, 37], [42, 38], [41, 40], [46, 60, 44, 55, 47, 52, 51, 48, 61, 49, 53], [54, 56, 57, 62, 58, 63, 68, 67, 65, 76, 66, 64], [70, 71, 75, 74, 73, 72, 78, 77, 79, 80, 85, 81, 82, 83, 86, 84, 87, 88]]
6: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31, 23, 24, 27, 59, 29], [26, 25, 28, 30, 33, 36, 32], [39, 34], [43, 45, 35, 37], [42, 38], [41, 40, 46, 60, 44], [55, 47, 52, 51, 48, 61], [49, 53, 54, 56, 57, 62, 58], [63, 68], [67, 65, 76, 66], [64, 70], [71, 75], [74, 73, 72, 78, 77, 79, 80, 85, 81, 82], [83, 86, 84, 87, 88]]
7: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59, 29, 26, 25, 28], [30, 33], [36, 32], [39, 34, 43, 45, 35], [37, 42, 38, 41, 40], [46, 60], [44, 55, 47], [52, 51], [48, 61], [49, 53, 54, 56, 57, 62, 58, 63, 68, 67], [65, 76, 66, 64, 70, 71, 75, 74, 73, 72, 78, 77, 79, 80, 85, 81, 82, 83, 86, 84, 87, 88]]
8: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59], [29, 26, 25, 28], [30, 33], [36, 32], [39, 34, 43], [45, 35], [37, 42, 38, 41, 40, 46, 60, 44, 55, 47, 52], [51, 48, 61, 49, 53, 54], [56, 57, 62, 58, 63], [68, 67, 65, 76, 66, 64, 70, 71, 75, 74, 73, 72, 78, 77, 79, 80], [85, 81, 82, 83, 86, 84, 87, 88]]
9: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59], [29, 26, 25, 28], [30, 33], [36, 32], [39, 34, 43], [45, 35], [37, 42, 38], [41, 40], [46, 60, 44, 55, 47, 52, 51, 48, 61, 49], [53, 54, 56, 57, 62, 58, 63, 68, 67, 65, 76, 66, 64], [70, 71, 75, 74, 73, 72, 78, 77, 79, 80, 85, 81, 82, 83, 86, 84, 87, 88]]
10: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59, 29, 26, 25, 28], [30, 33], [36, 32], [39, 34, 43, 45, 35, 37], [42, 38, 41, 40, 46, 60], [44, 55, 47, 52, 51, 48, 61], [49, 53, 54], [56, 57, 62, 58, 63], [68, 67], [65, 76, 66], [64, 70, 71], [75, 74, 73, 72, 78, 77], [79, 80], [85, 81], [82, 83], [86, 84], [87, 88]]
11: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31], [23, 24], [27, 59], [29, 26, 25, 28], [30, 33], [36, 32, 39, 34, 43], [45, 35, 37, 42, 38, 41, 40], [46, 60], [44, 55, 47, 52, 51, 48, 61, 49, 53, 54, 56], [57, 62, 58, 63, 68, 67, 65, 76, 66, 64, 70, 71], [75, 74], [73, 72, 78, 77, 79, 80, 85, 81, 82, 83, 86, 84, 87, 88]]
12: [[22, 7, 13, 12, 1, 2, 4], [69, 3, 5, 6, 10, 9, 8], [14, 15], [11, 17, 18, 21, 16], [19, 50], [20, 31, 23, 24, 27], [59, 29, 26, 25, 28], [30, 33], [36, 32, 39, 34], [43, 45, 35], [37, 42, 38, 41, 40], [46, 60], [44, 55], [47, 52, 51, 48, 61], [49, 53, 54, 56], [57, 62, 58, 63, 68, 67, 65, 76, 66], [64, 70, 71, 75], [74, 73, 72, 78, 77, 79, 80, 85, 81, 82, 83, 86, 84, 87, 88]]
