0: [[3, 1], [5, 14, 4], [7, 10, 2, 8], [11, 13, 12, 9], [16, 6, 15], [17, 19, 18, 20]]
1: [[3, 1], [5, 14, 4], [7, 10, 2, 8], [11, 13, 12, 9], [16, 6, 15], [17, 19, 18, 20]]
2: [[3, 1], [5, 14, 4], [7, 10, 2, 8], [11, 13, 12, 9], [16, 6, 15], [17, 19, 18, 20]]
3: [[3, 1], [5, 14, 4], [7, 10, 2, 8], [11, 13, 12, 9], [16, 6, 15], [17, 19, 18, 20]]
4: [[3, 1], [5, 14, 4], [7, 10, 2, 8], [11, 13, 12, 9], [16, 6, 15], [17, 19, 18, 20]]
5: [[3, 1], [5, 14, 4], [7, 10], [2, 8], [11, 13, 12, 9], [16, 6, 15], [17, 19, 18, 20]]
6: [[3, 1], [5, 14, 7, 10, 2, 8, 4], [11, 13, 12, 9], [6, 16, 15], [17, 19, 18, 20]]
7: [[3, 1], [5, 14, 4], [7, 10, 2, 8], [11, 13, 12, 9], [16, 17, 6, 15], [19, 18, 20]]
8: [[3, 1], [5, 14, 4], [7, 10, 2, 8], [13, 11, 9], [12, 16, 6, 15], [17, 19, 18, 20]]
9: [[3, 1], [5, 14, 4], [7, 2, 8], [11, 13, 12, 9], [10, 16, 6, 15], [17, 19, 18, 20]]
10: [[3, 1], [5, 14, 4], [7, 2, 10, 8], [11, 13, 9], [12], [16, 6, 15], [17, 19, 18, 20]]
11: [[3, 1], [5, 14, 4], [7, 10, 2, 8], [13, 12, 15, 11, 16, 9, 6], [17, 19, 18, 20]]
12: [[3, 1], [5, 14, 4], [7, 10, 2, 8], [13, 11, 12, 9], [15, 16, 17, 19, 18, 20, 6]]
13: [[3, 1], [5, 14, 4], [7, 10], [2, 8], [13, 9], [11, 12], [16, 17, 6, 15], [19, 18, 20]]
14: [[3, 1], [5, 14, 4], [7, 2], [8, 10, 13], [11, 12], [16, 9, 6, 15], [17, 19, 18, 20]]
15: [[3, 1, 5], [14, 4], [7, 10], [2, 8], [13, 11, 12], [16, 9, 6, 15], [17, 19, 18, 20]]
16: [[3, 1], [5, 14, 4], [7, 10], [2, 8, 11], [13, 12, 9, 15], [16, 6], [17, 19, 18, 20]]
17: [[3, 1], [5, 14, 7, 4], [10, 2, 8], [11, 13, 9], [12, 16, 17, 6, 15], [19, 18, 20]]
18: [[3, 1], [5, 14, 4], [7, 10, 6], [8, 2, 13, 9], [12, 11, 16, 15], [17, 19, 18, 20]]
19: [[3, 1], [5, 14, 4], [7, 10, 2], [8, 11, 13, 9], [12, 16, 6, 15], [17, 19, 18, 20]]
20: [[3, 1], [5, 14, 7, 4], [10, 2, 8, 6], [13, 12, 11, 16, 17, 9, 15], [19, 18, 20]]
21: [[3, 1], [5, 14, 4], [7, 10], [8, 9], [13, 11, 12], [2, 16, 6, 15], [17, 19, 18, 20]]
22: [[3, 1], [5, 14, 4], [7, 2], [8, 13, 9], [11, 12], [10, 16, 6, 15], [17, 19, 18, 20]]
23: [[3, 1], [5, 14, 7, 2], [8, 4], [11, 13, 12], [16, 10, 9, 6, 15], [17, 19, 18, 20]]
24: [[3, 1, 5], [14, 7, 4, 6], [10, 2, 8], [11, 9], [12, 13, 16, 15], [17, 19, 18, 20]]
25: [[3, 1, 5], [14, 7, 4, 6], [10, 2, 8], [11, 9], [12, 13, 16, 15], [17, 19, 18, 20]]
26: [[3, 1], [5, 14, 2, 4], [10, 7, 8], [11, 13, 12], [18, 9, 6], [17, 19, 16, 20, 15]]
27: [[3, 1], [5, 14, 4], [7, 2], [8], [13, 11, 9], [12, 10, 16, 6, 15], [17, 19, 18, 20]]
28: [[3, 1], [5, 14, 4], [7, 10], [8, 11, 13, 9], [12, 2, 16, 6, 15], [17, 19, 18, 20]]
29: [[3, 1, 5], [14, 7, 4, 6], [10, 2, 8], [11, 13, 9], [12], [16, 17, 15], [19, 18, 20]]
30: [[3, 1], [5, 14, 4], [7, 10, 2], [8, 13, 9], [12, 11, 15], [16, 17, 6], [19, 18, 20]]
31: [[3, 1], [5, 14, 4], [7, 10, 6, 8], [2, 12, 11, 13], [16, 17, 19, 18, 20, 9, 15]]
32: [[3, 1], [5, 14, 4], [7, 2, 6, 8], [10, 13, 11, 12], [16, 17, 19, 18, 20, 9, 15]]
33: [[3, 1], [5, 14, 4], [7, 10, 2], [8, 11, 13], [12, 15, 9, 6], [16, 17, 19, 18, 20]]
34: [[3, 1, 5], [14, 7, 4], [10, 2], [8, 11], [13, 12, 9], [16, 6, 15], [17, 19, 18, 20]]
35: [[3, 1, 5], [14, 7, 4, 6], [10, 2], [8, 9], [13, 11, 12], [16, 17, 15], [19, 18, 20]]
36: [[3, 1], [5, 14, 7], [10, 2, 4], [8, 11, 13, 12], [16, 9, 6], [17, 19, 15], [18, 20]]
37: [[3, 1], [5, 14, 4], [7, 10], [2, 8, 11, 13, 9], [12, 6], [16, 17, 19, 15], [18, 20]]
38: [[3, 1, 5], [14, 4, 7], [10, 2, 8, 11, 13, 12, 15, 6, 16, 9], [17, 19, 18, 20]]
39: [[3, 1], [5, 14, 7, 4, 10, 2, 8, 11, 13, 12, 9, 16, 6, 15, 17, 19], [18, 20]]
40: [[3, 1, 5], [14, 4, 7, 2, 6, 8, 11, 13, 9, 12], [15, 10, 16, 17, 19, 18, 20]]
41: [[3, 1, 5], [14, 4, 7, 2, 10, 8, 11, 13, 9, 12, 6, 15, 16, 17, 19], [18, 20]]
