0: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
1: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
2: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
3: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
4: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
5: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
6: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
7: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
8: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
9: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
10: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
11: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
12: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
13: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
14: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
15: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
16: [[24, 28, 2], [29, 23, 20, 19, 16, 22, 18], [17, 5, 3, 6, 7, 1, 10, 14], [11, 4, 8, 9, 13, 15, 12], [21, 27, 25, 26]]
