0: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 29, 15], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
1: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
2: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
3: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
4: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
5: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
6: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
7: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
8: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
9: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
10: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
11: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 13, 15, 29, 10], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
12: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
13: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
14: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
15: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
16: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
17: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
18: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
19: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
20: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
21: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
22: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
23: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
24: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
25: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
26: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
27: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
28: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
29: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 15, 13, 29, 10], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
30: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
31: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
32: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
33: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
34: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
35: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
36: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
37: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
38: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
39: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
40: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
41: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
42: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
43: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 13, 15, 29, 10], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
44: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
45: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
46: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
47: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
48: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
49: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
50: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
51: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
52: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
53: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 13, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
54: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
55: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 15, 29, 13], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
56: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
57: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 29, 15], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
58: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 29, 15], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
59: [[7, 5, 3, 14], [19, 1, 2], [4, 6, 8, 12], [9, 11, 10, 13, 15, 29], [17, 18, 16, 23, 22], [21, 26, 27], [20, 25, 24, 28]]
