0: [[22, 4, 1, 5, 2, 6, 9, 3], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
1: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
2: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
3: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
4: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
5: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
6: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
7: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
8: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
9: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
10: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
11: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
12: [[22, 5, 2, 9, 3, 4, 1, 6], [10, 14], [8, 13, 15], [7, 11], [20, 19, 17, 16, 12, 18], [21, 23, 24]]
