0: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
1: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
2: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
3: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
4: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
5: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
6: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
7: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
8: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
9: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
10: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
11: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
12: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
13: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
14: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
15: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
16: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
17: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
18: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
19: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
20: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
21: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
22: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
23: [[17, 19, 12, 20], [2, 8, 6], [7, 10, 5], [3, 11, 1, 9], [14, 18, 16, 13, 4, 15]]
24: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
25: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
26: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
27: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
28: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
29: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
30: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
31: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
32: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
33: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
34: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5, 9], [3, 11, 1], [14, 18, 16, 13, 4, 15]]
35: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5], [3, 11, 1, 9], [14, 18, 16, 13, 4, 15]]
36: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5], [3, 11, 1, 9], [14, 18, 16, 13, 4, 15]]
37: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5], [3, 11, 1, 9], [14, 18, 16, 13, 4, 15]]
38: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5], [3, 11, 1, 9], [14, 18, 16, 13, 4, 15]]
39: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5], [3, 11, 1, 9], [14, 18, 16, 13, 4, 15]]
40: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5], [3, 11, 1, 9], [14, 18, 16, 13, 4, 15]]
41: [[17, 19, 12], [20, 2, 8, 6], [7, 10, 5], [3, 11, 1, 9], [14, 18, 16, 13, 4, 15]]
