It No., Best MQ, No clusters, max clus, min clus
1,1.3109730848861285,3,5,4
2,1.3822638146167556,5,3,2
3,1.3010526315789472,3,5,4
4,1.3109730848861285,3,5,4
5,1.349206349206349,3,5,4
6,1.3691919191919193,5,3,2
7,1.2963286713286712,4,4,3
8,1.283008658008658,4,4,3
9,1.3010526315789472,3,5,4
10,1.349206349206349,3,5,4
11,1.3172161172161172,3,5,4
12,1.2358674463937622,3,5,4
13,1.349206349206349,3,5,4
14,1.4891774891774894,4,4,3
15,1.3109730848861285,3,5,4
16,1.3010526315789472,3,5,4
17,1.4006349206349205,3,5,4
18,1.2729044834307992,3,5,4
19,1.4109730848861284,3,5,4
20,1.2027777777777777,6,3,2
21,1.2406349206349208,3,5,4
22,1.3010526315789472,3,5,4
23,1.3010526315789472,3,5,4
24,1.2358674463937622,3,5,4
25,1.3035714285714286,3,5,4
26,1.4891774891774894,4,4,3
27,1.2777777777777777,3,5,4
28,1.2416666666666667,3,5,4
29,1.3010526315789472,3,5,4
30,1.3576839826839828,4,4,3
31,1.3109730848861285,3,5,4
