0: [[1, 2, 20], [7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
1: [[1, 2, 20], [7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
2: [[1, 2, 20], [7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
3: [[1, 2, 20], [7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
4: [[1, 2], [20, 7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
5: [[1, 2], [20, 7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
6: [[1, 2], [20, 7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
7: [[1, 2], [20, 7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
8: [[1, 2], [20, 7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
9: [[1, 2, 20], [7, 11], [3, 4, 5, 6, 9, 8, 13, 10], [14, 12], [15, 17, 19, 18, 16], [21, 23, 22, 24]]
10: [[2], [11, 3, 4, 5, 6], [9, 8, 13, 1, 20], [10, 14, 7], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
11: [[2], [11, 3, 4, 5, 6], [9, 8, 13, 1, 20], [10, 14, 7], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
12: [[1, 2, 20, 7, 11], [3, 4], [5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
13: [[2, 20, 3, 1], [4, 5], [6, 9, 8, 13], [10, 14, 12, 15, 17, 19, 7, 11], [18, 16], [21, 23, 22, 24]]
14: [[2, 20, 3, 1], [4, 5], [6, 9, 8, 13], [10, 14, 12, 15, 17, 19, 7, 11], [18, 16], [21, 23, 22, 24]]
15: [[2], [7, 11], [3, 4, 1], [5, 6, 9, 8, 13, 10, 14], [12, 15, 17, 19, 18, 16, 20], [21, 23, 22, 24]]
16: [[2], [11, 7], [3, 4, 5, 6, 9, 8], [13, 10, 1, 20], [14, 12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
17: [[2, 11, 3, 4, 1], [5, 6, 9], [8, 13, 20], [10, 14, 7], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
18: [[2, 11, 3, 4, 1], [5, 6, 9], [8, 13, 20], [10, 14, 7], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
19: [[2, 11, 3, 1], [4, 5, 6, 9, 8, 13], [10, 14, 7], [12, 15, 17, 19, 20], [18, 16], [21, 23, 22, 24]]
20: [[2, 20, 3, 1], [4, 5], [6, 9, 8, 13, 10, 14, 12, 7, 11], [15, 17, 19], [18, 16], [21, 23, 22, 24]]
21: [[2], [7, 11], [3, 4], [5, 6, 9, 8, 13, 10, 1, 20], [14, 12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
22: [[2], [11, 3, 4, 1], [5, 6, 9, 8, 13], [10, 14, 20, 7], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
23: [[2, 1], [11, 3, 4, 5, 6], [9, 8], [13, 10, 14, 12, 20, 7], [15, 17, 19, 18, 16], [21, 23, 22, 24]]
24: [[1, 2, 20], [7, 11, 3, 4, 5, 6], [9, 8], [13, 10, 14, 12, 15, 17, 19], [18, 16], [21, 23, 22, 24]]
25: [[2, 11, 3, 4, 1], [5, 6], [9, 8, 13], [10, 14, 20, 7], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
26: [[2], [7, 3, 11], [4, 5], [6, 9, 8, 13, 10, 14, 1, 20], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
27: [[2], [7, 3, 11], [4, 5], [6, 9, 8, 13, 10, 14, 1, 20], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
28: [[2], [11, 3, 4, 5, 1], [6, 9, 8, 13], [10, 14, 20, 7], [12, 15, 17, 19, 18, 16], [21, 23, 22, 24]]
29: [[2, 20, 3, 1], [4, 5], [6, 9, 8, 13, 10, 14, 12, 7, 11], [15, 17], [19, 18, 16], [21, 23, 22, 24]]
30: [[2, 20, 3, 1], [4, 5], [6, 9, 8, 13, 10, 14, 12, 7, 11], [15, 17], [19, 18, 16], [21, 23, 22, 24]]
31: [[2, 11, 3, 1], [4, 5], [6, 9, 8, 13, 10], [14, 12, 20, 7], [15, 17, 19, 18, 16], [21, 23, 22, 24]]
32: [[2, 11, 3, 1], [4, 5], [6, 9, 8, 13, 10], [14, 12, 20, 7], [15, 17, 19, 18, 16], [21, 23, 22, 24]]
33: [[2], [11, 3, 4, 5, 6], [9, 8], [13, 10, 1, 20], [14, 12, 15, 17, 19, 18, 16, 7], [21, 23, 22, 24]]
34: [[1, 2, 20, 7, 11], [3, 4], [5, 6, 9, 8, 13, 10], [14, 12], [15, 17, 19, 18, 16], [21, 23, 22, 24]]
35: [[2], [11, 3, 4, 5, 1], [6, 9], [8, 13, 10, 14, 12, 20, 7], [15, 17, 19, 18, 16], [21, 23, 22, 24]]
36: [[1, 2], [20, 7, 11], [3, 4, 5, 6, 9, 8, 13], [10, 14], [12, 15, 17, 19, 18, 16, 21], [23, 22, 24]]
37: [[1, 2, 20, 7, 11], [3, 4], [5, 6, 9, 8, 13, 10, 14, 12], [15, 17], [19, 18, 16], [21, 23, 22, 24]]
38: [[2, 11, 3, 1], [4, 5], [6, 9, 8], [13, 10, 20], [14, 12, 15, 17, 19, 18, 16, 7], [21, 23, 22, 24]]
39: [[2], [11, 3, 4, 5, 6], [9, 8, 13, 1, 20], [10, 14, 7], [12, 15, 17, 19, 18, 16, 21], [23, 22, 24]]
40: [[1, 2], [20, 7, 11, 3], [4, 5, 6, 9, 8, 13, 10], [14, 12], [15, 17, 19, 18, 16], [21, 23, 22, 24]]
41: [[2, 20], [3, 4, 5, 6, 9], [8, 13, 1], [10, 14, 12, 15, 17, 19, 18], [16, 21, 7, 11], [23, 22, 24]]
42: [[2, 20, 3, 4, 5, 1], [6, 9], [8, 13, 10, 14, 12, 15], [17, 19, 18], [16, 21, 7, 11], [23, 22, 24]]
43: [[2, 20, 3, 1], [4, 5], [6, 9, 8, 13, 10, 14, 12, 15, 7, 11], [17, 19], [18, 16, 21], [23, 22, 24]]
44: [[2, 11, 3, 1], [4, 5], [6, 9, 8, 13], [10, 14, 7], [12, 15, 17, 19, 18, 20], [16, 21, 23, 22, 24]]
45: [[2], [11, 3, 4, 5, 6, 9, 1], [8, 13, 20], [10, 14, 12, 15, 17, 19, 7], [18, 16, 21], [23, 22, 24]]
46: [[2, 11, 3, 4, 5, 1], [6, 9], [8, 13, 10, 20], [14, 12, 7], [15, 17, 19, 18, 16, 21], [23, 22, 24]]
47: [[2, 20, 3, 1], [4, 5], [6, 9], [8, 13], [10, 14, 12, 15, 17, 19, 18, 7, 11], [16, 21, 23, 22, 24]]
48: [[2], [11, 3, 4, 5, 6, 7], [9, 8], [13, 10, 1, 20], [14, 12, 15, 17, 19, 18], [16, 21, 23, 22, 24]]
49: [[1, 2], [20, 7, 11, 3, 4, 5, 6], [9, 8, 13, 10, 14, 12, 15, 17], [19, 18], [16, 21], [23, 22, 24]]
