0: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
1: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
2: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
3: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
4: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
5: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
6: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
7: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
8: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
9: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
10: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
11: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
12: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
13: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
14: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
15: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
16: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
17: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
18: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
19: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
20: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
21: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
22: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
23: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
24: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
25: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
26: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
27: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
28: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
29: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
30: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
31: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9, 8], [12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
32: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9, 8], [12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
33: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9, 8], [12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
34: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9, 8], [12, 15, 16, 19, 20, 18, 17, 22], [21, 23, 24]]
35: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
36: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
37: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
38: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
39: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
40: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
41: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
42: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
43: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6], [9, 8, 12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
44: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9, 8], [12, 15, 16, 19, 20, 18, 17], [22, 21, 23, 24]]
45: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22, 21], [23, 24]]
46: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22, 21], [23, 24]]
47: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22, 21], [23, 24]]
48: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9], [8, 12, 15, 16, 19, 20, 18, 17, 22, 21], [23, 24]]
49: [[14, 10], [7, 11], [1, 3, 13, 2, 4, 5, 6, 9, 8], [12, 15, 16, 19, 20, 18, 17, 22, 21], [23, 24]]
