0: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
1: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
2: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
3: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
4: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
5: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
6: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
7: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 22, 4], [3, 12, 8], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
8: [[15, 24, 1, 16], [11, 5, 6], [17, 9, 13, 18, 10, 14], [23, 7], [22, 4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
9: [[15, 24, 1, 16], [11, 5, 6], [17, 9, 13, 18, 10, 14], [23, 7], [4, 3, 8, 12, 22], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
10: [[15, 24, 1, 16], [11, 5, 6], [17, 9, 13, 18, 10, 14], [23, 7], [22, 4, 3, 12, 8], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
11: [[15, 24, 1, 16], [11, 5, 6], [17, 9, 13, 18, 10, 14], [23, 7], [22, 4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
12: [[15, 24, 1, 16, 11], [5, 6, 17], [9, 13], [18, 10, 14, 23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
13: [[15, 24, 1, 16, 11], [5, 6], [17, 9, 13, 18, 10, 14], [23, 7, 4], [3, 8, 12, 22], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
14: [[15, 24, 1], [16, 11, 5, 6, 17, 9], [13, 18, 10, 14], [23, 7], [4, 3, 8, 12, 22], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
15: [[15, 24, 1], [16, 11, 5, 6, 17, 9], [13, 18, 10, 14], [23, 7], [4, 3, 8, 12, 22], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
16: [[15, 24, 1], [16, 11, 5, 6, 17, 9], [13, 18, 10, 14], [23, 7], [4, 3, 8, 12, 22], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
17: [[15, 24, 1], [16, 11, 5, 6, 17, 9], [13, 18, 10, 14], [23, 7], [4, 3, 8, 12, 22], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
18: [[15, 24, 1, 16, 11, 5], [6, 17], [9, 13, 18, 10, 14], [23, 7, 22], [4, 3, 8, 12], [2, 28, 19], [21, 26, 27], [20, 25, 29]]
