0: [[37, 29, 4, 24, 12, 10, 9, 11], [16, 15, 50, 56], [1, 8, 52, 23, 5, 18, 40], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
1: [[37, 29, 4, 24, 12, 9, 11, 10], [16, 15, 50, 56], [1, 8, 52, 23, 5, 40, 18], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
2: [[37, 29, 4, 24, 12, 10, 9, 11], [16, 15, 50, 56], [1, 8, 52, 23, 5, 18, 40], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
3: [[37, 29, 4, 24, 12, 10, 9, 11], [16, 15, 50, 56], [1, 8, 52, 23, 5, 18, 40], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
4: [[37, 29, 4, 24, 12, 10, 9, 11], [16, 15, 50, 56], [1, 8, 52, 23, 5, 18, 40], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
5: [[37, 29, 4, 24, 12, 10, 9, 11], [16, 15, 50, 56], [1, 8, 52, 23, 5, 18, 40], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
6: [[37, 29, 4, 24, 12, 10, 9, 11], [16, 15, 50, 56], [1, 8, 52, 23, 5, 18, 40], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
7: [[37, 29, 4, 24, 12, 10, 9, 11], [16, 15, 50, 56], [1, 8, 52, 23, 5, 18, 40], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
8: [[37, 29, 4, 24, 12, 9, 11], [10, 16, 15, 50], [56, 1, 8, 52, 23, 5, 40, 18], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
9: [[37, 29, 4, 24, 12, 10, 9], [11, 16, 15, 50], [56, 1, 8, 52, 23, 5, 18, 40], [42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53], [26, 43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
10: [[37, 29, 4, 24, 12, 10], [9, 11, 16, 15, 50, 56], [1, 8, 52, 23, 5, 18], [40, 42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
11: [[37, 29, 4, 24, 12, 10], [9, 11, 16, 15, 50, 56], [1, 8, 52, 23, 5, 18], [40, 42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
12: [[37, 29, 4, 24, 12, 10], [9, 11, 16, 15, 50, 56], [1, 8, 52, 23, 5, 18], [40, 42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
13: [[37, 29, 4, 24, 12, 10], [9, 11, 16, 15, 50, 56], [1, 8, 52, 23, 5, 18], [40, 42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
14: [[37, 29, 4, 24, 12, 10, 9, 11], [16, 15, 50, 56, 1, 8, 52], [23, 5, 18, 40, 42], [7, 36, 38, 2, 39, 25], [13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
15: [[37, 29, 4, 24, 12, 10], [9, 11, 16, 15, 50, 56], [1, 8, 52, 23, 5, 18], [40, 42, 7, 36, 38, 2], [39, 25, 13, 17, 6, 21], [33, 14, 35, 27, 53, 26], [43, 28, 46, 22, 48], [34, 19, 20, 32, 41, 44], [30, 3, 31], [60, 45, 47, 58], [49, 57], [54, 51, 55, 59]]
