0: [[7, 13], [10, 1, 2, 3, 5, 4], [6, 9, 11, 8, 12]]
1: [[7, 13], [10, 1, 2, 3, 5, 4], [6, 9, 11, 8, 12]]
2: [[7, 13], [10, 1, 2, 3, 5, 4], [6, 9, 11, 8, 12]]
3: [[7, 13], [10, 1, 2, 3, 5, 4], [6, 9, 11, 8, 12]]
4: [[7, 13], [10, 1, 2, 3, 5], [4, 6, 9, 11, 8, 12]]
5: [[7, 13], [10, 1, 2, 3, 5], [4, 6, 9, 11, 8, 12]]
6: [[7, 13], [10, 1, 2, 3, 5], [4, 6, 9, 11, 8, 12]]
7: [[7, 13], [10, 1, 2, 3, 5], [4, 6, 9, 11, 8, 12]]
8: [[7, 13], [10, 1, 2, 3, 5], [4, 6, 9, 11, 8, 12]]
9: [[7, 13], [10, 1, 2, 3, 5], [4, 6, 9, 11, 8, 12]]
10: [[7, 13, 10, 1, 2], [3, 5], [4, 6, 9, 11, 8, 12]]
11: [[7, 13, 10, 1, 2], [3, 5], [4, 6, 9, 11, 8, 12]]
12: [[7, 13, 10, 1, 2], [3, 5], [4, 6, 9, 11, 8, 12]]
13: [[7, 13, 10, 1, 2], [3, 5], [4, 6, 9, 11, 8, 12]]
14: [[7, 13, 10, 1, 2], [3, 5], [4, 6, 9, 11, 8, 12]]
15: [[7, 13], [10, 1, 2, 3, 5, 4, 6], [9, 11, 8, 12]]
16: [[7, 13], [10, 1, 2, 3, 5, 4, 6], [9, 11, 8, 12]]
17: [[7, 13], [10, 1, 2, 3, 5, 4, 6], [9, 11, 8, 12]]
18: [[7, 13], [10, 1, 2, 3, 5, 4, 6], [9, 11, 8, 12]]
19: [[7, 13], [10, 1, 2, 3], [5, 4, 6, 9, 11, 8, 12]]
20: [[7, 13], [10, 1, 2, 3], [5, 4, 6, 9, 11, 8, 12]]
21: [[7, 13, 10, 1, 2, 3, 5], [4, 6], [9, 11, 8, 12]]
22: [[7, 13, 10, 1, 2, 3, 5], [4, 6], [9, 11, 8, 12]]
23: [[7, 13, 10, 1, 2, 3], [5, 4], [6, 9, 11, 8, 12]]
24: [[7, 13, 10, 1, 2, 3], [5, 4], [6, 9, 11, 8, 12]]
25: [[7, 13, 10, 1, 2, 3], [5, 4], [6, 9, 11, 8, 12]]
26: [[7, 13, 10, 1], [2, 3], [5, 4, 6, 9, 11, 8, 12]]
27: [[7, 13, 10, 1], [2, 3], [5, 4, 6, 9, 11, 8, 12]]
