0: [[10, 2], [11, 7], [16, 18], [1, 4, 6, 3, 9], [5, 8, 13, 12, 14, 15, 17, 19, 22, 20], [21, 23, 24]]
1: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3, 9, 5, 8], [13, 12, 14, 15, 17, 19, 22, 20], [21, 23, 24]]
2: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5, 8, 13, 12], [14, 15, 17, 19, 22, 20], [21, 23, 24]]
3: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14, 15, 17, 19, 22, 20], [21, 23, 24]]
4: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5, 8], [13, 12], [14, 15], [17, 19, 22, 20], [21, 23, 24]]
5: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5, 8], [13, 12], [14, 15], [17, 19, 22, 20], [21, 23, 24]]
6: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5, 8], [13, 12, 14], [15, 17], [19, 22, 20], [21, 23, 24]]
7: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3, 9], [5, 8], [13, 12], [14, 15], [17, 19, 22, 20], [21, 23, 24]]
8: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5, 8], [13, 12], [14, 15], [17, 19], [22, 20], [21, 23, 24]]
9: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13, 12], [14, 15, 17, 19], [22, 20], [21, 23, 24]]
10: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14], [15, 17, 19], [22, 20], [21, 23, 24]]
11: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14, 15], [17, 19], [22, 20], [21, 23, 24]]
12: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22, 20], [21, 23, 24]]
13: [[10, 2], [11, 7], [16, 18], [1, 4, 6], [3, 9], [5, 8, 13], [12, 14, 15, 17, 19, 22, 20, 21], [23, 24]]
14: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3, 9, 5, 8], [13, 12, 14, 15], [17, 19, 22], [20, 21], [23, 24]]
15: [[10, 2, 11, 7], [16, 18], [1, 4, 6], [3, 9], [5, 8], [13, 12], [14, 15], [17, 19], [22, 20], [21, 23, 24]]
16: [[10, 2, 11, 7], [16, 18], [1, 4, 6], [3, 9], [5, 8], [13, 12], [14, 15], [17, 19], [22, 20], [21, 23, 24]]
17: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13, 12, 14, 15], [17, 19], [22, 20, 21], [23, 24]]
18: [[10, 2], [11, 7], [16, 18, 1, 4], [6, 3, 9, 5, 8, 13, 12, 14, 15, 17, 19, 22], [20, 21, 23, 24]]
19: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5, 8, 13, 12], [14, 15, 17], [19, 22], [20, 21], [23, 24]]
20: [[10, 2], [11, 7, 16], [18, 1, 4], [6, 3, 9], [5, 8, 13, 12, 14, 15, 17, 19], [22, 20, 21, 23, 24]]
21: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5, 8], [13, 12, 14], [15, 17], [19, 22], [20, 21, 23, 24]]
22: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5, 8], [13, 12, 14], [15, 17], [19, 22], [20, 21, 23, 24]]
23: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3, 9, 5], [8, 13], [12, 14], [15, 17], [19, 22], [20, 21], [23, 24]]
24: [[10, 2], [11, 7, 16], [18, 1, 4], [6, 3], [9, 5], [8, 13, 12, 14, 15], [17, 19], [22, 20, 21], [23, 24]]
25: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14], [15, 17, 19, 22], [20, 21], [23, 24]]
26: [[10, 2], [11, 7], [16, 18], [1, 4, 6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22, 20, 21], [23, 24]]
27: [[10, 2], [11, 7], [16, 18], [1, 4, 6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22, 20, 21], [23, 24]]
28: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14, 15, 17], [19, 22], [20, 21], [23, 24]]
29: [[10, 2], [11, 7], [16, 18], [1, 4, 6, 3, 9], [5, 8], [13, 12], [14, 15], [17, 19], [22, 20, 21, 23, 24]]
30: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3, 9, 5], [8, 13], [12, 14], [15, 17], [19, 22], [20, 21, 23, 24]]
31: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3, 9], [5, 8], [13, 12, 14], [15, 17, 19, 22, 20], [21, 23], [24]]
32: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22], [20, 21], [23, 24]]
33: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22], [20, 21], [23, 24]]
34: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22], [20, 21], [23, 24]]
35: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22, 20, 21], [23, 24]]
36: [[10, 2], [11, 7], [16, 18, 1], [4, 6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22], [20, 21], [23, 24]]
37: [[2], [16, 18, 1, 11, 7], [4, 6, 3], [9, 5, 8], [13, 12], [14, 15, 10], [17, 19, 22], [20, 21, 23, 24]]
38: [[2], [16], [18, 1, 4, 6, 11], [3, 9], [5, 8], [13, 12], [14, 15, 10, 7], [17, 19], [22, 20], [21, 23, 24]]
39: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5, 8, 13, 12, 14, 15, 17], [19, 22, 20, 21, 23, 24]]
40: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22], [20, 21, 23, 24]]
41: [[10, 2], [11, 7], [16, 18, 1, 4], [6, 3], [9, 5], [8, 13], [12, 14], [15, 17], [19, 22], [20, 21, 23, 24]]
42: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3, 9], [5, 8, 13, 12, 14, 15, 17, 19, 22, 20, 21, 23, 24]]
43: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3, 9], [5, 8], [13, 12, 14, 15, 17, 19, 22, 20, 21, 23, 24]]
44: [[10, 2], [11, 7], [16, 18], [1, 4], [6, 3, 9], [5, 8], [13, 12], [14, 15, 17, 19, 22, 20, 21, 23, 24]]
45: [[10, 2], [11, 7, 16, 18], [1, 4], [6, 3], [9, 5, 8], [13, 12, 14, 15, 17, 19, 22, 20, 21, 23, 24]]
46: [[10, 2], [11, 7], [16, 18, 1, 4], [6, 3], [9, 5], [8, 13], [12, 14, 15, 17, 19, 22, 20, 21, 23, 24]]
47: [[10, 2], [11, 7, 16], [18, 1, 4], [6, 3], [9, 5], [8, 13, 12, 14], [15, 17, 19, 22, 20, 21, 23, 24]]
48: [[10, 2], [11, 7], [16, 18], [1, 4, 6], [3, 9, 5], [8, 13, 12, 14, 15, 17, 19, 22, 20, 21, 23, 24]]
49: [[10, 2], [11, 7], [16, 18, 1, 4, 6], [3, 9], [5, 8], [13, 12, 14, 15, 17, 19, 22, 20, 21, 23, 24]]
