0: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
1: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 16, 19, 22], [20, 21, 27, 25, 26, 29]]
2: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 19, 22, 16], [20, 21, 27, 25, 26, 29]]
3: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
4: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 19, 18, 22], [20, 21, 27, 25, 26, 29]]
5: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 19, 18, 22], [20, 21, 27, 25, 26, 29]]
6: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 19, 22, 16], [20, 21, 27, 25, 26, 29]]
7: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 16, 14, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
8: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
9: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 19, 22], [20, 21, 27, 25, 26, 29]]
10: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 19, 22, 16], [20, 21, 27, 25, 26, 29]]
11: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 18, 22, 19], [20, 21, 27, 25, 26, 29]]
12: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 18, 19, 16, 22], [20, 21, 27, 25, 26, 29]]
13: [[17, 15, 11, 1], [6, 2, 3, 5, 4, 13, 8, 10, 12], [7, 24, 28, 23], [9, 14, 16, 19, 22, 18], [20, 21, 27, 25, 26, 29]]
