It No., Best MQ, No clusters, max clus, min clus
1,1.6400203409102312,6,12,1
2,1.811899287926685,9,6,1
3,1.8814888621814616,9,11,2
4,1.7469618369009847,7,10,2
5,2.0062698851745506,11,6,1
6,1.848819991502524,6,10,3
7,1.8346018322762507,8,6,1
8,1.9899740243826263,9,6,1
9,1.82022449536323,10,5,2
10,2.09012987012987,9,5,2
11,1.9979067911953816,8,10,1
12,1.8861509523513427,10,6,1
13,1.7577310312839869,5,9,3
14,1.8720723720723722,7,9,2
15,1.8581529581529581,7,10,1
16,1.9848284716538154,9,7,2
17,2.0553299091851414,10,7,1
18,1.7581182451963548,7,16,2
19,1.8839611649022012,8,5,2
20,2.0331925768913157,11,5,2
21,1.858187267278176,8,8,1
22,1.7454198700756898,7,9,1
23,1.9752469752469755,6,17,1
24,1.8352795352795352,7,7,2
25,2.029230119474022,6,10,2
26,1.8148148148148149,6,9,3
27,1.7544068834391418,10,5,1
28,1.9054154459397425,8,7,2
29,1.7892471603768922,7,6,1
30,1.9767888399981253,8,9,2
31,2.040213602979373,12,3,2
