0: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 12], [9, 15, 13, 10], [25, 16, 17, 14], [20, 23, 18, 22], [28, 24], [21, 27, 26, 29]]
1: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 12], [9, 15, 13, 10], [25, 16, 17, 14], [20, 23, 18, 22], [28, 24], [21, 27, 26, 29]]
2: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 12], [9, 14, 13, 10], [15, 16, 18, 17, 20], [21, 25, 22, 23], [24, 29], [27, 26, 28]]
3: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 13, 9, 15, 10], [28, 24, 23, 12], [14, 17], [16, 18, 20, 21, 22], [29, 26, 27, 25]]
4: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 12], [10, 9, 13], [28, 14, 16], [21, 17, 15], [18, 22, 23], [20, 25, 29, 27], [24, 26]]
5: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 13, 9, 14, 26], [28, 10, 16], [21, 12, 15, 18, 22, 23, 25, 17, 29, 27, 24, 20]]
6: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 13, 10, 14, 9, 24, 15, 12, 21, 28, 20], [16, 26, 17, 18, 25, 27, 22, 23, 29]]
7: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8], [13, 9, 10, 14], [22, 12, 18, 15], [20, 16, 21, 17, 23, 25, 28, 29, 26, 24, 27]]
8: [[19, 1, 2, 7], [11, 3], [5, 6, 4], [8, 13, 9, 14, 10, 29], [12, 23, 25, 20, 17], [15, 26, 22, 18, 16], [27, 21, 24, 28]]
9: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8], [12, 9, 13], [25, 15], [10, 14, 17, 22], [29, 16], [20, 27, 24, 18, 21, 23, 26, 28]]
10: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 12, 9, 14], [15, 20], [10, 13], [27, 17, 18, 16, 21, 25], [23, 22, 26, 24, 28, 29]]
11: [[19, 1, 2, 7], [11, 3], [5, 6, 4, 8, 13], [9, 10], [14, 12, 15, 16, 29, 17, 18, 21], [22, 20, 23, 24], [25, 26, 27, 28]]
12: [[19, 1, 2, 7], [11, 3, 5, 6], [4, 8, 12, 13, 9, 15, 10, 21, 24, 29, 22, 18, 16], [14, 17, 26, 20, 28, 23, 25, 27]]
13: [[19, 1, 2, 7], [11, 3], [5, 6], [4, 8, 12, 9, 14], [10, 26], [29, 16, 13, 15, 20, 18], [22, 17, 23, 25, 21, 24, 27, 28]]
14: [[19, 1, 2, 7], [11, 3, 5, 6], [4, 8, 13, 9, 14, 10, 29, 12, 21, 17, 20, 15, 23, 18, 16, 22, 26, 24, 27, 25, 28]]
15: [[19, 1, 2, 7], [11, 3, 5, 6], [4, 8, 13], [9, 14], [10, 12, 15], [18, 16, 20, 22], [23, 28, 21], [29, 24, 17], [25, 26, 27]]
16: [[19, 1, 2, 7], [11, 3, 5, 6], [4, 8], [12, 9, 13, 10], [15, 28, 14, 29, 22, 17, 16, 20, 21, 24, 18, 23, 25, 26, 27]]
17: [[19, 1, 2, 7], [11, 3], [5, 6, 4, 8, 13], [9, 15, 10, 29, 24, 23, 12, 22, 17], [25, 14, 18, 16, 20, 21, 26, 27, 28]]
18: [[19, 1, 2, 7], [11, 3], [5, 6, 4, 8, 13], [9, 15, 10, 29, 24, 23, 12, 22, 17], [25, 14, 18, 16, 20, 21, 26, 27, 28]]
19: [[19, 1, 2, 7], [11, 3], [5, 6, 4, 8, 13, 9, 14, 10, 12, 15, 17, 24, 20, 21, 22, 23, 26, 18, 16, 25], [29, 28, 27]]
20: [[19, 1], [2, 7], [11, 3, 5], [6, 4, 8, 12], [13, 9, 28, 10], [16, 21, 15], [17, 18, 20, 23, 25, 29, 27, 24, 26, 22, 14]]
21: [[19, 1, 2, 7], [11, 3, 5, 6, 4, 8, 13, 10, 14], [9, 15, 20, 28], [21, 12, 16], [17, 18], [23, 22, 24, 25], [26, 27, 29]]
22: [[19, 1, 2], [7, 11, 3], [5, 6, 4, 8, 12, 9, 13, 29], [15, 10, 17, 25, 14, 22, 21, 18, 23, 26, 24, 16, 20, 27, 28]]
