0: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 6, 21], [11, 9, 12, 14, 24], [15, 17, 16, 26, 10, 18], [22, 30, 23, 28], [29, 25, 27, 31, 37], [32, 33, 36, 38, 34], [43, 45, 40, 39], [47, 56, 41, 51], [57, 49], [44, 52, 54, 46, 55], [50, 48, 53, 58, 60, 59]]
1: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [14, 9, 10, 12, 11, 15, 17, 24, 16, 29, 27], [31, 18, 23, 22, 28], [30, 33, 26], [37, 32, 48, 36, 34, 25, 38, 39, 40], [41, 43, 45, 46, 47, 54], [44, 57, 49, 50, 52, 51, 55, 53, 60, 56, 58, 59]]
2: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 6, 5, 11], [25, 12, 9, 10, 15, 26], [17, 18, 16, 22, 30], [27, 23, 28, 14, 24], [29, 31, 37, 32], [36, 53, 34, 33], [47, 38, 45, 40, 41], [39, 43, 50, 52, 44, 51], [46, 59, 48, 58], [54, 49, 60, 57, 55, 56]]
3: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6], [11, 9, 10, 12, 14, 28, 23, 24, 22, 17, 29], [31, 15, 18, 16, 30], [25, 27, 26], [37, 32, 48, 36, 44, 33, 34, 39, 38], [43, 46, 40, 45, 47, 50], [60, 57, 52, 41, 49, 51, 55, 53, 54, 56, 58, 59]]
4: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6], [11, 9, 12, 10, 24], [15, 14, 17, 18, 23, 16, 26, 30, 25], [22, 27, 28, 29, 31], [39, 32, 34, 54], [36, 33, 47, 44, 37], [40, 45, 41, 38, 43, 46, 50, 51], [48, 53, 49, 56, 58, 55, 52, 57], [60, 59]]
5: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6], [11, 9, 10, 14, 18, 26, 12, 16, 22, 17, 23, 30, 24, 29, 25, 27, 28, 31], [15, 32, 34, 38, 36], [33, 43, 47, 37, 45, 39], [40, 41, 44, 52], [46, 48, 60, 51, 55, 50], [58, 49, 53, 54, 57, 56, 59]]
6: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [14, 9], [12, 10, 26, 15, 11, 18, 17, 16, 22, 23, 30, 25, 28, 27, 29, 24, 31, 37, 32], [33, 39, 34, 36, 43, 38, 44, 46, 45], [41, 40, 57, 47, 48, 49, 54, 51, 53], [50, 60, 56], [52, 58, 55, 59]]
7: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8, 13, 5, 9, 11, 12, 14, 30, 18, 17, 23, 22, 15, 16, 25, 24, 31, 27, 28, 26, 29, 36, 32, 50, 33, 44, 34, 39, 10, 21, 6], [38, 40, 37, 45, 41], [52, 59, 46, 47, 53], [54, 48, 43, 58, 51], [56], [49, 55, 60, 57]]
8: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 6, 9, 11, 5], [12, 14, 10, 15, 26], [16, 17, 22, 18, 31, 27, 23, 28, 24, 25, 29, 30, 37, 33, 32], [39, 34, 36, 46, 38, 41, 45], [43, 40, 44, 48, 60, 47, 52, 50], [51, 53, 56, 54, 49, 55, 59, 58, 57]]
9: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6], [11, 9, 10, 12], [14, 28, 16, 24, 22], [17, 15, 31, 23, 18, 27, 30, 25, 26], [29, 34, 32, 56, 36, 33, 41, 38, 37, 47, 39, 40, 43, 45], [44, 60, 48, 58, 52, 49, 46, 51, 55, 53, 54, 50, 57, 59]]
10: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 5, 21, 6], [11, 9, 26, 14, 12, 10, 27, 16, 17, 24, 15], [23, 18, 22, 25, 28], [29, 31, 30], [37, 32, 50, 36, 40, 44], [46, 33, 43, 34, 38], [41, 47, 57, 48, 56], [58, 39, 45, 55, 49], [51], [52, 53, 54, 59, 60]]
11: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 5, 21, 6], [9, 12, 24, 29, 15, 10], [11, 17, 14, 30, 27, 22, 16, 23, 26, 28, 31, 53, 37, 18], [32, 33, 38, 48, 44, 43, 34, 60, 25, 36, 46, 39, 41, 40, 58, 49, 45], [47, 50, 59, 51, 54, 55, 52, 57, 56]]
12: [[42, 35, 7, 1, 2, 19, 20, 3, 4, 8], [13, 5, 21, 6, 15, 9, 12, 11, 10, 25, 16, 26, 18, 27, 14, 23, 22, 28, 17, 24, 29, 31, 30, 37, 32, 33, 34, 36, 44, 47, 39, 41, 46, 40, 43], [51, 45, 58, 56, 60], [48, 38, 50, 53, 52], [49, 54, 55, 57, 59]]
13: [[42, 35, 7, 1, 2], [19, 20, 3, 4, 8], [13, 21, 5, 6, 9], [10, 14, 11, 26, 12], [16, 28, 15, 17, 18, 30, 23, 22, 24], [25, 29, 27, 31, 37], [32, 38, 34, 39, 45], [33, 40, 52, 36, 43, 41], [46, 47, 60, 49, 54, 57, 44, 48, 50, 53, 51, 55, 58, 59, 56]]
14: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [14, 9], [12, 11, 10, 15, 17, 24, 18, 16, 22, 23, 30, 25, 28, 27, 29, 26, 31, 37, 32], [33, 39, 34, 36, 40, 43, 38, 47, 44, 41, 45, 57, 56, 51, 46, 54, 48, 53, 49, 60, 50, 52, 58, 55, 59]]
15: [[42, 35, 7, 1, 2], [19, 20, 3, 4], [8, 13, 21, 5, 6], [14, 9], [12, 11, 10, 15, 17, 24, 18, 16, 22, 23, 30, 25, 28, 27, 29, 26, 31, 37, 32], [33, 39, 34, 36, 40, 43, 38, 47, 44, 41, 45, 57, 56, 51, 46, 54, 48, 53, 49, 60, 50, 52, 58, 55, 59]]
