0: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
1: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
2: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
3: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
4: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
5: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
6: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
7: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
8: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
9: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
10: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
11: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
12: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
13: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
14: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
15: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
16: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
17: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
18: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
19: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
20: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
21: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
22: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
23: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
24: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
25: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
26: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
27: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
28: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
29: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
30: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
31: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
32: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
33: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
34: [[14, 16, 6], [11, 12, 13], [5, 15, 4], [1, 3, 8], [10, 7, 2, 9], [18, 17, 19, 20]]
35: [[14, 16, 11, 6], [12, 13], [5, 1, 9], [3, 15, 4], [8, 10, 7, 2], [18, 17, 19, 20]]
36: [[14, 16, 11, 6], [12, 13, 5, 15, 9], [1, 3, 4], [8, 10, 7], [2], [18, 17, 19, 20]]
37: [[14, 16, 11, 6], [12, 13, 5, 9], [1, 15, 4], [3, 8, 10], [7, 2], [18, 17, 19, 20]]
38: [[14, 16, 11, 6], [12, 13, 5, 9], [1, 15, 4], [3, 8, 10], [7, 2], [18, 17, 19, 20]]
39: [[14, 16, 6, 11], [12, 13, 5], [15, 4, 1], [3, 8, 10], [7, 2, 9], [18, 17, 19, 20]]
40: [[14, 16, 6, 11], [12, 13, 5], [15, 4, 1], [3, 8, 10], [7, 2, 9], [18, 17, 19, 20]]
41: [[14, 16, 6, 11], [12, 13, 5], [15, 4, 1], [3, 8, 10], [7, 2, 9], [18, 17, 19, 20]]
