0: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
1: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
2: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
3: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
4: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
5: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
6: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
7: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
8: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
9: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
10: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
11: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
12: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
13: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
14: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
15: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
16: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
17: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
18: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
19: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
20: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
21: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
22: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
23: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
24: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
25: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
26: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
27: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
28: [[18, 19, 2, 1], [4, 15, 6, 11, 10, 12], [5, 3, 8, 25, 20, 29, 14], [13, 9, 16, 17], [28, 7, 23, 24, 22], [21, 26, 27]]
