0: [[19], [4, 3, 10], [1, 18, 2, 12, 22], [17, 9, 13], [5, 6, 7], [8, 11, 15, 16], [20, 14], [28, 23, 24], [26, 21, 25, 27, 29]]
1: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
2: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
3: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
4: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
5: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
6: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
7: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
8: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
9: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
10: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
11: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
12: [[19, 4, 10, 3, 5, 1, 6, 2, 12, 8], [13, 9, 7, 15, 11, 22, 16, 17, 18], [20, 14, 29, 23, 21, 26, 25, 24, 27, 28]]
