0: [[7, 11], [10, 3, 6], [9, 13, 1, 2], [4, 5, 12, 14], [8, 15, 16, 19, 17, 18, 20], [21, 23, 22, 24]]
1: [[7, 11], [10, 3], [6, 9, 13], [1, 2], [4, 5, 12], [14, 8, 15, 16], [19, 17, 18, 20], [21, 23, 22, 24]]
2: [[7, 11], [10, 3], [6, 9, 13], [1, 2, 4, 5], [12, 14, 8, 15], [16, 19, 17, 18, 20], [21, 23, 22, 24]]
3: [[7, 11], [10, 3], [6, 9, 13], [1, 2, 4], [5, 12], [14, 8, 15], [16, 19, 17, 18, 20], [21, 23, 22, 24]]
4: [[7, 11], [10, 3], [6, 9, 13], [1, 2, 4], [5, 12, 14], [8, 15, 16], [19, 17, 18, 20], [21, 23, 22, 24]]
5: [[3, 10], [6, 9], [13, 1, 2], [4, 5, 12], [14, 8, 15, 16, 7, 11], [19, 17, 18, 20], [21, 23, 22, 24]]
6: [[7, 11], [10, 3, 6, 9], [13, 1, 2], [4, 5], [12, 14, 8], [15, 16, 19], [17, 18, 20], [21, 23, 22, 24]]
7: [[3, 6, 9], [13, 1], [2, 4, 5], [12, 14, 7, 11, 10], [8, 15, 16], [19, 17], [18, 20], [21, 23, 22, 24]]
8: [[7, 11], [10, 3, 6], [9, 13, 1, 2], [4, 5, 12, 14, 8, 15, 16], [19, 17, 18, 20, 21], [23, 22, 24]]
9: [[3, 6, 10], [9, 13], [1, 2], [4, 5], [12, 14, 8, 15], [16, 19, 17, 7, 11], [18, 20], [21, 23, 22, 24]]
10: [[7, 11], [10, 3, 6], [9, 13, 1, 2], [4, 5], [12, 14, 8, 15], [16, 19], [17, 18, 20, 21], [23, 22, 24]]
11: [[7, 11], [10, 3, 6], [9, 13], [1, 2], [4, 5, 12], [14, 8], [15, 16, 19], [17, 18, 20], [21, 23, 22, 24]]
12: [[7, 11], [10, 3], [6, 9, 13, 1], [2, 4], [5, 12], [14, 8], [15, 16], [19, 17, 18, 20], [21, 23, 22, 24]]
13: [[7, 11], [10, 3], [6, 9, 13, 1], [2, 4, 5, 12], [14, 8, 15, 16, 19, 17, 18], [20, 21, 23, 22, 24]]
14: [[3, 6], [9, 13], [1, 2, 4, 10], [5, 12, 14, 8, 7, 11], [15, 16], [19, 17, 18, 20], [21, 23, 22, 24]]
15: [[3, 6, 10], [9, 13, 1], [2, 4], [5, 12, 14, 8, 7, 11], [15, 16, 19], [17, 18, 20], [21, 23, 22, 24]]
16: [[3, 6, 10], [9, 13, 1, 2], [4, 5, 12], [14, 8, 15, 16, 7, 11], [19, 17, 18], [20, 21, 23, 22, 24]]
17: [[7, 11], [10, 3, 6], [9, 13, 1, 2], [4, 5, 12], [14, 8], [15, 16, 19], [17, 18, 20, 21], [23, 22, 24]]
18: [[7, 11], [10, 3], [6, 9, 13], [1, 2, 4], [5, 12, 14], [8, 15, 16], [19, 17, 18, 20], [21, 23], [22, 24]]
19: [[7, 11], [10, 3, 6], [9, 13, 1, 2, 4], [5, 12, 14, 8], [15, 16, 19], [17, 18, 20, 21], [23, 22, 24]]
20: [[3, 6, 10], [9, 13, 1, 2], [4, 5, 12, 14, 8], [15, 16, 7, 11], [19, 17], [18, 20, 21], [23, 22, 24]]
21: [[3, 6, 10], [9, 13, 1, 2], [4, 5, 12, 14, 8], [15, 16, 7, 11], [19, 17], [18, 20, 21], [23, 22, 24]]
22: [[3, 6, 10], [9, 13, 1, 2], [4, 5, 12, 14, 8], [15, 16, 7, 11], [19, 17], [18, 20, 21], [23, 22, 24]]
23: [[7, 11], [10, 3], [6, 9], [13, 1], [2, 4], [5, 12], [14, 8, 15], [16, 19, 17, 18], [20, 21], [23, 22, 24]]
24: [[7, 11], [10, 3], [6, 9], [13, 1, 2], [4, 5], [12, 14, 8, 15], [16, 19, 17], [18, 20, 21, 23, 22, 24]]
25: [[7, 11], [10, 3, 6], [9, 13, 1], [2, 4, 5], [12, 14], [8, 15], [16, 19, 17], [18, 20], [21, 23], [22, 24]]
26: [[7, 11], [10, 3], [6, 9, 13], [1, 2, 4], [5, 12, 14], [8, 15, 16, 19], [17, 18, 20], [21, 23, 22], [24]]
27: [[7, 11], [10, 3], [6, 9], [13, 1], [2, 4, 5], [12, 14, 8], [15, 16], [19, 17, 18], [20, 21, 23, 22, 24]]
