0: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 21, 6], [8, 24, 11, 9, 12, 15, 23, 27, 22, 16, 17, 18, 10], [19, 20, 30, 26], [25, 31, 29, 28, 32, 37, 33, 43, 36, 41, 38, 42, 34], [45, 39], [40, 59, 44], [46, 55], [57, 49], [54, 48, 47, 50, 52, 51, 53, 58, 56, 60]]
1: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 24, 11, 16, 26, 10, 31], [28, 9, 12, 19, 18, 15, 22, 17, 30, 20, 25, 23, 29, 27, 37, 45, 33, 40, 36, 34, 38, 47, 32, 39, 43, 42, 41, 46, 44, 55, 56, 48, 53, 50, 51], [54, 52, 57, 49, 58, 59, 60]]
2: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 12, 6, 8], [26, 11, 9, 10, 17, 21, 16], [18, 25, 22, 23, 15, 19, 27, 24], [20, 28, 29, 31, 30, 32, 37, 33, 42], [38, 46, 34, 47, 36, 41, 39], [40, 59, 44, 43, 55], [57, 49], [45, 48, 54, 56, 53, 51, 50, 52, 58, 60]]
3: [[3, 7, 1, 2, 35], [4, 14, 13, 21, 9, 6, 8], [27, 11, 25], [5, 28, 10, 29, 22, 16, 15], [12, 20, 23, 18, 19, 17, 24], [26, 30, 31, 32, 37], [33, 42, 38, 34], [36, 44, 45, 43, 40, 39, 41, 46], [47, 55, 50, 48, 51, 53, 54], [58, 49, 52, 56, 59, 57, 60]]
4: [[3, 7, 1, 2, 35, 4, 14], [13, 5, 21, 6], [11, 27, 12, 9, 24, 15, 10], [17, 31, 8, 29], [16, 22, 26, 23, 19, 18], [20, 25, 30, 28, 32, 37, 33, 43], [38, 34, 45, 36, 39, 40, 46], [41, 42, 44, 47, 55, 58, 48, 53, 50, 49, 52, 51, 54, 56, 59, 57, 60]]
5: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 9], [10, 11, 12, 25, 31, 30], [26, 16, 15, 17, 19, 18], [23, 22], [28, 20, 27, 24, 29, 32, 37], [39, 43, 38, 34, 44], [33, 40, 47, 36, 41, 42, 45], [46, 51, 49, 50, 48, 52, 53, 54], [55, 57, 56], [58, 59, 60]]
6: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8, 25], [11, 9, 12, 10, 23, 27, 30, 16, 15, 17, 18], [19, 20, 22, 26], [24, 31, 28, 29, 32, 37, 33, 43, 38, 42, 36, 39, 34], [47, 40], [41, 58, 44], [46, 51], [49, 50], [52, 45, 53, 54, 55, 57, 60, 48, 56, 59]]
7: [[3, 7, 1, 2, 35, 4, 14], [13, 9, 21, 6], [8, 28, 11, 24, 12, 22, 30, 20, 15, 16, 5, 18, 10], [19, 17, 23, 31], [25, 26], [27, 29], [32, 37, 33, 42, 38, 36, 34], [44, 43, 40, 41, 39, 46, 45], [47, 51, 57, 48, 53, 49, 52, 50], [54, 58, 55, 56, 59, 60]]
8: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5], [6, 8, 24, 11, 9, 10, 31, 22, 12, 15], [26, 19, 17, 16, 18, 20, 23, 25, 28, 30, 29, 27, 37, 45, 33, 43, 38, 34, 36, 32], [41, 39, 47, 46, 40, 42, 44], [51, 56, 50, 52, 48, 53, 58, 54, 55, 49, 57, 59, 60]]
9: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [26, 15, 9, 10, 31, 23, 19, 22, 16, 11, 24, 12, 17, 20, 18, 27, 25, 29, 30, 28, 32, 37, 33, 43, 36, 40, 34, 38, 41, 42, 39, 45, 58, 46, 44, 55, 56, 48, 47, 49, 51, 50, 54, 52, 53, 57, 59, 60]]
10: [[3, 7, 1, 2, 35, 4, 14], [13, 21, 5, 6, 8], [10, 11, 9, 12, 24, 19, 16, 30], [20, 22, 18, 31, 23, 15, 17], [26, 25, 29, 27, 28, 32, 37], [33, 42], [38, 34, 36, 44, 39, 45, 41, 40, 46, 47], [43, 51, 48, 49, 54, 50, 53, 52, 55, 56, 57, 58, 59, 60]]
