0: [[3, 5], [7, 13], [8, 6, 9, 11], [2, 12], [4, 10, 1]]
1: [[3, 5], [7, 13], [8, 6, 9, 11], [2, 12, 4, 10, 1]]
2: [[3, 5], [7, 13], [8, 6, 9, 11, 2, 12], [4, 10, 1]]
3: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
4: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
5: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
6: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
7: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
8: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
9: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
10: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
11: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
12: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
13: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12], [4, 10, 1]]
14: [[3, 5], [7, 13], [8, 6], [9, 11, 2, 12], [4, 10, 1]]
15: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12, 4, 10, 1]]
16: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12, 4, 10, 1]]
17: [[3, 5], [7, 13], [8, 6, 9, 11, 2], [12, 4, 10, 1]]
18: [[3, 5], [7, 13], [8, 6, 9, 11, 2], [12, 4, 10, 1]]
19: [[3, 5], [7, 13], [8, 6, 9, 11, 2, 12, 4, 10], [1]]
20: [[3, 5], [7, 13], [8, 6, 9], [11, 2, 12, 4, 10, 1]]
21: [[3, 5], [7, 13, 8, 6], [9, 11, 2], [12, 4, 10, 1]]
22: [[3, 5], [7, 13, 8, 6, 9, 11, 2, 12, 4, 10], [1]]
23: [[3, 5], [7, 13, 8, 6], [9, 11, 2, 12, 4, 10, 1]]
24: [[3, 5], [7, 13], [8, 6], [9, 11], [2, 12, 4], [10, 1]]
25: [[3, 5], [7, 13], [8, 6, 9, 11, 2], [12, 4], [10, 1]]
26: [[3, 5], [7, 13], [8, 6, 9, 11, 2], [12, 4], [10, 1]]
27: [[3], [5, 7, 13, 8, 6, 9, 11, 2, 12, 4, 10, 1]]
