0: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
1: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
2: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
3: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
4: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
5: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
6: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
7: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
8: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
9: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
10: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
11: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
12: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
13: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
14: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
15: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
16: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
17: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
18: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
19: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
20: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
21: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
22: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
23: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
24: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
25: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
26: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
27: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
28: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
29: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
30: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
31: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
32: [[22, 10, 4, 1, 3, 2], [5, 7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
33: [[22, 10, 4, 1, 3, 2, 5], [7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
34: [[22, 10, 4, 1, 3, 2, 5], [7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
35: [[22, 10, 4, 1, 3, 2, 5], [7, 14, 6, 11, 12], [9, 8, 13, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
