0: [[9, 3, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16, 5], [17, 19, 20, 22, 1], [23, 21, 24]]
1: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
2: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
3: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
4: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
5: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
6: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
7: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
8: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
9: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
10: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
11: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
12: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
13: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
14: [[9, 3, 5, 1, 6], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 4], [23, 21, 24]]
15: [[9, 3, 5, 1, 6], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 4], [23, 21, 24]]
16: [[9, 3, 5, 1, 6], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 4], [23, 21, 24]]
17: [[9, 3, 5, 1, 6], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 4], [23, 21, 24]]
18: [[9, 3, 5, 1, 6], [10, 2, 7, 11, 14], [8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 4], [23, 21, 24]]
19: [[4, 3, 5, 6], [1, 10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22, 9], [23, 21, 24]]
20: [[4, 3, 5, 6], [1, 10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22, 9], [23, 21, 24]]
21: [[4, 3, 5, 6], [1, 10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22, 9], [23, 21, 24]]
22: [[4, 3, 5, 6], [1, 10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22, 9], [23, 21, 24]]
23: [[4, 3, 5, 6], [1, 10, 2, 7, 11, 14], [8, 12, 13, 15, 18, 16], [17, 19, 20, 22, 9], [23, 21, 24]]
24: [[4, 3, 5, 6], [1, 10, 2, 7, 11, 14], [8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 9], [23, 21, 24]]
25: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14, 8], [12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
26: [[9, 3, 5, 1, 6, 4], [10, 2, 7, 11, 14, 8], [12, 13, 15, 18, 16], [17, 19, 20, 22], [23, 21, 24]]
27: [[4, 3, 5, 6], [1, 10, 2, 7, 11], [14, 8, 12, 13, 15, 18], [16, 17, 19, 20, 22, 9], [23, 21, 24]]
