0: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9], [14, 15, 16, 4, 6], [19, 17, 20, 18]]
1: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
2: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
3: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
4: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
5: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
6: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
7: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
8: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
9: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
10: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
11: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
12: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
13: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
14: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
15: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
16: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
17: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
18: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
19: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
20: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
21: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
22: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
23: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 6], [19, 17, 20, 18]]
24: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 19, 6], [17, 20, 18]]
25: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 14, 9, 4], [15, 16, 19, 6], [17, 20, 18]]
26: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 19, 17, 20, 18, 6]]
27: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 20, 19, 17, 16, 18, 6]]
28: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 19, 17, 20, 18, 6]]
29: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 19, 17, 20, 18, 6]]
30: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 19, 17, 20, 18, 6]]
31: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 16, 19, 17, 20, 18, 6]]
32: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4, 14, 6, 15, 16, 19, 17, 20, 18]]
33: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4, 6, 14, 15, 20, 19, 17, 16, 18]]
34: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4, 14, 6, 15, 16, 19, 17, 20, 18]]
35: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 18, 16], [19, 17, 20, 6]]
36: [[8, 11, 3, 1], [5, 2, 10, 7], [12, 13, 9, 4], [14, 15, 17, 16], [19, 20, 18, 6]]
37: [[8, 11, 3, 1], [5, 2, 10, 7, 12], [13, 14, 9, 4], [6, 16, 19, 15], [17, 20, 18]]
38: [[8, 11, 3], [1, 5, 2, 10], [7, 12, 13, 9, 4, 14, 6, 15, 16, 19, 17, 20, 18]]
39: [[8, 11, 3], [1, 5, 2, 10], [7, 12, 13, 9, 4, 14, 6, 15, 16, 19, 17, 20, 18]]
40: [[8, 11, 3, 1, 5], [2, 10, 7, 12], [13, 14, 9, 4], [6, 16, 19, 15], [17, 20, 18]]
41: [[8, 11], [3, 1, 5, 2, 10, 7, 12, 13, 9, 4, 14, 6, 15, 16, 19, 17], [20, 18]]
