0: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
1: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 23, 18, 22, 24], [20, 25, 29], [27, 26, 21]]
2: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 17, 23, 18, 16, 22, 24], [20, 25, 29], [27, 26, 21]]
3: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 16, 17, 18, 23, 24, 12, 22, 14], [20, 25, 29], [27, 26, 21]]
4: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 17, 16, 18, 23, 24, 12, 22, 14], [20, 25, 29], [27, 26, 21]]
5: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 16, 24, 18, 12, 14, 22, 17, 23], [20, 25, 29], [27, 26, 21]]
6: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
7: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
8: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 17, 18, 22, 23, 24], [20, 25, 29], [27, 26, 21]]
9: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 17, 18, 16, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
10: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 16, 17, 18, 23, 24, 12, 22, 14], [20, 25, 29], [27, 26, 21]]
11: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 18, 17, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
12: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 17, 16, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
13: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 17, 18, 22, 23, 24], [20, 25, 29], [27, 26, 21]]
14: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 17, 16, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
15: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
16: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
17: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 18, 17, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
18: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 18, 17, 16, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
19: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 17, 16, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
20: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 18, 17, 22, 23, 24], [20, 25, 29], [27, 26, 21]]
21: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 18, 17, 22, 23, 24], [20, 25, 29], [27, 26, 21]]
22: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 17, 18, 16, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
23: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 18, 17, 22, 23, 24], [20, 25, 29], [27, 26, 21]]
24: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 17, 18, 16, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
25: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 17, 18, 16, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
26: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 17, 16, 18, 22, 23, 24], [20, 25, 29], [27, 26, 21]]
27: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 22, 23, 24], [20, 25, 29], [27, 26, 21]]
28: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 18, 17, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
29: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
30: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
31: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 18, 17, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
32: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 18, 17, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
33: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 22, 23, 24], [20, 25, 29], [27, 26, 21]]
34: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
35: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 22, 23, 24], [20, 25, 29], [27, 26, 21]]
36: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 14, 12, 18, 17, 16, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
37: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 17, 16, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
38: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
39: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
40: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
41: [[19, 1, 9, 2, 7], [3, 4, 8], [5, 6, 15, 11, 10], [13, 28, 12, 14, 16, 17, 18, 23, 22, 24], [20, 25, 29], [27, 26, 21]]
