0: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
1: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
2: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
3: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
4: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
5: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
6: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
7: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
8: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
9: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
10: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
11: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
12: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
13: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
14: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
15: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
16: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
17: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
18: [[13, 1, 8], [18, 16, 3], [12, 19], [7, 10, 2, 11, 14], [4, 20, 5, 6, 9, 15, 17], [21, 24, 22, 23]]
