0: [[9, 1, 4], [12, 7, 13], [2, 6, 8, 11, 10], [3, 5]]
1: [[9, 1, 4], [12, 7, 13, 2], [6, 8, 11], [10, 3, 5]]
2: [[9, 1, 4], [12, 7, 13, 2], [6, 8, 11], [10, 3, 5]]
3: [[9, 1, 4], [12, 7, 13], [2, 6, 8, 11], [10, 3, 5]]
4: [[9, 1, 4], [12, 7, 13], [2, 6, 8, 11], [10, 3, 5]]
5: [[9, 1, 4], [12, 7], [13, 2], [6, 8, 11], [10, 3, 5]]
6: [[9, 1, 4], [12, 7, 13], [2, 6, 8, 11, 10, 3, 5]]
7: [[9, 1, 4], [12, 7], [13, 2], [6, 8, 11], [10, 3, 5]]
8: [[9, 1, 4], [12, 7], [13, 2], [6, 8, 11], [10, 3, 5]]
9: [[9, 1, 4], [12, 7, 13], [2, 6, 8, 11, 10, 3, 5]]
10: [[9, 1, 4], [12, 7], [13, 2], [6, 8, 11], [10, 3, 5]]
11: [[9, 1, 4], [12, 7, 13], [2, 6, 8, 11, 10, 3, 5]]
12: [[9, 1, 4], [12, 7, 13], [2, 6], [8, 11], [10, 3, 5]]
13: [[9, 1, 4], [12, 7], [13, 2, 6], [8, 11, 10], [3, 5]]
14: [[9, 1, 4], [12, 7], [13, 2, 6], [8, 11, 10], [3, 5]]
15: [[9, 1, 4, 12], [7, 13, 2], [6, 8, 11], [10, 3, 5]]
16: [[9, 1, 4, 12], [7, 13, 2], [6, 8, 11], [10, 3, 5]]
17: [[9, 1, 4, 12], [7, 13, 2], [6, 8, 11], [10, 3, 5]]
18: [[9, 1, 4], [12, 7, 13], [2, 6, 8], [11, 10, 3, 5]]
19: [[9, 1, 4], [12, 7, 13], [2, 6, 8], [11, 10, 3, 5]]
20: [[9, 1, 4], [12, 7, 13], [2, 6, 8], [11, 10, 3, 5]]
21: [[9, 1, 4, 12], [7, 13], [2, 6], [8, 11, 10], [3, 5]]
22: [[9, 1, 4], [12, 7, 13], [2, 6], [8, 11, 10, 3, 5]]
23: [[9, 1, 4], [12, 7], [13, 2, 6], [8, 11, 10, 3, 5]]
24: [[9, 1], [4, 12], [7, 13, 2], [6, 8, 11], [10, 3, 5]]
25: [[9, 1], [4, 12, 7], [13, 2], [6, 8, 11], [10, 3, 5]]
