0: [[5, 1, 3], [12, 7], [2, 10, 4, 8, 13], [6, 11, 9]]
1: [[5, 1, 3], [12, 7], [2, 10, 4, 8, 13], [6, 11, 9]]
2: [[5, 1, 3], [12, 7], [2, 10, 4, 8, 13], [6, 11, 9]]
3: [[5, 1, 3], [12, 7], [2, 10, 4], [8, 13, 6, 11, 9]]
4: [[5, 1, 3], [12, 7], [2, 10, 4, 8], [13, 6, 11, 9]]
5: [[5, 1, 3], [12, 7], [2, 10, 4, 8], [13, 6, 11, 9]]
6: [[5, 1, 3], [12, 7], [2, 10, 4, 8, 13, 6, 11, 9]]
7: [[5, 1, 3], [12, 7], [2, 10, 4], [8, 13, 6, 11, 9]]
8: [[5, 1, 3], [12, 7], [2, 10, 4, 8], [13, 6, 11, 9]]
9: [[5, 1, 3], [12, 7, 2], [10, 4, 8, 13], [6, 11, 9]]
10: [[5, 1, 3], [12, 7, 2], [10, 4, 8, 13], [6, 11, 9]]
11: [[5, 1, 3], [12, 7, 2], [10, 4, 8], [13, 6, 11, 9]]
12: [[5, 1, 3], [12, 7, 2], [10, 4], [8, 13], [6, 11, 9]]
13: [[5, 1, 3], [12, 7, 2], [10, 4], [8, 13], [6, 11, 9]]
14: [[5, 1, 3], [12, 7], [2, 10, 4], [8, 13], [6, 11, 9]]
15: [[5, 1, 3], [12, 7], [2, 10], [4, 8, 13], [6, 11, 9]]
16: [[5, 1, 3], [12, 7], [2, 10], [4, 8, 13], [6, 11, 9]]
17: [[5, 1, 3], [12, 7, 2], [10, 4], [8, 13, 6], [11, 9]]
18: [[5, 1, 3], [12, 7, 2], [10, 4], [8, 13, 6], [11, 9]]
19: [[5, 1, 3], [12, 7, 2], [10, 4, 8], [13, 6], [11, 9]]
20: [[5, 1, 3], [12, 7], [2, 10, 4, 8], [13, 6, 11], [9]]
21: [[5, 1, 3, 12, 7], [2, 10, 4], [8, 13, 6, 11, 9]]
22: [[5, 1, 3], [12, 7, 2, 10, 4], [8, 13, 6], [11, 9]]
23: [[5, 1, 3], [12, 7, 2, 10, 4], [8, 13, 6], [11, 9]]
24: [[5, 1], [3, 12, 7, 2, 10], [4, 8, 13], [6, 11, 9]]
25: [[5, 1], [3, 12, 7, 2, 10], [4, 8, 13], [6, 11, 9]]
