0: [[35, 7, 1, 2], [5, 9, 3, 4, 12, 29, 8, 24], [27, 14, 25, 11, 10], [13, 30, 16, 19, 20, 17, 6, 21], [23, 22, 26, 28, 54, 31, 40, 18], [34, 51, 36, 33, 47, 15], [39, 38, 37, 32, 43], [41, 42], [46, 44, 53, 45, 59, 55, 50, 48], [52, 56], [57, 49], [58, 60]]
1: [[35, 2, 7, 11, 27], [1, 3, 4, 5, 8, 14, 9, 13, 15, 12, 30, 18, 10, 6], [22, 19, 17, 23, 24, 16, 26, 20, 29, 31, 25, 21], [28, 36, 41, 32, 33, 34, 37], [39, 44, 47, 40, 38], [42, 46, 43, 45, 52, 55, 48, 51, 60, 50, 53, 56, 58, 54], [57, 49, 59]]
2: [[35, 2, 7, 1, 27, 4, 5], [3, 19, 14, 8, 9, 15, 18], [26, 11, 13, 30, 12, 17, 16, 10, 21, 6], [22, 25, 23, 20, 29, 24, 28, 31, 33, 40, 36, 32, 39, 34], [38, 45, 47, 43, 51, 46, 42, 44, 41, 37, 55, 54], [50, 49, 48, 52, 53, 57, 60, 56, 59, 58]]
3: [[35, 2], [7, 1, 27, 9, 3, 5], [21, 4, 14, 6, 13, 29], [8, 11, 10, 24, 30, 12, 22, 15, 16, 20, 18, 19, 25, 17, 23, 28, 26, 31, 36, 32, 58, 39, 37, 33, 42, 38, 40, 34, 41, 46, 45, 47], [50, 52, 43, 44, 53, 54], [51, 48, 49, 55, 57, 56, 59, 60]]
4: [[35, 2, 7, 11, 27, 3], [9, 4, 1, 21, 12, 6], [5, 10, 15, 8, 31, 17, 26, 14, 20], [16, 13, 22, 19, 23, 18, 29, 28, 24, 58, 25, 60, 32, 30, 37, 39, 34, 46, 45, 36, 33, 40, 38, 41, 47, 42, 51, 50, 43, 44, 53], [49, 55, 52, 54, 48, 57, 56, 59]]
5: [[35, 2, 7, 3, 27, 5], [1, 10, 6, 4, 12, 8, 9, 15, 25, 13, 11, 22, 24, 16, 21], [14, 28, 17, 23, 20, 18, 19, 26, 29, 30, 31, 38, 33, 34, 32, 36, 46, 41, 45, 37, 44, 42, 39, 40, 43], [49, 53, 48, 47, 52, 51, 54, 55, 57, 56, 50, 58, 59, 60]]
6: [[35, 2, 7, 1, 27, 5], [3, 10, 6, 4, 12, 14, 9, 15, 25, 8, 11, 30, 24, 16], [13, 17, 20, 22, 23, 18, 19, 21, 28, 31, 26, 29, 38, 36, 34, 32, 33, 46, 39, 45, 41, 37, 42, 47, 40, 43], [49, 52, 57, 44, 50, 51, 48, 53, 55, 56, 54, 58, 59, 60]]
7: [[35, 2, 7, 3, 27, 1, 5], [6, 21, 13, 8, 14], [4, 24, 11, 9, 10, 31], [12, 20, 15, 16, 19, 23, 18, 17, 22, 26, 29, 25, 28, 30], [37, 33, 36, 32, 34, 42, 38, 40, 45, 43, 39, 47, 41, 44], [57, 50, 46, 51, 48, 49, 54, 56, 53, 52, 55, 58, 59, 60]]
8: [[35, 2, 7, 11], [3, 5], [1, 8, 4, 9, 10, 14, 6, 28, 21, 16, 13, 18, 15, 23], [12, 24, 19, 22, 26, 17, 20, 27, 30, 31, 25, 29, 36, 34, 56, 33, 37, 38, 32, 39, 45, 44, 41, 42, 43, 46, 49, 40, 47, 50, 51, 52, 53, 48, 60, 55, 54, 59, 57, 58]]
9: [[35, 2], [7, 1, 27, 11, 5, 8, 6, 3, 12, 15, 9, 28, 4, 10, 26, 22, 19], [13, 25, 14, 16, 18, 23, 17, 20, 21, 31, 24, 29, 30, 36, 33, 34, 32, 37, 40, 39, 41, 43, 42, 38, 47, 44, 45, 53, 46, 56], [60, 52, 54, 48], [49, 51, 55, 58, 50, 57, 59]]
10: [[35, 2, 7], [9, 27, 3, 5], [1, 12, 4, 6, 8, 24, 30], [11, 10, 15, 28, 14, 29, 17, 13, 16, 18, 21, 19], [20, 22, 26, 31, 25, 23, 44, 32, 36, 33, 38], [45, 39, 47, 34, 37, 53, 46, 41, 43, 40], [42], [49, 54, 48, 52, 55, 56, 51, 57, 59, 58, 50, 60]]
