0: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 7, 4, 3, 8, 14, 11, 9], [6, 15, 24, 26, 23], [21, 18, 31, 25, 16, 17, 59, 19], [20, 27, 28, 29, 62, 52, 53], [56, 34, 30, 51, 39, 33, 35, 32, 47, 45, 40], [42, 44, 58, 37, 50, 54, 49, 38], [41, 46, 55, 48, 57, 63, 60, 61, 80, 65, 66], [64, 76, 75, 67, 68, 73], [79, 69, 77, 71, 72, 78, 10], [74, 83, 82, 84, 81, 86, 85, 87, 88]]
1: [[36, 43, 2, 70, 1, 12, 13, 22, 4], [7, 5, 3, 10, 6, 8, 9, 11], [14, 15, 21, 18, 23, 29, 16, 17, 20], [25, 27, 19, 24, 26, 30, 28, 55], [48, 51, 52, 61, 31, 33, 32, 35], [38, 49, 34, 45, 42, 40, 44, 41], [58, 37, 56, 62, 39, 46, 50, 53, 47, 54, 57], [63, 59, 60, 80, 65, 66, 67, 68, 76, 75], [71, 74, 72, 69, 78, 64, 73, 77], [81, 79, 83, 82, 86, 88, 84, 87, 85]]
2: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 6, 3, 4, 7, 10, 8, 9, 14, 23], [26, 19, 11, 17, 16, 21, 25, 20], [30, 62, 28, 18, 29, 61, 24, 53, 52], [55, 49, 27, 38, 48, 42, 37, 31], [39, 34, 15, 32, 33, 35, 58, 45], [51, 40, 56, 46, 41, 54, 57, 44, 47], [50, 59, 60, 63, 65, 66, 64, 76], [75, 69, 67, 68, 77, 72, 74, 79, 71, 73, 78], [80, 83, 86, 82, 85, 81, 84, 87, 88]]
3: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 3, 6, 8, 14, 10, 9, 17, 15], [5, 26, 25, 16, 23, 30, 24, 11], [18, 21, 19, 29, 20, 27, 28, 63], [31, 33, 51, 35, 59, 54, 32, 47], [34, 41, 45, 37, 38, 39, 52, 42, 49], [44, 46, 57, 53, 58, 56, 40, 50], [48, 55, 60, 61, 62, 65, 66, 64, 76], [67, 77, 68, 69, 79, 74, 72, 71, 73, 78, 75], [80, 82, 84, 85, 81, 83, 86, 87, 88]]
4: [[36, 43, 2, 70, 1, 12, 13, 22, 5], [6, 4, 3, 7, 8, 11, 10, 9], [15, 21, 20, 14, 23, 16, 18, 28], [19, 26, 24, 31, 25, 17, 27, 58, 54, 49], [29, 34, 37, 40, 51, 30, 41, 33, 39], [35, 63, 38, 32, 42, 55, 44, 46, 62, 52], [45, 47, 48, 50, 56, 61, 53, 60], [57, 59, 80, 65, 66, 64, 69, 68], [75, 67, 71, 72, 78, 73, 74, 77, 76], [81, 79, 82, 84, 83, 87, 85, 86, 88]]
5: [[36, 43, 2, 70, 1, 12, 13, 22], [5, 7, 6, 3, 10, 4, 8, 14], [15, 11, 18, 19, 16, 9, 25, 29], [21, 20, 17, 24, 26, 28, 23, 27, 59, 30], [49, 62, 32, 57, 58, 34, 31, 35], [54, 33, 56, 40, 45, 37, 38, 47, 39, 41, 42, 44], [50, 46, 48, 53, 52, 51, 55, 60, 63], [61, 64, 66, 68, 69, 74, 65, 75], [79, 71, 72, 67, 77, 73, 76, 78], [84, 87, 80, 81, 85, 82, 83, 86, 88]]
6: [[36, 43, 2, 70, 1, 5, 12, 13, 22], [7, 6, 3, 4, 8, 15, 11, 9, 14], [16, 21, 17, 25, 23, 18, 24, 20], [26, 19, 27, 28, 34, 29, 30, 52, 31, 33], [35, 39, 32, 54, 37, 42, 38, 40, 10], [58, 60, 45, 46, 44, 47, 48, 50, 55], [41, 53, 49, 51, 56, 59, 63, 61], [62, 57, 65, 64, 69, 67, 66, 68, 71], [78, 74, 72, 75, 73, 77, 76, 81], [82, 83, 79, 84, 80, 86, 87, 85, 88]]
7: [[36, 43, 2, 70, 1, 12, 13, 22, 4, 7], [3, 5, 14, 6, 8, 9, 11, 15, 10], [29, 21, 23, 18, 16, 17, 31, 24], [19, 20, 25, 26, 27, 28, 30, 60], [54, 33, 46, 37, 35, 34, 38, 53, 40, 39], [44, 41, 47, 48, 45, 50, 56, 32, 49], [51, 52, 61, 55, 42, 62, 59, 58], [57, 63, 65, 66, 68, 69, 64, 75, 72], [77, 67, 74, 73, 71, 76, 78, 79], [82, 83, 81, 80, 86, 84, 87, 85, 88]]
8: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 5, 6, 10, 11, 3, 9, 8], [14, 15, 30, 18, 17, 16, 21, 23], [19, 26, 28, 25, 24, 31, 20, 27, 32, 53, 29], [33, 45, 38, 34, 39, 59, 35, 41], [40, 37, 46, 42, 44, 47, 51, 49, 50], [52, 54, 55, 58, 60, 48, 61, 56, 57, 62], [63, 64, 72, 66, 69, 75, 68, 74], [73, 65, 67, 76, 77, 71, 78, 79], [84, 83, 80, 82, 81, 87, 85, 86, 88]]
9: [[36, 43, 2, 70, 1, 12, 13, 22], [4, 7, 5, 9, 10, 6, 3, 8, 27, 25], [18, 11, 15, 14, 23, 17, 21, 16, 26], [19, 28, 20, 31, 62, 50, 24, 63], [29, 35, 30, 33, 32, 34, 38, 39, 37, 42, 40], [44, 41, 45, 53, 47, 52, 54, 49], [51, 55, 59, 46, 48, 57, 56, 58, 60], [61, 80, 64, 67, 68, 65, 66, 74], [71, 73, 72, 78, 75, 69, 77, 76], [81, 83, 82, 79, 84, 87, 85, 86, 88]]
10: [[36, 43, 2, 70, 1, 12, 13, 22, 4], [7, 3, 5, 10, 6, 9, 8, 15], [26, 11, 14, 24, 21, 16, 17, 20], [29, 19, 28, 25, 27, 18, 23, 30], [31, 48, 60, 34, 38, 45, 40, 39, 41, 35, 32], [33, 37, 46, 44, 47, 49, 42, 53, 63, 54], [51, 55, 52, 50, 56, 57, 59, 58, 62], [61, 72, 68, 64, 73, 69, 67, 65], [71, 75, 76, 66, 74, 77, 78, 85], [88, 86, 82, 81, 79, 87, 80, 83, 84]]
