0: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
1: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
2: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
3: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
4: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
5: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
6: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
7: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
8: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
9: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
10: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
11: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
12: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
13: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
14: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
15: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
16: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
17: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
18: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
19: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
20: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
21: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
22: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
23: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
24: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
25: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
26: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
27: [[13, 12, 7], [9, 4, 6, 8], [5, 1, 3], [10, 11, 2]]
