0: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25], [21, 17, 31], [19, 20], [23, 60, 24, 27], [29, 28], [30, 33, 41], [58, 32], [39, 34, 43, 35, 44], [46, 37, 54], [40, 38, 42], [63, 45], [47, 51, 56], [49, 52, 50], [48, 61, 55], [53, 59, 57], [62, 66], [71, 67], [68, 64], [77, 65], [69, 70], [74, 73, 72, 75], [76, 78], [79, 86, 81, 83, 80, 82], [84, 85], [87, 88]]
1: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25], [21, 17, 31, 19, 20], [23, 60, 24], [27, 29, 28], [30, 33], [41, 58, 32], [39, 34, 43], [35, 44, 46], [37, 54, 40], [38, 42], [63, 45], [47, 51, 56, 49], [52, 50, 48, 61], [55, 53, 59, 57, 62, 66, 71, 67, 68, 64, 77], [65, 69, 70, 74, 73, 72, 75], [76, 78], [79, 86, 81, 83, 80, 82, 84, 85, 87, 88]]
2: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25], [21, 17, 31], [19, 20], [23, 60, 24, 27], [29, 28], [30, 33, 41], [58, 32], [39, 34, 43, 35, 44, 46, 37, 54], [40, 38, 42, 63, 45, 47, 51, 56], [49, 52, 50], [48, 61, 55], [53, 59], [57, 62, 66, 71, 67], [68, 64, 77, 65, 69, 70, 74, 73, 72, 75, 76, 78, 79, 86, 81, 83, 80, 82, 84, 85, 87, 88]]
3: [[13, 36, 22], [1, 2, 4, 7, 12, 3, 5, 6], [9, 11], [8, 10, 26], [15, 14, 16, 18, 25], [21, 17, 31], [19, 20, 23, 60], [24, 27, 29, 28], [30, 33, 41], [58, 32], [39, 34, 43, 35, 44], [46, 37, 54], [40, 38, 42], [63, 45], [47, 51, 56], [49, 52, 50], [48, 61, 55], [53, 59, 57], [62, 66], [71, 67], [68, 64], [77, 65], [69, 70], [74, 73, 72, 75], [76, 78], [79, 86, 81, 83, 80, 82], [84, 85], [87, 88]]
4: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25, 21, 17, 31, 19, 20], [23, 60, 24, 27], [29, 28], [30, 33, 41], [58, 32], [39, 34, 43], [35, 44, 46, 37, 54, 40, 38, 42], [63, 45, 47], [51, 56, 49], [52, 50], [48, 61], [55, 53], [59, 57, 62, 66], [71, 67, 68], [64, 77, 65, 69, 70, 74, 73], [72, 75, 76, 78, 79], [86, 81], [83, 80, 82, 84, 85], [87, 88]]
5: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25, 21, 17, 31, 19, 20], [23, 60, 24, 27], [29, 28], [30, 33, 41], [58, 32], [39, 34, 43], [35, 44, 46, 37, 54, 40, 38, 42], [63, 45, 47], [51, 56, 49], [52, 50], [48, 61], [55, 53], [59, 57, 62, 66], [71, 67, 68], [64, 77, 65, 69, 70, 74, 73], [72, 75, 76, 78, 79], [86, 81], [83, 80, 82, 84, 85], [87, 88]]
6: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25, 21, 17, 31, 19, 20], [23, 60, 24, 27], [29, 28], [30, 33, 41], [58, 32], [39, 34, 43], [35, 44, 46, 37, 54, 40, 38, 42], [63, 45, 47], [51, 56, 49], [52, 50], [48, 61], [55, 53], [59, 57, 62, 66], [71, 67, 68], [64, 77, 65, 69, 70, 74, 73], [72, 75, 76, 78, 79], [86, 81], [83, 80, 82, 84, 85], [87, 88]]
7: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25], [21, 17, 31, 19, 20], [23, 60, 24], [27, 29, 28, 30, 33, 41, 58, 32], [39, 34], [43, 35, 44], [46, 37, 54, 40, 38], [42, 63, 45], [47, 51, 56, 49], [52, 50], [48, 61, 55], [53, 59, 57], [62, 66, 71], [67, 68, 64], [77, 65, 69, 70, 74, 73, 72, 75, 76, 78, 79, 86, 81, 83, 80, 82, 84, 85, 87, 88]]
8: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25], [21, 17, 31, 19, 20], [23, 60, 24], [27, 29, 28, 30], [33, 41, 58, 32], [39, 34, 43, 35], [44, 46, 37, 54, 40, 38, 42], [63, 45, 47, 51, 56, 49, 52, 50], [48, 61], [55, 53, 59, 57, 62, 66, 71, 67], [68, 64, 77], [65, 69], [70, 74, 73], [72, 75, 76], [78, 79, 86, 81, 83, 80], [82, 84, 85, 87, 88]]
9: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25], [21, 17, 31], [19, 20], [23, 60, 24, 27], [29, 28], [30, 33, 41, 58], [32, 39, 34, 43, 35, 44, 46], [37, 54, 40, 38, 42], [63, 45], [47, 51, 56, 49, 52, 50, 48, 61, 55, 53, 59, 57, 62, 66, 71, 67, 68, 64, 77, 65, 69, 70, 74, 73, 72, 75, 76, 78, 79, 86, 81, 83, 80], [82, 84, 85, 87, 88]]
10: [[13, 36, 22, 1, 2, 4, 7, 12], [3, 5, 6, 9, 11, 8, 10, 26], [15, 14], [16, 18, 25], [21, 17, 31, 19, 20], [23, 60, 24], [27, 29, 28, 30], [33, 41, 58, 32], [39, 34, 43, 35, 44, 46, 37, 54], [40, 38, 42], [63, 45], [47, 51, 56], [49], [52, 50], [48, 61, 55, 53, 59], [57, 62, 66], [71, 67], [68, 64, 77, 65, 69, 70, 74, 73], [72, 75, 76, 78, 79, 86], [81, 83, 80, 82, 84, 85, 87, 88]]
