0: [[4, 20, 10, 19, 2, 14, 1, 5, 8], [16, 3, 6], [11, 12, 7, 22, 13], [17, 15, 9, 18], [23, 21, 24]]
1: [[20, 10, 19, 2, 14, 5, 1, 4], [13, 16, 3, 6, 8], [11, 12, 7, 22], [17, 15, 9, 18], [23, 21, 24]]
2: [[20, 10, 19, 2, 1], [14, 5, 4], [13, 16], [3, 6], [11, 12, 7], [22, 17], [15, 9, 18, 8], [23, 21, 24]]
3: [[20], [10, 19, 2, 1, 4], [14, 5, 13, 8], [16, 3, 6], [11, 12], [7, 22], [17, 15, 9, 18], [23, 21, 24]]
4: [[20, 1, 8], [10, 19, 2, 14], [5, 13], [16, 3], [6, 11], [12, 7, 22, 4], [17, 15, 9, 18], [23, 21, 24]]
5: [[20], [10, 19, 2, 1, 4], [14, 5, 13], [16, 3, 6, 11], [12, 7, 22, 17], [15, 9, 18, 8], [23, 21, 24]]
6: [[20], [10, 19], [2, 14, 5, 13, 1, 4], [16, 3], [6, 11, 12], [7, 22, 17], [15, 9, 18, 8], [23, 21, 24]]
7: [[20, 10], [19, 2], [14, 5, 13, 4], [16, 3, 6], [11, 12, 1], [7, 22], [17, 15, 9, 18, 8], [23, 21, 24]]
8: [[20, 10], [19, 2, 1], [14, 5, 4], [13, 16, 3], [6, 11], [12, 7], [22, 17, 15], [9, 18, 8], [23, 21, 24]]
9: [[20, 10], [19, 2, 1], [14, 5, 13, 16, 3, 4], [6, 11], [12, 7], [22, 17], [15, 9, 18, 8], [23, 21, 24]]
10: [[20, 10, 19, 1, 8], [2, 14, 5], [13, 16, 3], [6, 11], [12, 7, 22, 4], [17, 15, 9, 18], [23, 21, 24]]
11: [[20], [10, 19], [2, 14], [5, 13], [16, 3, 6, 4], [11, 12, 1], [7, 22, 17, 15, 9, 18, 8], [23, 21, 24]]
12: [[20, 10], [19, 2, 14, 5, 13, 1, 8, 4], [16, 3, 6, 11, 12], [7, 22, 17, 15], [9, 18], [23, 21, 24]]
13: [[20, 10, 19, 1, 4], [2, 14], [5, 13], [16, 3, 6], [11, 12], [7, 22], [17, 15, 8], [9, 18], [23, 21, 24]]
14: [[20, 10, 19, 1, 4], [2, 14], [5, 13], [16, 3, 6], [11, 12], [7, 22], [17, 15, 8], [9, 18], [23, 21, 24]]
15: [[20, 10], [19, 2, 14, 1, 4], [5, 13, 16, 8], [3, 6, 11, 12], [7, 22], [17, 15], [9, 18], [23, 21, 24]]
16: [[20], [10, 19], [2, 14], [5, 13, 16, 1, 4], [3, 6], [11, 12], [7, 22, 17, 15], [9, 18, 8], [23, 21, 24]]
17: [[1, 8, 4], [20, 10, 19, 2, 14, 5, 13, 16, 3, 6, 11, 7, 22, 15, 12, 17], [9, 18], [23, 21, 24]]
18: [[20, 1], [10, 19, 2, 14, 4], [5, 13, 16, 8], [3, 6], [11, 12, 7], [22, 17, 15, 9], [18, 23, 21, 24]]
19: [[20], [10, 19, 2, 1, 4], [14, 5, 13, 8], [16, 3], [6, 11, 12, 7], [22, 17, 15, 9], [18, 23, 21, 24]]
20: [[20, 10, 1], [19, 2], [14, 5, 13, 4], [16, 3, 6], [11, 12, 7, 22], [17, 15, 9, 18, 23, 8], [21, 24]]
21: [[20, 4], [10, 19, 2, 1], [14, 5, 13, 8], [16, 3], [6, 11, 12, 7, 22], [17, 15, 9, 18, 23], [21, 24]]
22: [[20], [10, 19, 2, 1, 4], [14, 5, 13, 8], [16, 3], [6, 11, 12], [7, 22], [17, 15, 9, 18], [23, 21], [24]]
23: [[20, 8], [10, 19, 2, 14], [5, 13, 16, 3, 1, 4], [6, 11, 12], [7, 22, 17, 15, 9], [18, 23, 21, 24]]
24: [[20, 10], [19, 2], [14, 5, 4], [13, 16, 3, 1], [6, 11], [12, 7], [22, 17, 15, 9, 8], [18, 23, 21, 24]]
25: [[20, 10, 19, 1, 4], [2, 14], [5, 13, 16], [3, 6], [11, 12, 7], [22, 17, 15, 9, 18, 23, 8], [21, 24]]
26: [[4, 20, 10, 19, 2, 14, 5, 13, 16, 1], [3, 6, 11], [12, 7, 22, 17], [15, 9, 18, 23, 8], [21, 24]]
27: [[20, 10, 19, 1, 4], [2, 14], [5, 13], [16, 3], [6, 11, 12], [7, 22, 17], [15, 9, 18, 23, 8], [21, 24]]
28: [[4, 20, 10, 19, 2, 1, 8], [14, 5, 13], [16, 3, 6, 11, 12, 7, 22], [17, 15], [9, 18, 23, 21, 24]]
29: [[20, 10], [19, 2], [14, 5], [13, 16, 1, 4], [3, 6, 11], [12, 7, 22, 17], [15, 9, 18, 23, 8], [21, 24]]
30: [[20, 10, 19, 1, 4], [2, 14], [5, 13, 16], [3, 6], [11, 12, 7], [22, 17, 15, 8], [9, 18], [23, 21], [24]]
31: [[20, 10, 19, 2, 1, 8], [14, 5], [13, 16], [3, 6, 4], [11, 12, 7], [22, 17, 15, 9, 18, 23, 21, 24]]
32: [[20], [10, 19], [2, 14, 5, 13], [16, 3, 4], [6, 11, 1], [12, 7, 22, 17], [15, 9, 8], [18, 23], [21, 24]]
33: [[20, 10], [19, 2, 14, 1, 4], [5, 13, 16, 8], [3, 6, 11], [12, 7], [22, 17, 15], [9, 18, 23], [21, 24]]
34: [[20], [10, 19], [2, 14], [5, 13, 16, 3, 1, 4], [6, 11, 12], [7, 22, 17, 15, 8], [9, 18, 23], [21, 24]]
35: [[20, 8], [10, 19, 2, 14, 5, 4], [13, 16], [3, 6], [11, 12, 1], [7, 22, 17], [15, 9, 18, 23, 21, 24]]
36: [[20, 10, 19, 1, 8], [2, 14], [5, 13], [16, 3, 4], [6, 11, 12], [7, 22], [17, 15], [9, 18, 23, 21, 24]]
37: [[4, 8], [20, 10, 19, 1], [2, 14], [5, 13, 16, 3, 6, 11, 12, 7, 22], [17, 15, 9, 18, 23, 21, 24]]
38: [[4, 20, 1], [10, 19, 2, 14], [5, 13, 16, 8], [3, 6, 11, 12, 7, 22, 17, 15, 9, 18, 23, 21, 24]]
39: [[4, 20, 10, 19, 1, 8], [2, 14], [5, 13, 16], [3, 6, 11, 12, 7, 22, 17, 15], [9, 18, 23, 21, 24]]
40: [[4, 20, 1, 8], [10, 19, 2, 14], [5, 13, 16, 3, 6, 11, 12, 7, 22, 17, 15, 9, 18, 23, 21, 24]]
41: [[4], [20, 10], [19, 2, 1], [14, 5, 13, 8], [16, 3, 6, 11, 12, 7, 22, 17, 15, 9, 18, 23, 21, 24]]
42: [[20, 10], [19, 2], [14, 5], [13, 16, 1], [3, 6, 4], [11, 12, 7, 22, 17], [15, 9, 8], [18, 23, 21], [24]]
43: [[4], [20, 10, 19, 2, 1], [14, 5, 13, 16, 8], [3, 6, 11], [12, 7, 22, 17, 15, 9, 18, 23, 21, 24]]
44: [[20, 10, 19, 1, 8, 4], [2, 14], [5, 13, 16], [3, 6, 11], [12, 7], [22, 17, 15, 9, 18, 23, 21, 24]]
45: [[4, 1, 8], [20, 10, 19], [2, 14, 5, 13], [16, 3, 6, 11], [12, 7, 22, 17, 15, 9, 18, 23, 21, 24]]
46: [[1], [8, 4, 20, 10, 19, 2, 14, 5, 13, 16, 3, 6, 11, 12, 7, 22, 17, 15, 9, 18, 23, 21, 24]]
47: [[20, 10, 19, 1, 8], [2, 14, 5], [13, 16], [3, 6, 11, 4], [12, 7, 22, 17, 15, 9, 18, 23, 21, 24]]
48: [[1, 8], [4, 20, 10, 19, 2, 14, 5, 13, 16, 3, 6, 11, 12, 7, 22, 17, 15, 9, 18, 23, 21], [24]]
49: [[1, 8], [4, 20, 10, 19, 2, 14, 5, 13, 16, 3, 6, 11, 12, 7, 22, 17, 15, 9, 18, 23, 21], [24]]
