0: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10, 11], [12, 13, 20, 16, 17, 19, 23], [21, 27], [25, 28, 26], [31, 30, 34, 33], [32, 35, 36]]
1: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10, 11], [12, 13, 20, 16, 17, 19, 23], [21, 27], [25, 28, 26], [31, 30, 34, 33], [32, 35, 36]]
2: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10, 11], [12, 13, 20, 16, 17, 19, 23], [21, 27], [25, 28, 26], [31, 30, 34, 33], [32, 35, 36]]
3: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18, 14], [24, 22, 6], [15, 10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27], [25, 28, 26], [31, 30, 34], [33, 32], [35, 36]]
4: [[37, 2], [29, 7], [5, 1, 3], [9, 4, 8], [18, 14, 24, 22], [6, 15], [10, 11, 12], [13, 20, 16], [17, 19, 23], [21, 27], [25, 28, 26], [31, 30, 34, 33], [32, 35, 36]]
5: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15], [10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27], [25, 28], [26, 31, 30, 34], [33, 32], [35, 36]]
6: [[37, 2], [29, 7], [5, 1], [3, 9, 4], [8, 18], [14, 24], [22, 6, 15], [10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27], [25, 28, 26], [31, 30, 34], [33, 32], [35, 36]]
7: [[37, 2, 29], [7, 5, 1], [3, 9, 4], [8, 18, 14], [24, 22], [6, 15, 10], [11, 12, 13], [20, 16, 17, 19], [23, 21, 27], [25, 28, 26], [31, 30], [34, 33, 32], [35, 36]]
8: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24], [22, 6], [15, 10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27], [25, 28, 26], [31, 30, 34], [33, 32], [35, 36]]
9: [[37, 2], [29, 7], [5, 1, 3], [9, 4, 8], [18, 14], [24, 22, 6], [15, 10], [11, 12], [13, 20, 16], [17, 19], [23, 21, 27], [25, 28, 26], [31, 30, 34, 33, 32, 35, 36]]
10: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10], [11, 12, 13, 20], [16, 17, 19], [23, 21], [27, 25, 28], [26, 31, 30, 34], [33, 32, 35, 36]]
11: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15, 10], [11, 12, 13], [20, 16, 17], [19, 23], [21, 27], [25, 28, 26], [31, 30], [34, 33, 32], [35, 36]]
12: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24, 22], [6, 15, 10], [11, 12, 13], [20, 16, 17], [19, 23], [21, 27], [25, 28, 26], [31, 30], [34, 33, 32], [35, 36]]
13: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10, 11, 12, 13, 20], [16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
14: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8], [18, 14], [24, 22, 6], [15, 10], [11, 12], [13, 20], [16, 17, 19], [23, 21, 27], [25, 28, 26], [31, 30, 34], [33, 32], [35, 36]]
15: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10], [11, 12, 13], [20, 16], [17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
16: [[37, 2], [29, 7], [5, 1], [3, 9], [4, 8, 18], [14, 24], [22, 6], [15, 10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27], [25, 28, 26], [31, 30], [34, 33, 32], [35, 36]]
17: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22, 6], [15, 10], [11, 12, 13], [20, 16, 17], [19, 23, 21], [27, 25, 28], [26, 31, 30, 34, 33, 32, 35, 36]]
18: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10], [11, 12, 13], [20, 16], [17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
19: [[37, 2], [29, 7], [5, 1, 3, 9], [4, 8], [18, 14], [24, 22], [6, 15], [10, 11], [12, 13, 20], [16, 17, 19], [23, 21, 27], [25, 28, 26], [31, 30], [34, 33], [32, 35, 36]]
20: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10], [11, 12, 13], [20, 16], [17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
21: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15, 10], [11, 12, 13], [20, 16], [17, 19], [23, 21, 27], [25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
22: [[37, 2], [29, 7], [5, 1, 3], [9, 4], [8, 18, 14], [24, 22], [6, 15], [10, 11, 12, 13, 20, 16, 17, 19, 23, 21, 27, 25, 28, 26, 31, 30, 34, 33, 32, 35, 36]]
23: [[37, 2], [29, 7, 5], [1, 3, 9], [4, 8], [18, 14, 24], [22, 6, 15], [10, 11, 12, 13], [20, 16], [17, 19], [23, 21, 27], [25, 28], [26, 31, 30], [34, 33, 32, 35, 36]]
