0: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8, 12], [15, 16, 13, 10, 14], [18, 19], [24, 28], [29, 20, 25], [21, 26, 27]]
1: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11, 4], [7, 8, 12], [26, 14, 28, 15], [16], [18, 10, 24], [13, 19], [20, 25], [21, 27, 29]]
2: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8, 12, 15], [13, 24], [10, 14], [18, 19, 16], [28, 29, 20], [25, 21, 26, 27]]
3: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8], [13, 12], [15, 10], [16, 18, 19, 14], [24, 20, 28], [21, 25], [29, 27, 26]]
4: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8], [12, 15], [10, 13], [14, 26, 18], [19, 24, 28], [29, 20, 25], [21, 16, 27]]
5: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11, 4, 7], [8, 12, 14, 15, 13], [10, 16], [24, 19], [18, 28, 29], [20, 25, 21], [26, 27]]
6: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8, 12], [13, 18, 15], [14, 10, 28, 19, 26, 20, 25, 16, 27, 21, 24, 29]]
7: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12, 10], [14, 28, 15], [24], [18, 27, 19], [13, 16], [20, 25], [21, 26, 29]]
8: [[9, 17], [23, 22], [5, 6, 2], [1, 3], [11, 4], [7, 8], [12, 14], [13, 15, 10], [16, 18, 19], [24, 28], [21, 20, 25], [29, 26, 27]]
9: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8], [12, 15, 24, 13, 10, 14, 26, 19, 16, 28, 29, 20, 18, 21, 27, 25]]
10: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11, 4, 7, 8, 15, 25, 10, 12], [24, 18, 13, 29, 20, 27, 21, 16, 19, 26, 28, 14]]
11: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7], [8, 12, 13], [15, 16, 10, 14, 18, 19, 24, 20, 29, 27, 26, 21, 25, 28]]
12: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8], [13, 10], [12, 24, 15], [14, 18, 27], [28, 29], [16, 19, 20], [21, 26, 25]]
13: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 8, 12, 15, 13, 29, 18, 10, 26, 16, 25, 28, 21, 20, 27], [19, 24, 14]]
14: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11, 4], [7, 12, 13], [10, 8], [26, 14, 19, 18, 16], [24, 20, 25, 15, 21, 28, 27, 29]]
15: [[9, 17], [23, 22], [5, 6, 2, 1, 3, 11, 4, 7, 8, 10, 13, 14, 28, 12, 15, 19, 18, 16, 20], [25, 21, 29, 24, 27, 26]]
16: [[9, 17], [23, 22], [5, 6], [2, 1, 3], [11, 4, 7, 8, 13, 28, 16, 18, 19, 15, 27, 20, 24, 25, 21, 10, 12], [26, 29, 14]]
17: [[9, 17], [23, 22], [5, 6], [2, 1], [3, 11], [4, 7, 12, 14], [13, 26, 8, 15, 19], [18, 25], [24, 16], [27, 21, 20], [28, 10, 29]]
