0: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12, 8, 9, 5], [11, 7], [10, 19, 18, 17, 20, 14]]
1: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12, 8, 9, 5], [11, 7], [10, 19, 18, 17, 20, 14]]
2: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12, 8, 9, 5], [11, 7], [10, 19, 18, 17, 20, 14]]
3: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16, 6], [13, 12], [8, 9, 5], [11, 7, 10], [19, 18, 17, 20, 14]]
4: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12, 8, 9, 5], [11, 7, 10, 19, 18, 17, 20, 14]]
5: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16, 6], [13, 12], [8, 9, 5], [11, 7, 10], [19, 18, 17, 20, 14]]
6: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12, 8], [9, 5], [11, 7], [10, 19, 18, 17, 20, 14]]
7: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16, 6], [13, 12], [8, 9, 5], [11, 7, 10], [19, 18], [17, 20, 14]]
8: [[23, 21, 24], [1, 2], [4, 15, 22, 3, 16, 6, 13, 12, 8, 9, 5], [11, 7], [10, 19, 18, 17, 20, 14]]
9: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12, 8, 9], [5, 11, 7, 10, 19, 18, 17, 20, 14]]
10: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12], [8, 9, 5], [11, 7, 10], [19, 18], [17, 20, 14]]
11: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12, 8, 9, 5], [11, 7, 10, 19, 18, 17], [20, 14]]
12: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12], [8, 9], [5, 11, 7, 10, 19, 18, 17, 20, 14]]
13: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16, 6], [13, 12, 8, 9, 5, 11, 7, 10], [19, 18, 17, 20, 14]]
14: [[23, 21, 24], [1, 2], [4, 15], [22, 3, 16], [6, 13, 12], [8, 9, 5], [11, 7], [10, 19, 18], [17, 20, 14]]
15: [[23, 21, 24], [1, 2], [4, 15], [22, 3, 16], [6, 13, 12], [8, 9, 5], [11, 7], [10, 19, 18], [17, 20, 14]]
16: [[23, 21, 24], [1, 2], [4, 15, 22, 3, 16], [6, 13, 12], [8, 9, 5], [11, 7], [10, 19, 18], [17, 20, 14]]
17: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16, 6], [13, 12, 8], [9, 5, 11, 7, 10, 19, 18, 17, 20, 14]]
18: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16, 6, 13, 12, 8], [9, 5, 11, 7, 10, 19, 18, 17, 20, 14]]
19: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16, 6, 13, 12, 8, 9, 5, 11, 7, 10], [19, 18, 17, 20, 14]]
20: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13, 12], [8, 9], [5, 11, 7, 10, 19, 18], [17, 20, 14]]
21: [[23, 21, 24], [1, 2, 4, 15, 22], [3, 16, 6], [13, 12, 8], [9, 5], [11, 7, 10], [19, 18, 17, 20, 14]]
22: [[23, 21, 24], [1, 2], [4, 15], [22, 3, 16], [6, 13, 12], [8, 9], [5, 11, 7], [10, 19], [18, 17, 20], [14]]
23: [[23, 21, 24], [1, 2], [4, 15, 22, 3, 16, 6], [13, 12, 8], [9, 5, 11, 7], [10, 19], [18, 17, 20, 14]]
24: [[23, 21, 24], [1, 2, 4, 15, 22], [3, 16, 6], [13, 12, 8], [9, 5], [11, 7, 10, 19, 18, 17, 20, 14]]
25: [[23, 21, 24], [1, 2], [4, 15], [22, 3, 16], [6, 13, 12], [8, 9, 5], [11, 7, 10, 19, 18, 17], [20, 14]]
26: [[23, 21, 24], [1, 2], [4, 15, 22], [3, 16], [6, 13], [12, 8], [9, 5, 11, 7, 10, 19, 18, 17, 20], [14]]
27: [[23, 21, 24], [1, 2], [4, 15], [22, 3, 16, 6, 13, 12], [8, 9, 5, 11, 7, 10, 19, 18, 17, 20], [14]]
28: [[23, 21, 24], [1, 2], [4, 15, 22, 3, 16, 6], [13, 12, 8], [9, 5], [11, 7, 10], [19, 18], [17, 20, 14]]
29: [[23, 21, 24], [1, 2], [4, 15, 22, 3], [16, 6], [13, 12, 8, 9, 5, 11, 7, 10, 19, 18, 17, 20, 14]]
30: [[23, 21, 24], [1, 2, 4], [15, 22], [3, 16], [6, 13, 12], [8, 9, 5], [11, 7, 10], [19, 18], [17, 20, 14]]
31: [[23, 21, 24], [1, 2, 4, 15], [22, 3, 16, 6, 13, 12, 8, 9, 5, 11, 7, 10, 19, 18, 17, 20, 14]]
32: [[23, 21, 24], [1, 2], [4, 15, 22, 3, 16, 6], [13, 12, 8], [9, 5, 11, 7], [10, 19, 18, 17], [20, 14]]
33: [[23, 21, 24], [1, 2, 4], [15, 22], [3, 16, 6], [13, 12, 8, 9, 5, 11, 7, 10], [19, 18, 17, 20, 14]]
34: [[23, 21, 24], [1, 2, 4], [15, 22], [3, 16, 6], [13, 12, 8], [9, 5], [11, 7, 10], [19, 18], [17, 20, 14]]
35: [[23, 21, 24], [1, 2, 4], [15, 22], [3, 16, 6], [13, 12, 8], [9, 5], [11, 7, 10], [19, 18], [17, 20, 14]]
36: [[23, 21, 24], [1, 2, 4], [15, 22], [3, 16, 6], [13, 12, 8], [9, 5], [11, 7, 10], [19, 18], [17, 20, 14]]
37: [[23, 21, 24], [1, 2], [4, 15, 22, 3, 16, 6], [13, 12, 8], [9, 5, 11], [7, 10], [19, 18], [17, 20, 14]]
38: [[23, 21, 24], [1, 2, 4], [15, 22, 3], [16, 6], [13, 12], [8, 9], [5, 11, 7], [10, 19], [18, 17, 20, 14]]
39: [[23, 21, 24], [1, 2, 4], [15, 22], [3, 16, 6, 13, 12, 8], [9, 5, 11], [7, 10, 19, 18, 17], [20, 14]]
40: [[23, 21], [24, 1, 2], [4, 15], [22, 3, 16], [6, 13, 12], [8, 9, 5], [11, 7], [10, 19, 18], [17, 20, 14]]
41: [[23, 21, 24], [1, 2, 4], [15, 22], [3, 16, 6, 13], [12, 8], [9, 5, 11], [7, 10], [19, 18, 17], [20, 14]]
42: [[23, 21], [24, 1, 2, 4, 15, 22, 3, 16, 6, 13, 12], [8, 9, 5, 11, 7], [10, 19, 18, 17, 20, 14]]
43: [[23, 21], [24, 1, 2], [4, 15], [22, 3, 16], [6, 13, 12], [8, 9], [5, 11, 7, 10, 19, 18, 17, 20, 14]]
44: [[23, 21], [24, 1, 2], [4, 15], [22, 3, 16], [6, 13], [12, 8, 9], [5, 11], [7, 10, 19], [18, 17, 20, 14]]
45: [[23, 21], [24, 1], [2, 4, 15, 22, 3, 16, 6, 13, 12, 8, 9, 5, 11, 7, 10, 19, 18, 17, 20, 14]]
46: [[23, 21, 24, 1, 2, 4, 15], [22, 3, 16, 6, 13, 12, 8, 9, 5, 11, 7], [10, 19, 18, 17, 20, 14]]
47: [[23, 21, 24, 1, 2, 4, 15, 22, 3, 16], [6, 13, 12, 8, 9, 5, 11], [7, 10, 19, 18, 17, 20, 14]]
