0: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
1: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
2: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
3: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
4: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
5: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
6: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
7: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
8: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
9: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
10: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
11: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
12: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
13: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
14: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
15: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
16: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
17: [[7, 16, 11], [13, 20, 2, 1], [3, 4, 5, 6, 12], [8, 9], [10, 14], [15, 18], [19, 17], [21, 23, 22, 24]]
