0: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
1: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
2: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
3: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
4: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
5: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
6: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
7: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
8: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
9: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
10: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
11: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
12: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
13: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
14: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
15: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
16: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
17: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
18: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
19: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
20: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
21: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
22: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
23: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
24: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
25: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
26: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
27: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
28: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
29: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
30: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
31: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
32: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
33: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
34: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
35: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
36: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
37: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
38: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
39: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
40: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
41: [[19, 18, 17], [12, 11, 13], [2, 1, 9], [10, 5, 8, 7], [14, 16, 6, 15], [20, 3, 4]]
