0: [[2], [24, 23], [16, 3], [13, 1], [6, 7, 11], [4, 8, 15, 10, 19, 18, 14, 12, 20], [22, 17, 21, 5, 9]]
1: [[2], [24, 23], [16, 3], [13, 1], [6, 7, 5, 11], [4, 8, 15, 10, 19, 18, 14, 12], [20, 22, 17, 21, 9]]
2: [[2], [24, 23], [16, 3], [13, 1, 6, 7, 11, 9], [4, 8, 15, 10, 19, 18, 14, 12], [20, 22, 17, 21, 5]]
3: [[24, 23], [11, 9, 16, 3, 13, 6, 7, 1, 2], [4, 8, 15, 10, 19, 18, 14, 12, 20, 22], [17, 21, 5]]
4: [[2], [24, 23], [16, 3], [13, 1], [6, 7, 11], [4, 8, 15, 10, 19], [18, 14, 12, 20, 22], [17, 21, 5, 9]]
5: [[2], [24, 23], [16, 3, 13, 1, 6, 7, 11], [4, 8, 15, 10, 19, 18, 14, 12], [20, 22, 17, 21, 5, 9]]
6: [[2], [24, 23], [11, 9, 16, 3, 13, 6, 7, 1], [4, 8, 15, 10, 19, 18, 14, 12], [20, 22, 17, 21, 5]]
7: [[2], [24, 23], [16, 3], [13, 1, 9], [6, 7, 4, 8, 5, 11], [15, 10, 19, 18, 14, 12, 20], [22, 17, 21]]
8: [[2], [24, 23], [11, 9, 16, 3, 13, 7, 1, 6], [4, 8, 15, 10, 19, 18, 14, 12], [20, 22], [17, 21, 5]]
9: [[2], [24, 23], [16, 3], [13, 1, 9], [6, 7, 4, 8, 15, 10, 11], [19, 18, 14, 12, 20, 22], [17, 21, 5]]
10: [[2], [24, 23], [16, 3], [13, 1, 9], [6, 7, 4, 8, 15, 10, 19, 18, 11], [14, 12, 20, 22], [17, 21, 5]]
11: [[2], [24, 23], [16, 3, 13, 1, 6], [7, 4, 8, 15, 10, 19, 18, 11], [14, 12, 5], [20, 22, 17, 21, 9]]
12: [[2], [24, 23], [16, 3, 13, 1, 6, 7, 11], [4, 8, 5], [15, 10, 19, 18, 14, 12, 20], [22, 17, 21, 9]]
13: [[2], [24, 23], [11, 9, 16, 3, 13, 6, 7, 1], [4, 8, 5], [15, 10, 19, 18, 14, 12, 20, 22, 17, 21]]
14: [[2], [24, 23], [16, 3, 13, 1, 6, 7, 11], [4, 8, 15, 5], [10, 19, 18], [14, 12, 20, 22], [17, 21, 9]]
15: [[2, 5], [24, 23], [9], [3, 16], [13, 6, 7, 4, 11, 1], [8, 15, 10, 19, 18, 14, 12, 20, 22, 17, 21]]
16: [[2, 5], [24, 23], [3, 16], [13, 1, 9], [6, 7, 4, 8, 15, 11], [10, 19, 18], [14, 12, 20, 22, 17, 21]]
